quarter,RCONA567_qoq,RCFD8719_qoq,RCFDA556_qoq,RCONB550_qoq,RCFDB559_qoq,RCFDB857_qoq,RCON3499_qoq,RCFN6631_qoq,RCFDA557_qoq,RCFD3368_qoq,RIAD4460_qoq,RCFD3819_qoq,RCON3485_qoq,RIADB492_qoq,RCFD1773_qoq,RIAD5409_qoq,RCFDB560_qoq,RCFD8703_qoq,RCFD0081_qoq,RCFD2107_qoq,RCFD8742_qoq,RCFD1255_qoq,RCFD3815_qoq,RCFNB572_qoq,RCFN3360_qoq,RCONB563_qoq,RCFD8747_qoq,RIAD4020_qoq,RCON5370_qoq,RCFD5390_qoq,RIAD8757_qoq,RCFD8733_qoq,RCFD5377_qoq,RCFD0416_qoq,RCONB551_qoq,RCFD3839_qoq,RCFDB860_qoq,RIADB514_qoq,RCON5512_qoq,RCFD3200_qoq,RCFD8745_qoq,RCFD6165_qoq,RCFD3163_qoq,RIAD4646_qoq,RCON2210_qoq,RCON6636_qoq,RIAD4415_qoq,RIAD4093_qoq,RCON1752_qoq,RIAD4070_qoq,RIAD4300_qoq,RCON2107_qoq,RCFD1583_qoq,RIAD4074_qoq,RCFD3529_qoq,RCFD3433_qoq,RCFNB573_qoq,RCFD5389_qoq,RCON5399_qoq,RCON0090_qoq,RCFDB571_qoq,RIAD4010_qoq,RIAD4628_qoq,RIAD3217_qoq,RIAD4643_qoq,RCFD8715_qoq,RCFDA559_qoq,RIADB508_qoq,RCFD1739_qoq,RCFDB530_qoq,RCFD0010_qoq,RCFD3210_qoq,RCFDB850_qoq,RCFDB805_qoq,RCFD8710_qoq,RCFD5380_qoq,RCON9999_qoq,RCON2200_qoq,RCFD3381_qoq,RIAD4313_qoq,RCFD8711_qoq,RCON0070_qoq,RCON5511_qoq,RIADB497_qoq,RCFDB558_qoq,RCFD5382_qoq,RCFD8700_qoq,RCFD8748_qoq,RCFD6558_qoq,RCFD3822_qoq,RCFDA570_qoq,RIAD5410_qoq,RCFDA589_qoq,RCFD1590_qoq,RCFDB537_qoq,RIAD4092_qoq,RCFD1763_qoq,RIAD4107_qoq,RIAD4172_qoq,RCFD3230_qoq,RCON2385_qoq,RCFD8498_qoq,RCFN2200_qoq,RIAD4056_qoq,RCON2165_qoq,RCON3129_qoq,RCFD8738_qoq,RCFD2081_qoq,RCFD2930_qoq,RCFDA574_qoq,RCON5508_qoq,RCFDB534_qoq,RCFDA591_qoq,RCFD8704_qoq,RCFDA554_qoq,RCFD8697_qoq,RCFD3365_qoq,RCON2192_qoq,RCONB561_qoq,RCFD3353_qoq,RIAD5411_qoq,RCFDB556_qoq,RIAD4135_qoq,RIAD4024_qoq,RCFD2145_qoq,RCON0082_qoq,RCFDA222_qoq,RCONB562_qoq,RIAD4185_qoq,RCFN5513_qoq,RCFDB533_qoq,RCONB535_qoq,RIAD4635_qoq,RCONB534_qoq,RIAD8759_qoq,RCFD8739_qoq,RCFDA590_qoq,RCFDA551_qoq,RIADA220_qoq,RCFD3546_qoq,RCFDA248_qoq,RCFD3430_qoq,RCON3495_qoq,RCON1545_qoq,RCON3500_qoq,RCON3360_qoq,RCFD1252_qoq,RCFD8714_qoq,RCFDA575_qoq,RCFD1741_qoq,RCFDA555_qoq,RIAD4060_qoq,RCON1763_qoq,RCFD1744_qoq,RIAD4069_qoq,RIAD3584_qoq,RCFD5460_qoq,RIADB489_qoq,RCFD0071_qoq,RCFD3401_qoq,RIAD8431_qoq,RCFD1771_qoq,RIAD3589_qoq,RCON5510_qoq,RCFD8699_qoq,RCFD8694_qoq,RCFD0090_qoq,RCFN3404_qoq,RCFD3530_qoq,RCFD3548_qoq,RCONA566_qoq,RCFDA549_qoq,RIADB512_qoq,RIAD4301_qoq,RIAD4507_qoq,RCON3387_qoq,RCFD1286_qoq,RCONB531_qoq,RCFNA245_qoq,RCFD3820_qoq,RIADB496_qoq,RCFD6550_qoq,RCFD8727_qoq,RCONB549_qoq,RCFD8741_qoq,RCFD8726_qoq,RIAD4618_qoq,RCFD3507_qoq,RIAD5412_qoq,RCFD6164_qoq,RIAD4079_qoq,RIAD4065_qoq,RCFDB576_qoq,RCFD3432_qoq,RCON0352_qoq,RCON3386_qoq,RCFD3547_qoq,RCFD1253_qoq,RCFD2150_qoq,RCFD1254_qoq,RCON0010_qoq,RIADB485_qoq,RCFDB849_qoq,RCFD8737_qoq,RCFDA571_qoq,RCFD8735_qoq,RCONB552_qoq,RIAD5415_qoq,RIADB515_qoq,RCON2081_qoq,RCON2216_qoq,RCFD1248_qoq,RCON2213_qoq,RCFD1256_qoq,RCFD1287_qoq,RCFDA573_qoq,RIAD4340_qoq,RCFD8695_qoq,RCFD3300_qoq,RCFD8707_qoq,RCFD8499_qoq,RCFD8696_qoq,RCFNB554_qoq,RCFD8709_qoq,RCON3494_qoq,RCONA564_qoq,RCFDB528_qoq,RCFN2898_qoq,RIAD4302_qoq,RCFNB553_qoq,RIAD4059_qoq,RCFD6560_qoq,RCON1590_qoq,RCFD1772_qoq,RCFD3128_qoq,RCFD5591_qoq,RCFD8734_qoq,RIAD4115_qoq,RCFDB837_qoq,RCFD6559_qoq,RCFD1752_qoq,RCFD2170_qoq,RCON6631_qoq,RCFDA127_qoq,RIAD4150_qoq,RCFD8496_qoq,RCFD1746_qoq,RCFD8746_qoq,RCON2377_qoq,RCON2203_qoq,RCFD8706_qoq,RIADB522_qoq,RCFD8712_qoq,RIAD0093_qoq,RIAD5416_qoq,RCFN2625_qoq,RCFDB536_qoq,RCON2122_qoq,RCFD3826_qoq,RIADB507_qoq,RIADB511_qoq,RCFD3190_qoq,RIAD3210_qoq,RCFDB852_qoq,RCFD3814_qoq,RIAD4073_qoq,RIAD4645_qoq,RCFD8765_qoq,RCFD3000_qoq,RCFDA572_qoq,RCON0080_qoq,RCFD1251_qoq,RCONB539_qoq,RCFD3355_qoq,RCFD8705_qoq,RCFD8723_qoq,RCFDB861_qoq,RCON6810_qoq,RCON2215_qoq,RCFD5381_qoq,RCFD8744_qoq,RCFN2133_qoq,RCFD2148_qoq,RCFNB555_qoq,RCFDB856_qoq,RCFD2746_qoq,RCONA565_qoq,RIADB491_qoq,RIADB487_qoq,RIAD4655_qoq,RCFDB704_qoq,RCFDA562_qoq,RIAD8758_qoq,RCFD8716_qoq,RCFD5459_qoq,RCFD1250_qoq,RCON1797_qoq,RIAD3588_qoq,RCFD2948_qoq,RCFDB845_qoq,RCFD2122_qoq,RCFD5391_qoq,RIAD4012_qoq,RIADB488_qoq,RCFD1754_qoq,RCFD8701_qoq,RCON1460_qoq,RCFD3817_qoq,RCON5367_qoq,RCFD3484_qoq,RCFDB851_qoq,RCFD3164_qoq,RCON0020_qoq,RCFD8724_qoq,RCON5597_qoq,RCFDB532_qoq,RIAD4200_qoq,RIAD4230_qoq,RCON6648_qoq,RCFDB841_qoq,RCFD2160_qoq,RCFD8720_qoq,RCFDB844_qoq,RCON2202_qoq,RCFD0211_qoq,RCFD8728_qoq,RCON1764_qoq,RIAD8760_qoq,RCON2236_qoq,RCFD8740_qoq,RIAD4356_qoq,RCON3493_qoq,RCON1420_qoq,RCON5368_qoq,RCFN2650_qoq,RCFD1764_qoq,RCFDA561_qoq,RCON5400_qoq,RCON2520_qoq,RCFDB575_qoq,RIADA251_qoq,RCFDB538_qoq,RIAD4508_qoq,RIAD4080_qoq,RCFDB539_qoq,RCFD8713_qoq,RIAD4617_qoq,RCON2530_qoq,RCFD8693_qoq,RIAD4180_qoq,RIAD4217_qoq,RIAD3123_qoq,RCFD8497_qoq,RCON3190_qoq,RCFDB804_qoq,RCFD2130_qoq,RIAD4513_qoq,RCFDA558_qoq,RCFDB853_qoq,RCONB538_qoq,RCFDB529_qoq,RCON2365_qoq,RCFDA553_qoq,RCFDA552_qoq,RCFD2651_qoq,RCFD5461_qoq,RCON6835_qoq,RIADB493_qoq,RIADB486_qoq,RCFD5369_qoq,RCFD2168_qoq,RCFD8698_qoq,RCONA569_qoq,RCFD3123_qoq,RCON3501_qoq,RCFD1594_qoq,RCFD8736_qoq,RCFD8725_qoq,RCFDB840_qoq,RCFDB570_qoq,RIAD3196_qoq,RCFD3632_qoq,RCFD0213_qoq,RCFD3450_qoq,RIAD4605_qoq,RCFDA247_qoq,RCFN6636_qoq,RCFD1249_qoq,RCFD0022_qoq,RCFDB848_qoq,RCFD8708_qoq,RIAD4644_qoq,RCFD3545_qoq,RCFD1597_qoq,RCFD5378_qoq,RCFNB574_qoq,RCFDA126_qoq,RCFD8702_qoq,RCONA568_qoq,RCON5398_qoq,RCFDA560_qoq,RCFD3821_qoq,RIAD4518_qoq,RCFDA550_qoq,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,reconstruction_error,anomaly_score
09/30/2013,-3.057109405489788,16.963619677111634,-0.9345794392523364,3.257507055742485,3.499588723547446,2.685109845402766,-75.0,7.332619448268829,-19.201995012468828,-0.6059734551039104,0.0,-0.4755033001348442,10.458143049844796,17.669172932330827,-0.542132046593404,0.0,-6.03290340369474,-6.079000504795558,10.51040967092008,-0.4582484725050916,-48.36146971201589,100.0,3.542363351188186,66.66666666666666,-0.0910911091469903,1.3865200728707532,0.0,45.62780269058296,-12.117474103989592,0.0,24.371859296482413,-3.783513480715233,0.0,-14.86762836456088,-6.76771237222418,3.244309246990281,-8.454312553373185,44.312796208530806,-42.30769230769231,-8.236602488357544,-9.233933161953727,0.0,0.1574168985210133,650.0,19.375431575090545,4.256850969205953,4750.943396226416,67.60477085205457,-9.398928024502297,51.28626163108921,3.941176470588236,-0.4582484725050916,100.0,50.12748907236523,0.0,1.9280992037402291,0.0,0.0,-45.69037656903765,28.070591022148527,-10.743897265820832,49.18018335684062,17.75700934579439,0.0,0.0,4.887335278141032,-22.306578093002347,0.0,-3.7908496732026142,7.887323943661972,15.51248399674966,2.0590199488220478,0.0,0.4198673011986336,-7.546827985937352,0.0,0.001490266325495,6.6287124553894365,19.8631002769404,49.16666666666666,-3.3601627488527823,-9.174311926605505,-33.33333333333333,61.42691415313225,-6.629636265902168,0.0,-16.289274277923973,68.42105263157895,-15.0,-6.588855421686747,-0.9247011561826376,550.0,-1.7629730342170855,-0.3575685339690107,-5.272874639769452,113.8211382113821,0.5536013598054723,49.68455081078263,47.53086419753087,0.0,4.379438014159165,18.691676878122347,5.908521547930516,0.0,-2.0592020592020592,1.8075314943527363,-7.323464566929133,2.5673940949935816,-1.100273453480611,3.479421122857436,0.0,13.725490196078432,1.021953435658945,-0.5371916777107271,19.545024751098502,-4.988741465260792,-3.024890203032261,4.75632775523788,3.4980806142034546,-10.455659378908704,42.14711729622266,-3.8487060384870606,44.10896708286038,50.0,0.578088578088578,5.968169761273209,-100.0,0.0663590975162737,49.5609756097561,0.0,4.387056627255756,70.73509015256589,46.98555057299452,11.76470588235294,15.523059617547808,9.704488110711829,1.6604177825388324,2.339100346020761,25.507361719060885,9.171320342093958,-4.75674210597642,-23.25785901327532,100.0,3.737024221453287,-25.0,-0.7573517750187478,-11.627906976744184,-7.458011556947669,-4.292360798439142,-3.2432432432432434,-100.0,51.36948015651201,1.2006985006322637,-4.231175972927241,43.2546671363156,0.0,-62.16216216216216,58.4423305588585,15.937662535361351,-11.403371553144398,44.06779661016949,76466.66666666666,0.0,0.684931506849315,3.443396226415094,-24.356286956793795,28.070591022148527,-3.343948100312513,0.0,0.951279665380828,-1.1963511290563782,4.362832789645375,250.0,7.733774168044275,68.40390879478826,-5.80283512100469,0.6222345132743363,4.066312167657179,-4.993199677614346,-0.1958290946083418,300.0,-8.351254480286737,0.0,16.297489299739667,-7.245201405785346,2.6419066340436506,54.54545454545454,-3.7946428571428568,54.34782608695652,-0.0673854447439353,40.127569099929126,44.82758620689656,-2.197802197802198,-8.558656544343172,-0.9069244009003046,2.481389578163772,-6.119598869296002,-10.780669144981411,3.984899328859061,520.0,26.46396075187541,50.56390977443609,-6.875383670963782,-4.019315883197041,-1.553975863779137,5.14710217557927,-1.5246636771300448,4.651162790697675,49.18032786885246,-100.0,105.38800406641818,33.33333333333333,14.741082374919726,77.41935483870968,0.5204766470346528,3.301671657181384,3.935616841692021,-22.91201117318436,2.160444071601001,-4.879562153118033,18.025608072730734,2.004960420596141,4.1430192962542565,3.1700165226137944,0.0,-7.782998718496368,0.6663322831092476,-4.685524652338811,18.152437382170756,2.9140457082010527,50.74750830564784,-30.76923076923077,9.403669724770642,-0.6371808395830357,0.0,0.0,-6.5448225677690095,62.419006479481645,9.148793565683649,-100.0,-9.217719132893496,2.160444071601001,10.165861189786298,-2.265651215643208,0.1309423853504458,0.0,-4.024235092915094,590.8771929824561,24.820342730790493,3.603182030884417,44.38338096284898,0.0,-0.0179830702238892,51.60142348754449,36.25954198473282,8.360293960105414,0.0,0.7147611931799215,4.564469694288108,0.0,4.868355688027819,-3.407275821403514,2.0590199488220478,8.027995059695348,-4.4148446008209765,46.98928703361655,53.39366515837104,-12.422658401611743,0.390625,5.323545740546543,4.680457644747486,-44.20289855072464,-11.206403659233848,-5.503768629018444,8.985896745696325,0.5381787942067923,-8.557046979865772,4.998434491406341,17.007656967840735,20.0,-41.49978696207925,-1.9253533876471,-23.118996798292425,-53.57142857142857,2.7991218441273324,21.99250549166559,-7.435214337612013,252.6315789473684,48.023715415019765,0.0,-3.628613991318309,1.0729916701962443,31.282952548330407,-20.72331928111826,-5.475504322766571,57.14285714285714,-3.3915550279803286,50.0,2.1692355568470987,0.0,0.6787257315621178,0.0,46.42045454545455,48.888888888888886,75166.66666666666,-9.7318178082258,4.733656466276013,0.0,2.892492222106101,-4.826732673267327,0.0,1.6604177825388324,3.502605744758211,-4.223748778127625,11.52754459008741,0.0,49.48096885813148,-670.8661417322834,-6.94665849172287,-33.39285714285714,-8.838248744542426,4.072837138350574,0.0,8.641975308641975,0.0,-16.389968209113388,-12.634013033424427,50.29126213592233,74.97453310696095,-31.08211818879509,-25.0,-33.33333333333333,-17.09090909090909,-5.964710395090142,29.968165684803687,5.650567432040116,3.708496635361976,-4.946833102172908,-8.695652173913043,5.445544554455446,-166.66666666666669,2.0000845701721004,65.21739130434783,51.96921684019918,-11.206403659233848,1.1923817016797085,53.70370370370371,13.889468818038116,-0.2850217026043125,26.31578947368421,52.03829524397776,-9.549411162314389,0.0,-4.624681455038117,-8.328826392644672,-3.0534351145038165,0.0,27.14699260212287,7.653575025176234,2.001309267745254,0.9321575191319628,3.987782114372985,-0.9812199073545854,-10.36672140120416,132.81456953642385,-63.39869281045751,1.4901805980459883,0.0,48.683220466516175,2.699126753109288,-8.964502066466626,-6.179587989797499,7.295785426650389,-9.549411162314389,-1.2345679012345678,300.0,-31.402552483527067,-14.48603108801982,-33.63802559414991,0.0,3.9619651347068143,0.5779347121135693,0.0,5.467697876040627,53.054101221640494,-3.182255760511769,5.819379632171287,-46.15384615384615,4.299485481104737,-6.8181818181818175,1.145213328141514,70.0,-4.360858456444876,0.0,0.0,500.0,2.887067951617983,44.67697907188353,15.854488353834077,-3.263707571801567,4.014251781472685,-3.516416700445886,92.70833333333334,-11.365057980079872,100.0,99.99999999997945,99.99999999999179,True,True,True,24424472.670371093,99.99999999999179
03/31/2006,-4.9860100727476215,-0.9125177662883392,100.0,4.009550867436378,23.19248157772952,0.0,69.23076923076923,-11.586334745762713,100.0,5.064392297387613,100.0,11.255197614347516,13.7115165336374,-75.49467275494672,58.48145396353661,-100.0,-36.90422829822202,27.771296745356597,1.3917233560090705,-0.2172024326672459,0.78125,100.0,-2.767246048549904,0.0,17.18637067630356,2.0103219081918,0.0,-60.7232441471572,-3.868157014610104,0.0,-64.29577464788733,-7.918211432841668,0.0,91.16460748100027,-2.775417728688757,-0.0907502016671148,-3.182827535159141,-83.74164810690424,-22.22222222222222,-0.0911283838113106,-21.521035598705502,9.090909090909092,0.7745010425975574,-63.63636363636363,-1.690220999715451,6.747115997030259,-99.07485281749368,-73.35502045744181,-0.1832340815391663,-74.51502472422975,-54.39905734485468,-0.2172024326672459,-20.0,-72.46803069053709,0.0,14.48035998506612,0.0,0.0,0.0,180.58289174867525,5.806754956508111,-68.80834969119547,-77.77777777777779,7.080853174603174,0.0,12.74167501195406,18.9873417721519,7.294146825396826,43.71257485029941,-52.15384615384615,-19.461804658850262,1.210191082802548,0.0,2.771127577347788,18.202638372080283,0.0,0.0453837472622005,2.65714671942782,32.125127100903164,-74.07407407407408,0.3792892345471272,-33.33333333333333,0.0,-75.49620191129624,-32.929467762873216,0.0,22.745790331341663,0.0,9.090909090909092,8.758943992104614,6.252853819225502,120.0,-20.70901639344262,-7.54985754985755,5.277044854881266,-79.71741112123975,5.4163208852005535,-68.53334842525256,-66.42124638443335,0.0,3.188360622144488,-4.295942720763723,12.27486363168548,0.0,-12.737284451528764,4.241648335587332,-3.070168844251327,36.1603700848111,5.104140526976161,-6.013399646512393,100.0,0.0,30.50068331469748,25.66413168038337,-96.2655601659751,35.95204303000081,2.9917359198129585,4.428033782980996,3.175976668910041,12.74846018665438,-66.10169491525424,10.095911155981828,-67.41928026508438,-73.68421052631578,0.530733152308072,-22.59475218658892,0.0,8.05529708892729,-68.84057971014492,0.0,24.952162265595103,43.26923076923077,-81.53000845308537,0.0,-24.047796863330845,18.11596038400162,13.0623875224955,13.770053475935828,-49.09257561869844,11.947516549728466,-21.136811023622048,100.0,-33.33333333333333,26.17283950617284,0.0,3.4441921016711974,57.44680851063831,18.34247013946564,14.882333443818364,39.1812865497076,0.0,-85.28481012658227,4.3323459040674495,0.7973210014351778,-70.54183813443072,-100.0,-71.42857142857143,-72.10123602118892,-51.72565013375433,11.28533619034216,-73.48837209302326,-7.5,0.0,8.0,91.66498892691766,-7.5383718671070525,180.446293494705,5.808271315458592,0.0,10.394732605685952,2.12753170262636,6.26128838049368,0.0,-53.24175118757222,-70.0,3.618613909984593,41.196749569071656,22.844827586206897,11.045608863857671,28.552923760177645,-81.52173913043478,-1.0610079575596816,0.0,-4.301773002271123,12.439024390243905,11.134765499000064,-91.24087591240875,-2.0,-80.0,-9.068425391591097,-68.07050318807619,-77.67857142857143,-12.987012987012983,0.0,7.266588373458603,-6.77710843373494,7.974461950365565,-26.15384615384616,189.55223880597012,625.0,-2.5306396894770624,-73.75485694101023,-57.36677115987461,-7.848176760569943,29.293112847537707,15.758306443033934,8.24742268041237,-100.0,-81.81818181818183,1900.0,461.0526315789474,0.0,52.767527675276746,0.0,39.69147894221352,5.415106600241359,-54.39905734485468,-19.81292879362509,7.831378176205763,33.403756379819804,-5.034324942791762,2.1373871299577094,33.20079522862823,6.049114211176931,0.0,5.555555555555555,4.895272324979154,-3.136710617626648,-51.05672969966629,10.237440292356428,-62.5,-23.07692307692308,-8.21917808219178,59.28698550806521,0.0,0.0,-2.3335641805425915,-63.0901287553648,-15.789473684210526,0.0,-0.8192990441511151,7.831378176205763,-5.011235002331793,8.699222334927304,1.477234810568144,0.0,0.3989786147462495,-10.909090909090908,-33.98510242085661,35.61688311688312,-43.737574552683895,-8.582721626199886,23.384898085546222,-58.333333333333336,-114.5922746781116,1.631464458634482,-33.33333333333333,2.6237511130086486,1.543151246923096,100.0,-37.24696356275304,7.412142087757301,1.210191082802548,0.0,5.452742339434892,-65.40941164526119,-83.78378378378379,130.17805546637692,0.8767405879319237,-10.07279368264012,-16.300731869594145,-2.949852507374631,-2.2271714922049,2.414997286519903,98.2132429264797,12.4386631890721,-4.185022026431718,-3.3741358812910045,-0.3908190640214619,0.0,0.0,-74.90840393863064,0.0,-51.92307692307693,0.0,-1.423948220064725,0.1986379114642451,-94.21965317919076,-73.46534653465346,100.0,1.5858918989038664,2.272727272727273,-43.83149448345035,34.78145899670563,-15.060240963855422,8.333333333333332,1.3196020892161748,-100.0,8.463577675608407,-100.0,4.410319130924795,0.0,-66.69409586504834,-78.0,-6.493506493506493,112.41066724826707,-12.556732223903175,0.0,1.502440421494803,-11.518538713195202,0.0,16.84748915065096,-18.35566334035701,25.191921454825845,3.9306362641452415,266.66666666666663,-71.31519274376417,-60.687342833193625,14.311169941961104,-47.61904761904761,2.8442731430959625,27.11398253807919,-100.0,4.522613065326634,0.0,0.0,-1.194184839044652,-33.33333333333333,-68.12199036918139,8.30670926517572,-168.75,-50.0,12.42603550295858,10.921817221341785,43.968745964096605,18.64313015489841,-9.090909090909092,5.9880239520958085,-47.22222222222222,-4.794520547945205,-96.96969696969695,-4.164519746612918,-95.77464788732394,-75.2204955900882,-2.2271714922049,5.73216610245484,-73.91304347826086,2.2491022491022488,-5.190301319393773,-60.63281824871228,-74.20301193037355,3.808935556928145,0.0,5.645868603014666,-34.645669291338585,7.427055702917771,-87.5,400000.0,0.0,-3.663552593820744,4.9099895680503405,-57.80141843971632,-61.07255520504732,122.07369942196532,0.0,-6.578947368421052,0.7257566399011736,-50.16474464579901,-69.46745562130178,-1.0352286773794808,-16.583230748187663,5.646458582246681,6.114338122898197,3.808935556928145,-11.11111111111111,-15.384615384615383,9.04898593007388,-21.74820556275546,-47.61904761904761,-0.4710112696235187,92.34449760765553,5.592936875267395,0.0,4.922353783083964,-79.97198879551821,8.553942329487837,13.57883539687249,0.0,-17.78108500761844,-57.23270440251572,16.099132005812812,-73.52941176470588,11.222203690096782,0.0,0.0,8.333333333333332,8.942450696173825,-26.691266912669125,1.0841654778887304,-23.87267904509284,71.9751612132792,0.463678516228748,-74.07407407407408,-22.857142857142858,77.15138749502043,32.10265296343406,59.13189368238588,True,True,True,18853225.405917846,59.13189368238588
12/31/2001,16.174716756112105,228.70036101083036,2.2758620689655173,2.084568439407149,-7.129468934397779,0.0,100.0,2.837837837837838,2.299749687108886,42.41407337467027,390.0,45.20805454661314,80.3921568627451,-12.386706948640484,-9.679621759093314,4.166666666666666,-10.51214587285076,26910.526315789477,5.899821817461889,6240.0,10.666666666666668,-88.63636363636364,0.0,0.0,18.15844099513585,5.639718014099295,0.0,117.54498714652956,-4.1297000422475705,0.0,140.71969696969697,62.19778515000358,0.0,-7.986870897155361,14.41048034934498,25.992921745969326,0.0,0.0,100.0,48.96931549960661,-19.230769230769237,28.57142857142857,3.143534994068802,126.50602409638554,28.27374343030572,8.902530754858903,2.097902097902098,76.00477949163589,25.116279069767444,53.7146614069691,4.070723684210527,6240.0,0.0,55.32198865532199,0.0,23.92646200775916,100.0,100.0,0.0,-62.33023588277341,7.73434216057167,41.09806798728295,38.46153846153847,0.0,100.0,209.50244291554492,2.303676804357694,0.0,100.0,-249.39759036144576,-37.49123907189495,34.07882011605416,0.0,0.3904544170155924,-21.126104306507045,0.0,0.0015041779667411,9.107388679142415,-31.742388012115413,100.0,214.90765970330003,-73.40425531914893,0.0,32.21153846153847,-19.70475910693302,166.66666666666669,44.28480430320617,0.0,-85.62874251497006,-11.50070126227209,3.3800782125688094,100.0,44.49428122897511,5.405405405405405,35.46148507980569,100.07102272727272,-4.609909958483851,63.95332875772135,37.086867505118455,21.88274153592073,3.8034476930877137,172.38805970149252,5.215726722841859,0.0,11.251964379256156,-2.504415796162054,110.31933678508364,166.41366223908918,-1.9826676473409868,11.912503694945316,0.0,100.0,27.97747942832395,-13.65979381443299,278.4810126582279,-13.460514424229942,100.0022338880822,2.2225022666092573,0.0,63.88739181434867,0.0,88.31168831168831,68.39254766031195,100.0,19.50477845351868,41.96428571428572,0.0,6.282426186208848,194.9367088607595,0.0,2.2280471821756227,-33.54487760652765,104.147465437788,100.0,610.3225806451613,838.3802816901408,35.48941041785918,-11.8558042686101,116.33266533066131,250.7537688442211,38.0622009569378,100.0,0.0,-43.90354868061874,0.0,10.794862325085148,0.0,-24.60267437237581,0.0,100.0,2.2222222222222223,50.0,-3.534592981957665,-7.415621318178668,363.3774160732452,0.0,0.0,26.993865030674847,-63.26512612453696,143.5847490100907,60.33057851239669,-4.602510460251046,0.0,-7.6923076923076925,0.0,30.98927294398093,-62.33023588277341,13.809260006948293,0.0,122.79459733732814,-8.270292373747699,19.514429683921207,0.0,7.696915244085055,400.0,11.367385412984564,-44.29906542056074,1.6414970453053186,-11.57095361808041,11.55834564254062,-30.0,0.8717948717948718,0.0,32.78130188598919,-18.227341011517275,-13.895820336868372,145.45454545454547,2723.913043478261,0.0,1325.0,74.13268411442483,34.81308411214953,0.0,0.0,6.611147636788663,43.18181818181818,80.134669287026,21.96969696969697,-4.651162790697675,53.333333333333336,0.0820392616466451,0.0,0.0,56.159629495970165,31.48141458656937,721.7948717948718,-11.446740858505564,0.0,0.0,8466.666666666668,-4.181184668989547,0.0,267.7477477477478,112.29773462783172,-46.05665375993478,-5.149781218444968,4.072398190045249,161550.0,23.694747712171772,94834.375,190.6716417910448,4.111986001749781,-89.74964572508266,93.0960885280733,0.0,16.193727330915298,5.711902892172081,-2.838427947598253,17.420066152149946,22.66851762117422,48.16072439162422,-18.181818181818183,21.951219512195124,-8.525301952135633,0.0,0.0,114.81300713806355,-44.18079096045198,-38.2830626450116,0.0,24.43438914027149,23.694747712171772,9.369946510760045,10.290886122013514,23.318574355971897,0.0,-7.441604079101495,-53.84615384615385,100.0,-31.746031746031743,165.5487804878049,0.0,-2.0661299796151056,25.95078299776286,-187.5,3.4957706415150835,-97.0909090909091,6.070908578093198,71.41061660896679,0.0,-119.43396226415096,9.196283168885907,34.07882011605416,0.0,-1.4903129657228018,69.98600746268657,135.71428571428572,-91.5331210872706,1.7543859649122806,1.4263784060381222,29.0437890974084,-29.01408450704225,-0.8695652173913043,-6.370569762225213,344.8839953799026,362.3086318844306,0.0,5.078817497963682,31.209944362279035,0.0,0.0,35.87912087912088,255.7894736842105,180.5555555555556,0.0,16.747141041931386,-26.77407890060419,-460.6060606060606,186.95652173913044,0.0,30.470314730791305,0.0,2.2033898305084745,-2.993826095954196,361.1111111111112,450.0,8.389261744966444,0.0,23.072137331013906,0.0,7.426500735595591,-65.625,32.3996971990916,31.62878787878788,-4.329004329004329,155.3958648512355,165.60509554140128,0.0,-0.5246130978403427,5.198125266297401,0.0,35.33123028391167,-0.9635889740146908,0.3238390324025683,0.0,-100.0,90.76433121019107,219.6629213483146,-7.211811470755252,0.0,28.48944233892799,-14.350553156617393,0.0,416.6666666666667,0.0,0.0,129.07801418439718,-63.07692307692307,0.0,-25.19409937888199,99436.36363636365,100.0,-27.27272727272727,-1.561319566859733,-3.966527196652719,14.24681598594642,-88.92988929889299,-50.0,217.85714285714283,0.0,308.69565217391306,0.0,126.3157894736842,37.6770538243626,-0.8695652173913043,48.86883908523592,30.76923076923077,70.06369426751591,38.20566040084872,102.69129287598945,58.8626739261948,32.69854132901134,0.0,-22.66063630692452,-33.99014778325123,-1.36986301369863,33.33333333333333,2.2926741895038507,0.0,0.0,5.300272553660934,100.0,-44.17325056433409,-34.31998452311859,-100.0,33.33333333333333,-1.3324666883327916,100.0,35.478680611423975,185.57874762808348,23.647725621275978,2.9627782093547954,0.0,32.69854132901134,75.0,0.0,-17.684640940454894,-8.382276410675786,0.0,14.138163245673107,46.588693957115005,51.76205243868057,0.0,26.41489399355821,50.92592592592593,11.82729484448662,5.380172703824156,100.0,1.5971923793152845,0.0,20.98765432098765,85.36585365853658,132.9734301920589,0.0,0.0,450.0,31.635912073432294,-86.18677042801556,22.42410813206293,47.61904761904761,2.28476821192053,-1.8565565761188196,0.0,54.54545454545454,20.43632406685785,75.91203645627083,42.62660902262304,True,True,True,5024217.54346752,42.62660902262304
