quarter,BHCK1606_qoq,BHCK4093_qoq,BHCK3521_qoq,BHCK3247_qoq,BHCK3240_qoq,BHCK4397_qoq,BHCK8719_qoq,BHCK8715_qoq,BHCK8497_qoq,BHCK4643_qoq,BHCKB493_qoq,BHCK4662_qoq,BHCKA220_qoq,BHCK2160_qoq,BHCKB570_qoq,BHCK4135_qoq,BHCK4115_qoq,BHCK8736_qoq,BHCK1741_qoq,BHCK8741_qoq,BHCKB843_qoq,BHCKB845_qoq,BHCK3578_qoq,BHCK4217_qoq,BHCK3365_qoq,BHCK5391_qoq,BHCK3433_qoq,BHCK3822_qoq,BHDM1420_qoq,BHCKB983_qoq,BHCK4598_qoq,BHCK8723_qoq,BHCK0395_qoq,BHCK3401_qoq,BHCK3588_qoq,BHCK5459_qoq,BHCK3814_qoq,BHCK4180_qoq,BHCK2081_qoq,BHCK8727_qoq,BHCK3530_qoq,BHCKB844_qoq,BHCKB492_qoq,BHCK1764_qoq,BHCKB847_qoq,BHDM1766_qoq,BHCK6550_qoq,BHCK4519_qoq,BHCKB576_qoq,BHCK0384_qoq,BHCK2746_qoq,BHCK3404_qoq,BHCKB704_qoq,BHCKB848_qoq,BHCKB805_qoq,BHCK3506_qoq,BHCK8737_qoq,BHCB2389_qoq,BHCK2150_qoq,BHCKA288_qoq,BHCK3493_qoq,BHCK1763_qoq,BHCK1743_qoq,BHCK1746_qoq,BHCK5412_qoq,BHCK0213_qoq,BHCK8739_qoq,BHDM2123_qoq,BHCK2130_qoq,BHCK5382_qoq,BHCK4460_qoq,BHDM1975_qoq,BHCK6438_qoq,BHCK8733_qoq,BHCKB850_qoq,BHCK6558_qoq,BHCK8701_qoq,BHCKB557_qoq,BHCK4150_qoq,BHCK5398_qoq,BHCKB837_qoq,BHCK1739_qoq,BHCK4635_qoq,BHCK1608_qoq,BHCK8698_qoq,BHDM1288_qoq,BHCK3450_qoq,BHCK3519_qoq,BHCK3353_qoq,BHCK8765_qoq,BHCK8695_qoq,BHCK4617_qoq,BHCK8709_qoq,BHCKB497_qoq,BHCK4645_qoq,BHCK8738_qoq,BHCK3283_qoq,BHCK5381_qoq,BHCK3579_qoq,BHCK0383_qoq,BHCK4069_qoq,BHCK3501_qoq,BHCK3577_qoq,BHCK8711_qoq,BHCKB842_qoq,BHCK3517_qoq,BHCKB528_qoq,BHCK8713_qoq,BHDM5368_qoq,BHCK2148_qoq,BHCK4313_qoq,BHCK4074_qoq,BHCK1292_qoq,BHCK8757_qoq,BHCK4340_qoq,BHCK3495_qoq,BHCK1913_qoq,BHCK3123_qoq,BHCB2210_qoq,BHCK4518_qoq,BHCK3459_qoq,BHFN6636_qoq,BHCKB574_qoq,BHCKB985_qoq,BHCKB991_qoq,BHCK1287_qoq,BHCK4652_qoq,BHCK8742_qoq,BHCK1286_qoq,BHCK8706_qoq,BHCKB515_qoq,BHCK5410_qoq,BHCK2145_qoq,BHCKB508_qoq,BHDM2165_qoq,BHCK3494_qoq,BHCK3508_qoq,BHCK8726_qoq,BHCK2635_qoq,BHCK8703_qoq,BHCKB804_qoq,BHDM6631_qoq,BHCK4079_qoq,BHCK4398_qoq,BHCKB852_qoq,BHCK2168_qoq,BHCK0416_qoq,BHCK8498_qoq,BHCK4356_qoq,BHDM1797_qoq,BHCK8740_qoq,BHCK2123_qoq,BHCK8725_qoq,BHCK0081_qoq,BHCK8712_qoq,BHCK8743_qoq,BHCK0211_qoq,BHCK8735_qoq,BHCK5460_qoq,BHCK3230_qoq,BHCK3196_qoq,BHCK4185_qoq,BHCKB556_qoq,BHDM1460_qoq,BHDM1590_qoq,BHCKB856_qoq,BHCKB990_qoq,BHCK1771_qoq,BHFN6631_qoq,BHCK8700_qoq,BHCK8702_qoq,BHCK8734_qoq,BHCK8728_qoq,BHCKB507_qoq,BHCK4060_qoq,BHCKB538_qoq,BHCKA130_qoq,BHCK3210_qoq,BHCK8696_qoq,BHCK3505_qoq,BHCK4059_qoq,BHCKA591_qoq,BHCK3548_qoq,BHCK5369_qoq,BHCK3507_qoq,BHCKB849_qoq,BHCK8708_qoq,BHCK1754_qoq,BHCK8560_qoq,BHCK3430_qoq,BHCKB838_qoq,BHCK8699_qoq,BHCK3817_qoq,BHCK8783_qoq,BHCK3499_qoq,BHCK3589_qoq,BHCK3816_qoq,BHCK6557_qoq,BHCK3580_qoq,BHCKA251_qoq,BHCK8758_qoq,BHCKB841_qoq,BHCK3296_qoq,BHCKB861_qoq,BHCK3190_qoq,BHCK8720_qoq,BHCKB511_qoq,BHCK8746_qoq,BHCK5461_qoq,BHCK5399_qoq,BHCK3000_qoq,BHOD3189_qoq,BHDM5367_qoq,BHCK2309_qoq,BHCK3656_qoq,BHCK3409_qoq,BHCK8710_qoq,BHCK5380_qoq,BHCK8562_qoq,BHCK5411_qoq,BHCK4172_qoq,BHCK8716_qoq,BHCK8694_qoq,BHCK3547_qoq,BHCK3826_qoq,BHCK2750_qoq,BHCK4783_qoq,BHCK1773_qoq,BHCK1772_qoq,BHCK4300_qoq,BHDM2122_qoq,BHFNA245_qoq,BHCKB529_qoq,BHCK8745_qoq,BHCKB577_qoq,BHCK4655_qoq,BHCK8693_qoq,BHCK4107_qoq,BHCK2333_qoq,BHCK3164_qoq,BHCK8747_qoq,BHCK8499_qoq,BHCKB984_qoq,BHCK8782_qoq,BHCKB857_qoq,BHCKB839_qoq,BHCK8697_qoq,BHCKB846_qoq,BHCKB851_qoq,BHCK0397_qoq,BHCK8705_qoq,BHCKA126_qoq,BHCK0387_qoq,BHCK5409_qoq,BHCK2122_qoq,BHCK4230_qoq,BHCK1410_qoq,BHCK2948_qoq,BHCKB513_qoq,BHCK4301_qoq,BHCK3820_qoq,BHCK1590_qoq,BHCB3187_qoq,BHCKA222_qoq,BHCK3545_qoq,BHCK4644_qoq,BHCK4062_qoq,BHCK3408_qoq,BHCKB489_qoq,BHCK4618_qoq,BHCK4302_qoq,BHCK4483_qoq,BHCK4782_qoq,BHCK3581_qoq,BHCK4020_qoq,BHCK8707_qoq,BHDM2081_qoq,BHCK4646_qoq,BHCK8496_qoq,BHCK5400_qoq,BHCKB853_qoq,BHCKB572_qoq,BHCK8759_qoq,BHCK3529_qoq,BHCK1296_qoq,BHCKB522_qoq,BHCK4628_qoq,BHCKB994_qoq,BHCK2170_qoq,BHCK1738_qoq,BHCKB530_qoq,BHCK3368_qoq,BHCK5389_qoq,BHCKB992_qoq,BHCK6556_qoq,BHCK1744_qoq,BHCK3049_qoq,BHCKB539_qoq,BHCK3500_qoq,BHCK4073_qoq,BHCK8714_qoq,BHCK6555_qoq,BHCK1597_qoq,BHCKB573_qoq,BHCKB496_qoq,BHCK8704_qoq,BHCK8760_qoq,BHCK1742_qoq,BHCK8724_qoq,BHCKB512_qoq,BHCK4605_qoq,BHCK1583_qoq,BHCK8431_qoq,BHCK4065_qoq,BHCK3197_qoq,BHCK6560_qoq,BHCK6761_qoq,BHCK3217_qoq,BHCK1752_qoq,BHCK6566_qoq,BHDM6636_qoq,BHCKB859_qoq,BHCKB488_qoq,BHCK3128_qoq,BHCK1607_qoq,BHCKB860_qoq,BHCKB996_qoq,BHCKB840_qoq,BHCK3298_qoq,BHCK4592_qoq,BHCKB491_qoq,BHCKB858_qoq,BHCK2332_qoq,BHCKB575_qoq,BHCK4092_qoq,BHCK4070_qoq,BHCK1912_qoq,BHCK3300_qoq,BHCK6570_qoq,BHCKB514_qoq,BHCK3163_qoq,BHCK8561_qoq,BHCK1594_qoq,BHCK4627_qoq,BHCK1737_qoq,BHCK4507_qoq,BHCK3411_qoq,BHCKA127_qoq,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
12/31/2008,26.570048309178745,55.65755810203599,0.0,-17.865008543763054,13.509831793413882,29.77430555555556,-31.04040850395247,-31.67038441011044,100.0,0.0,6.9730586370839935,31.428571428571427,-72.59171285299551,-4.557479493471446,-12.453486726547736,25.458115183246072,31.283312833128328,38.20912767186597,0.3216396140324631,201.3684640522876,100.0,-50.0,0.0,32.234771338641,-30.95925877093097,0.0,-58.2814183949741,-8.489993935718617,38.70967741935484,45.47581903276131,81.75270108043217,-40.3058467199897,1001.2063188128292,6.576426992731712,200.0,131.9672131147541,-10.338205483836552,17.825054218733865,-15.664335664335663,0.0,0.0,-37.096774193548384,-57.17821782178218,-7.782568927218085,100.0,-11.059280129867703,-5.05166475315729,33.146534847298355,22.97403619197482,27.79642974123813,65.0,-7.405689063881278,-14.508896953181386,-73.85740402193784,0.2664898776301995,100.0,150.72968016789966,3.403224918826702,-10.813953488372093,-45.57700319400083,0.0,-12.623399660650932,100.0,9.558193924367709,33.33333333333333,0.0,-10.325721172658833,-2.6743398781313474,-13.563702498324878,100.0,16.908212560386474,2.421742490390309,-32.21902707884016,156.33125019715604,100.0,0.0,-21.400978675415818,-7.210031347962382,-7.284648684469277,33.89830508474576,-6.205933682373473,2.921364767901596,46.16412347936151,112.80457483838886,-21.12911760576816,-23.984674329501917,-8.641522802288005,4.08220549857377,-22.030340616353403,-71.63881643761158,-17.854372160035464,34.88372093023256,-8.388869931869394,157.85488958990535,50.71283095723014,39.19599296342193,157.67211201866976,0.0,0.0,9.882191275786369,28.61450213266657,-16.091954022988507,157.67211201866976,-31.74197215117931,100.0,5.8322895284542,-5.847278297442268,-8.718236238119301,-9.097415506958251,47.20281900960459,35.18518518518518,32.88943488943489,-89.81366459627328,-180.01909004136175,-165.6558871509452,-100.0,54.140206699041215,22.13287145861685,-26.698643626314283,25.391849529780565,0.0096922677749787,-4.98829771630093,-3.7418147801683816,55.82215949188426,0.0,-74.49559533958511,35.7429718875502,-4.08426483233018,-75.38363171355499,-35.80094504278234,25.0,0.0,-8.272999324259098,0.0,-3.0868167202572345,0.0,3.080568720379147,-8.299099654239841,-4.578135672430528,-42.73655186111756,-17.48942172073343,-10.064187765422894,-86.75805163694437,39.565943238731215,-99.21104536489152,-16.520414639306114,19.113411639790296,28.465293992782847,0.0,4.440192008303061,28.829396927310253,9.393107654772797,-9.575405099626924,-53.74580987919803,62.02787121576166,0.0,0.0,1.020091864626483,16.666666666666664,0.0,-138.81807647740442,28.229209201034436,-12.1449824181769,-1.565261297652108,1.5544041450777202,-18.181818181818183,-7.142857142857142,6128400.0,-19.39501012625501,-29.900933119579072,-37.655160686958,24.21915542293721,0.0,0.0,44.17577307602883,-2.713982378639592,0.6222775357809583,12.349478827878343,-13.652585437759416,100.0,27.77534006143045,-1.9054860662281867,-1.0916630730788088,-68.87704979974306,0.0,-73.53497164461248,-36.48679890877145,6445800.0,54.01069518716578,68.28157883434265,100.0,-57.11898395721925,-57.0694087403599,-23.404255319148938,223.80952380952385,100.0,-19.35483870967742,-1.7647058823529411,94.5566286215979,742.3076923076924,172.19578518014956,-87.65932792584009,-1.4374693677503676,64.44174757281553,-2.234901772190585,-41.83395180399696,-119.83727652285624,285.78784757981464,57.9539641943734,0.0,-30.906990179087234,13.978494623655912,-3.282740703840794,-1.7772831512208285,-18.4645286686103,0.0,-24.777896275607887,0.0,11.303145523677845,48.45890410958904,24.231961044710047,23.995080587740304,-45.845643871153705,12.945888681417555,-6.632171561104462,-22.89584668203161,0.0,-6.473853532677063,-7.397451366721142,-192.08227156898437,-3.217665192033853,-1.706337826211643,-6.769587965901939,104.8148148148148,-2.080344332855093,100.0,-1.3964989098241103,28.89756356956396,-2.0681547155023114,-32.21902707884016,0.0,11.672994587608049,-22.98630993677751,0.0,-8.333333333333332,100.0,-15.131391328719785,100.0,100.0,-18.956144592436296,-22.42533529760652,-10.019858567515325,40.53157035411258,0.0,-7.968635150910908,56.601404455192295,-2.6710387663871926,-6.568704581416188,31.428571428571427,-156.7384466489233,7.143222114352869,4.710144927536232,168.00998573466478,71.62529092319627,-18.322833371952203,225.37313432835825,-6.687034430675226,0.0,26.81800692574067,43.22033898305085,-113.8839887931929,33.47022587268994,0.4963189676565472,3.383058071390517,18.067172822030628,-44.3063524482692,113.33333333333331,40.069686411149824,100.0,-42.85714285714285,-99.34782608695652,13.387978142076504,-47.08661417322835,100.0,-12.23440712816998,0.0,120.0,0.1673080140538732,-5.446530002229126,100.0,-79.95143204056852,-4.651263588249539,0.0,-17.63839811542992,-46.96174253001955,7.568766637089618,-21.89551812731944,-8.794279608777842,100.0,25.03329844924365,-16.540700724635375,47.41780877244945,0.0,-100.0,-298.4644913627639,-34.15175537938845,7.53880266075388,100.0,-21.2445571603062,35.7429718875502,30.230826507818318,180.0,23.70242214532872,30.508474576271187,-12.830220516119509,0.0,28.27906976744186,0.0,-15.266084193804607,13.559240335486358,8.845278461609922,0.0,33.011272141706925,-100.0,28.51711026615969,119.9516324062878,-17.63839811542992,-87.39930955120828,-10.53966030101366,-157.21672113555437,-158.26086956521738,0.0,-2.533408979839457,16.674840608141245,48.0914928927051,29.12308930008045,1.8450184501845015,-5.446530002229126,0.5677610466551469,38.75761266747869,-33.53909465020576,-58.333333333333336,100.0,0.0,100.0,40.60913705583757,-15.213128289813191,-18.66144009125191,100.0,99.99999999999892,99.99999999999957,True,True,True,True,227578307751.82642,99.99999999999957
12/31/2009,-28.20919175911252,34.00751839889871,0.0,-9.11651488123181,24.54252430141367,33.597621407334,-27.33268077817203,-25.500875134994228,-6.029173419773096,0.0,4.461371055495103,28.947368421052637,-34.9231894659839,-0.8576564798169637,-96.0971445644287,33.40058401911335,31.089459698848536,-1.1250592136428232,-2.465483234714004,-18.754795571632137,7.368421052631578,11.76470588235294,0.0,35.19206939281288,-0.7886890449168029,0.0,-4.177847280223198,-21.29963898916968,19.230769230769237,33.78684807256236,0.0,-23.76288760084122,-31.37793002329097,-0.0905774169683569,88.52459016393442,-91.50943396226415,-5.257916749651463,22.13983050847457,34.197886647454375,100.0,0.0,-2.941176470588235,42.71532846715328,-5.739241014657654,-48.44168900804289,-11.883783041709307,-29.63800904977376,29.21183635306901,-0.830860534124629,71.09153416415987,377.3722627737226,4.183414047539688,9.58915722030557,28.57142857142857,-3.2991994563799176,8.319827120475418,-11.76024087240341,0.1965414717546841,28.138801261829656,64.92569693025274,0.0,-11.544977593179585,0.8922742110990207,21.63450181280363,75.0,0.0,-13.719991502018267,22.218297421405865,0.9545983701979044,-92.5925925925926,5.88235294117647,-7.1151908653307965,4.849068721901092,-13.196309664303495,-1.374916163648558,0.0,-5.530290851191748,7.728119180633147,-3.3795525606648127,7.665505226480835,-2.713341030754697,-2.221845318860244,36.93834900731453,-19.68963943404838,-2.506055688819905,38.74269005847953,10.764289848517974,-0.2776457295606583,-15.024348845197924,-27.676783409728092,-0.2648262579247251,338.46153846153845,16.214275495278425,-120.70675759454431,18.15935762816553,-21.81642238942287,0.0,0.0,11732.947976878611,-7.313512724441633,25.72531586335985,40.74074074074074,0.0,-16.40058187939726,-2.9082774049217,2.538662688439549,-4.807492780101633,1.629694826115539,-5.760923447347921,17.59978170813385,29.411764705882355,29.158868920962902,70.58823529411765,-23.64624320779464,-126.88766114180478,0.0,-28.34043078442264,-1.0517355008787346,-16.236906644662955,22.869955156950677,24.577208672035,3.818530911815542,-21.623512946116165,13.299175363190152,0.0,326.0827718960539,27.376425855513308,2.45324753669817,333.59702938327416,23.245901639344265,39.34426229508197,0.0,-5.306169429097606,0.0,1.3953488372093024,0.0,-7.341327873647266,3.741526414212248,-0.1336008885519413,-23.94389056894696,-5.118534482758621,-7.920216886134779,-14.183392575567256,46.96969696969697,398.68995633187774,-8.623421701292822,36.882426516572856,-7.179829687760895,0.0,-1.058267716535433,-5.651300164423604,48.91146589259797,-26.34843768531717,-5.505267843893753,-10.421696442942215,100.0,0.0,-23.5269307014214,0.0,24.347826086956523,-108.71559633027525,34.32166438270836,-5.966264056643065,-0.7365513613047482,-9.236947791164658,0.0,12.0,-4.684999010844739,10.584642663645766,-9.38401225666907,63.28764094627459,-21.20527099299774,0.0,0.0,32.08310094813162,-6.286991788360395,25.02063046707377,8.419363542125218,10.93547823045987,-90.0,31.54596100278552,2.1097534635440773,1.4397535443714438,-2.190681888306078,-10.126582278481012,28.07017543859649,2.646392280137437,-7.684176580192059,32.196969696969695,-5.376492920983943,-1.2523191094619666,4.119318181818182,-13.821138211382117,1.8404907975460123,188.88888888888889,0.0,24.815724815724817,90.76923076923076,0.0,7.647058823529412,15.758591785414922,-7.563025210084033,1.8075769942542208,-3.2023289665211063,-0.8250175576701937,-29.69884377520839,-16.161870051526957,-2.964477383082034,14.061240934730057,0.0,7.878500237304224,0.5,-3.806195693237628,-3.810688746706812,0.3442340791738382,0.0,-1.2255684306637074,0.0,51.865671641791046,34.40438871473354,30.18542475204829,0.6689717378232111,-25.45047843916988,0.3358138361606861,-0.1164285188898739,-4.461596639790392,0.0,25.775346554424026,26.104761000116092,-115.97003745318352,-5.06569698492857,-1.6433664999634576,-5.033737454943666,-14.725033341178316,-21.59934047815334,50.0,-5.896382351684961,30.039706780696395,0.6074017037150558,4.849068721901092,100.0,-7.221396731054977,-3.9592533466022575,-4.477611940298507,11.11111111111111,-2.2217381834023087,-16.427786333040427,-49.28949107732981,3.515889114266396,-3.691899070385126,-0.3238667126052075,6.568188312029919,-0.1624470431869156,0.0,-4.768389020379307,25.359811119376435,-3.0427492202008546,-2.4566661391745184,28.947368421052637,-206.90884167237837,-10.530834890651043,-0.3439380911435941,-38.04554079696395,-6.184194602444633,-1.5689952706283066,8.37404047452896,2.1530054644808745,0.0,31.783295711060948,54.87804878048781,-1185.967741935484,31.845841784989855,42.99489506522972,-16.771908208840287,28.003314001657,-25.20394728592745,-80.3030303030303,98.71345029239768,-3.407211379424413,-2.4390243902439024,355.64202334630346,32.23388305847077,-160.72727272727272,0.0,1.9064748201438848,0.0,60.526315789473685,-1.809077693425941,-1.6361302862092462,3.609721229449607,-7.285706192283723,0.1953481062391953,0.0,7.087087087087086,8.680761167037435,21.96550938865081,-41.54777345438824,-8.441017090454356,100.0,31.764115432873275,-4.6153734192722045,-0.4605967556210986,0.0,0.0,2.9952658412235977,1.7867867867867866,-6.666666666666667,1.8798617113223852,-3.1996550645806288,27.376425855513308,60.10971786833855,15.555555555555555,18.41584158415841,32.06106870229007,0.2100863884196283,0.0,30.926916221033867,0.0,-6.536989795918367,0.4503138721378117,-5.230664885249787,-7.958477508650519,46.1764705882353,0.0,-11.859838274932615,-12.03585147247119,7.087087087087086,-7.43801652892562,-4.914053854666175,-189.6450833227325,10.023310023310025,-8.333333333333332,-4.004233072233579,-8.806818181818182,34.848895514297325,22.363847045191196,-4.770164787510842,-1.6361302862092462,-4.3373659609568325,44.40982404692082,-3.949160236041761,-17.24137931034483,0.0,0.0,1.9333607568901685,39.81900452488688,-1.4352104975396391,-2.0864005995756774,0.000475640109210385,0.9942340367489246,0.3979789987650961,True,True,True,False,1082705.8912769677,0.3979789987650961
12/31/2025,-4.391891891891892,33.53427696462588,0.0,0.5111337451059178,-0.5134082053632821,32.78800272665303,18.812972543685685,-14.363135709650452,0.8776206728425159,0.0,35.41666666666667,40.0,20.94421446875616,-3.472673335931748,0.0,31.31451863010057,33.663888595843446,10.656977027752037,-69.84126984126983,3.1862745098039214,1.2465373961218835,0.0,-42.85714285714285,38.050139275766014,1.830331689975517,0.0,5.333956095282579,-37.32718894009216,-52.94117647058824,38.80597014925373,34.21686746987952,-0.9312528474672552,13.2476687996406,-2.3999515336149,0.0,112.5,-1.282557221783741,34.56129252031729,5.73661897191309,0.0,10200.0,0.0,62.5,4.569444189924683,0.0,0.5088337113525129,9.225222056107642,35.31749787072963,6.783187682064086,-10.119393641282477,-10.036709494410143,3.7642317482806655,-0.1588355163524985,-14.285714285714285,0.1900730899613975,20.0,0.1463939521287158,1.4982936100552149,-24.13793103448276,-3.531212925039489,0.0,-0.630730216529033,2.0151133501259446,0.5243068663227214,33.33333333333333,-2.8837083950950007,-20.4839114502284,44.18604651162791,5.59753708368318,0.0,33.37430854333128,3.777808617579089,1.4705882352941175,-0.1598398944436818,0.0,100.0,-23.10837985810881,0.712719298245614,-0.8511206781384806,-10.526315789473683,0.064658924174977,-64.61538461538461,32.51343283582089,23.260247855100094,-11.251966798338112,0.3788835564536499,-16.00385436428289,-0.7622997912083292,-4.21059180727689,-18.942666377055215,8.626164267569857,35.714285714285715,-5.217370121169896,-19.75750895563516,28.04878048780488,34.909343744985826,5.277850934948644,0.0,0.0,7.774613088088947,34.35622456231023,-1.0,53.21961620469084,-9.88624202582313,0.9421265141318976,5.133997072036946,3.148051072752462,-4.22476356193844,-0.9578544061302682,-0.3351773511226814,25.0,35.335529902576624,-75.92592592592592,3.680430879712747,20.878749471905365,0.0,17.30126920507682,0.213474955742997,4.010400184740124,50.9478672985782,-2.33163511142,0.6722494811131902,-14.035087719298245,5.451586056548606,0.0,-4.200545665739215,46.42857142857143,106.11620795107032,-4.486954644793999,0.0,36.26459143968872,0.0,0.1571574991458831,0.0,-44.18604651162791,0.0,-1.201923076923077,3.907987545275465,0.4196934438752185,-4.607923234236531,-4.819277108433735,4.010400184740124,22.526968598506357,37.6571275742177,0.0,-5.060541676210636,-4.519265305720794,-9.613196814562002,0.0,-1.461769115442279,16.552083827224884,44.18604651162791,-21.575330519412564,1.4659774595373274,10.958837537055937,-100.0,-3.548912047764283,-19.540510105759296,-52.94117647058824,0.0,-22.7810650887574,33.9779234791269,0.4847505554433448,-7.339214934151643,-5.714285714285714,0.0,-8.0,-3.1335421642575625,4.573156215778698,9.309918690053223,0.0,26.873681132388626,-7.367542761785565,0.0,33.39439937189218,4.07140495113858,-5.3466302453727685,-0.3436248667984208,10.05390236448001,4140.0,34.091226112428515,-18.823856527179203,-11.992387402296508,38.93695920889987,100.0,-14.285714285714285,-30.089080459770116,-3.674013679946051,55.76923076923077,10.806417277882066,0.0,58.89250814332247,0.0,0.0,100.0,0.0,-2.874493927125506,0.0,150.45871559633028,100.0,35.686140140483126,0.0,-9.456091482187365,26.118500604594924,-0.88156911654832,-4.919089129615446,61.73275393807713,-7.360157016683022,-16.60377358490566,0.0,79.27400468384074,0.0,1.27635676724358,2.831064356435644,0.7382798080472499,66.89098250336474,-16.049625108483788,100.0,10.013908205841446,0.0,32.73706147968045,-2.823476093360526,4.491338938103031,-35.22119450827428,-1.374649976804008,-2.7862735693329266,51.495581237253575,0.1533515326930667,0.0168288668426172,21.136439825678845,3.2113509968467198,-11.938119620873737,3.2254079797965933,2.589641434262948,14.23487544483986,0.0,-8.442272087684218,34.50580902705858,-0.3577965694597437,1.4705882352941175,0.0,-9.107037256061504,-2.8060576825429067,0.0,0.0,0.0,-24.942014183855605,0.0,0.0,-10.576589422148755,-22.32220956907792,-14.736218495458909,-0.0837318509055124,0.0,3.4170406087126173,30.16308071810333,0.4786601836844949,0.6086639287358385,40.0,23.787226072298186,9.987726296409942,9.607843137254903,9.797639266545124,0.6079907353792704,-7.042118067366824,21.165644171779142,0.3066639101371373,5.2493438320209975,31.450719822812843,20.0,31.52998776009792,34.5565749235474,0.5434782608695652,-72500.0,35.38716480867731,-5.690748770998918,6.965475469412477,56.481481481481474,-0.4346334210225323,-4.716981132075472,0.0,-51.02040816326531,18.905667777995685,-100.0,-2.689201565231871,0.0,73.07692307692307,2.8008298755186725,0.5573184230692817,0.0,5.146026714964909,1.2263481371294047,400.0,5.010130779149015,-9.30541555942454,0.6054744985914309,-5.598621877691645,1.3559903879162374,-100.0,33.95911100004685,-15.466631983296384,-6.466170593909329,0.0,0.0,-1764.7058823529412,-32.34993508466617,29.136786188579016,2.464332036316472,-0.3594503697689766,46.42857142857143,36.444141689373296,0.0,34.33734939759036,33.33333333333333,4.972707754590094,100.0,33.49190452345184,0.0,-0.1109416169740674,3.48665149649967,5.075852667665439,0.0,31.9138019497178,5.661108956960062,20.588235294117645,26.181818181818183,5.010130779149015,0.0,-0.5415278133811844,23.79798732761834,0.0,0.0,-3.390987710514338,3.909902252443689,37.626574462830334,34.62432223082882,32.11009174311927,0.5573184230692817,6.01539039039039,32.73624823695346,-0.1463975739830597,50.0,0.0,0.0,0.0,30.0,-3.814840660618749,-6.276588032312993,0.00087219938877127,0.24805428637289614,0.09974503418242121,True,True,True,False,1985188.7879344174,0.09974503418242121
