feature,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024,12/31/2024,03/31/2025,06/30/2025,09/30/2025
RCONA567_qoq,10.181818181818182,-2.31023102310231,4.054054054054054,13.311688311688311,-7.736389684813753,13.664596273291925,-5.737704918032787,19.710144927536234,9.685230024213075,5.518763796909492,3.765690376569038,2.82258064516129,11.568627450980392,0.5272407732864675,1.9230769230769231,4.1166380789022305,18.451400329489292,11.68289290681502,8.84184308841843,10.526315789473683,16.35610766045549,9.786476868327403,4.213938411669368,9.020217729393467,6.847360912981455,8.210947930574099,7.464528069093153,1.320321469575201,-1.529745042492918,-7.882623705408516,-4.059962523422861,25.065104166666668,-26.548672566371685,2.6931254429482636,1.5873015873015872,1.4266304347826086,2.4112525117213663,-0.5232177894048398,15.976331360946746,10.600907029478458,4.254228600717581,1.376597836774828,-3.5887487875848687,-0.9054325955734407,2.7918781725888326,-3.308641975308642,-5.873340143003064,-7.433532284319046,9.202813599062134,-4.455179817498657,3.7640449438202244,0.4331348132106118,-4.528301886792453,14.963297571993225,6.286836935166994,13.909426987061,11.359026369168356,5.573770491803279,11.663216011042097,8.683559950556242,1.8197327267557577,1.5917341524713766,0.577240241891149,-7.023776988248155,-4.11522633744856,1.502145922746781,6.251887647236484
RCONB550_qoq,9.333092518174018,-33.50747501445445,0.919226110990342,-8.911591839246698,2.206006553832641,-2.128644146228598,4.170888213441406,1.238450316096612,-0.2882121241233548,-1.332819475222404,29.285202786276937,10.25957350386465,8.478330364890168,10.387942829477762,11.780633843102857,9.675878539747526,2.292664717227649,-2.6016482681020587,-1.7906486613066894,-0.5690850130349081,0.41406874500399676,0.3152414462895445,4.410621042106433,6.811479646125315,6.8068937054378305,1.4390406395736177,4.083804019440431,8.552606670957482,5.648949032738095,22.780742778541953,-1.6239906073832422,1.9988156516193685,-3.685277646281228,-4.24081681859913,2.7474336625992644,5.240487478439541,8.718665197882803,3.0067879267167523,2.5303498024663713,4.7595276352120806,5.711498942728654,-3.4343107079215938,7.475401705287266,8.725365112112494,1.5161445361995893,-6.776399119516964,-6.942493256033294,-4.045615949989722,-3.8535118884941237,11.873300247376427,4.712232439002617,11.461605556029197,6.32501765121205,8.080903104421449,-4.718067921746121,-5.269804081720384,-10.804862414984315,5.516302792493147,-2.088393594387555,9.586831802624776,4.3184703357936485,-2.852235157284857,6.296524163465748,-6.016884193620715,7.535037006624575,0.5572209122944604,4.780937819075521
RCON3499_qoq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-50.0,-50.0,-100.0,0.0,0.0,0.0,100.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7600.0,-79.87012987012987,-100.0,0.0
RIAD4460_qoq,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
RCON3485_qoq,432.0121951219512,72.32091690544412,-3.2590621882274693,0.48126503953248534,-89.1891891891892,0.949367088607595,-12.539184952978054,18.27956989247312,8.181818181818182,18.487394957983195,-9.219858156028367,-10.677083333333332,19.24198250728863,28.606356968215156,-0.38022813688212925,15.839694656488549,0.6589785831960462,19.803600654664486,-5.05464480874317,-1.870503597122302,7.9178885630498534,5.570652173913043,2.3166023166023164,10.69182389937107,4.431818181818182,-23.721436343852012,12.696148359486447,2.151898734177215,7.930607187112764,-13.203214695752008,7.4074074074074066,0.0,17.24137931034483,3.361344537815126,2.1341463414634148,40.19900497512438,-21.50461320085167,-10.03616636528029,8.241206030150753,10.30640668523677,4.292929292929292,0.5649717514124294,-17.897271268057786,136.55913978494624,292.06611570247935,303.0775716694772,89.6846564166928,5.95371021325283,12.093101922926804,12.997202780969625,12.248985670997895,11.872254758418741,11.011500646195625,1.2017742933773468,10.134913758582277,7.055735884231194,5.915771273311103,2.263875932835821,4.058083385118841,-2.0814043315563686,6.608587638902877,-5.087307710475351,-2.7527095775270958,2.8710011258827945,2.2889708199059204,2.9575470678511984,4.1737304815641
RIADB492_qoq,-47.12643678160919,94.56521739130434,37.43016759776536,15.040650406504067,-72.08480565371025,96.20253164556962,48.38709677419355,5.217391304347826,-83.47107438016529,167.5,39.25233644859813,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0,100.0,100.0,46.774193548387096,-69.23076923076923,96.42857142857143,52.72727272727272,46.42857142857143,-75.60975609756098,13.333333333333334,14.705882352941178,7.6923076923076925,-97.61904761904762,100.0,50.0
RIAD4464_qoq,432.43243243243245,265.48223350253807,40.416666666666664,1.9782393669634024,-98.15712900096993,2126.315789473684,28.132387706855795,14.575645756457565,-73.10789049919485,129.94011976047904,36.45833333333333,16.793893129770993,-66.17647058823529,44.44444444444444,31.77257525083612,25.63451776649746,-64.84848484848484,83.9080459770115,45.9375,25.910064239828696,-75.17006802721087,108.21917808219179,42.43421052631579,14.780600461893764,-68.61167002012073,84.61538461538461,36.45833333333333,16.793893129770993,-72.1132897603486,103.125,48.07692307692308,40.77922077922078,-71.58671586715867,95.45454545454545,51.82724252491694,29.75929978118162,-82.79932546374368,104.90196078431373,52.63157894736842,58.620689655172406,-76.6798418972332,85.59322033898306,62.10045662100456,47.04225352112676,-77.58620689655173,108.54700854700855,51.229508196721305,41.734417344173444,-51.625239005736134,77.4703557312253,35.4120267260579,33.55263157894737,-74.75369458128078,96.58536585365853,64.51612903225806,18.702865761689292,-76.62007623888184,111.95652173913044,52.307692307692314,33.5016835016835,-76.04035308953343,101.05263157894737,55.75916230366492,52.10084033613446,-74.80662983425415,124.56140350877195,62.109375
RCONB563_qoq,73.69090224147673,-6.327775518503456,-38.60959161818761,3.111593041346471,8.829043025010288,-9.822703974455928,3.8250093179276927,8.620148081669285,5.077253573494175,-2.0404953803813646,14.151549205329909,15.304830883904085,2.399756060375057,5.434458936334941,8.179173609738188,6.897632039265853,6.611307851996581,-4.499221112434711,-0.9307234695835732,26.590799031476998,3.6322252400443746,-15.599564422952698,10.75247654661156,3.8068159380800064,-2.360482367710275,-2.438976876473224,3.9496016453345577,8.346299391075512,0.47159775902418266,16.241397564849127,2.0220420803351855,17.226140523167572,-6.786997194826296,0.6427365324908764,-1.615522000324728,7.405726545094479,4.238210476446561,-6.543502561141888,2.1818564180752347,3.4395822078155955,6.113211301233585,-1.3933811465804153,2.9378557931141036,4.565029151994458,2.0426415219335534,-4.90375355716898,-16.950174656092482,2.472941498835457,-1.2487465739688481,9.846874534598774,2.294968817018759,10.388452455540026,8.505970442489467,-0.013077023669412841,8.475019618100967,0.6946634267589175,-2.730931832625655,-15.784141052591707,0.7038690308870323,-2.5334122349630985,0.902696634362041,-3.2333507413546467,1.7704202548278856,-5.535893386209838,0.9665491024029484,-3.184944339018288,2.2622287697570473
RIAD4020_qoq,-80.8080808080808,97.36842105263158,32.0,22.22222222222222,-84.29752066115702,78.94736842105263,35.294117647058826,28.26086956521739,-83.05084745762711,90.0,57.89473684210527,33.33333333333333,-80.0,112.5,41.17647058823529,16.666666666666664,-96.42857142857143,0.0,100.0,100.0,-50.0,150.0,40.0,85.71428571428571,-38.46153846153847,162.5,9.523809523809524,113.04347826086956,-63.26530612244898,127.77777777777777,53.65853658536586,34.92063492063492,-62.35294117647059,112.5,58.82352941176471,39.81481481481482,-62.913907284768214,146.42857142857142,76.81159420289855,62.704918032786885,-47.858942065491185,109.17874396135265,54.96535796766744,21.460506706408346,-84.9079754601227,38.21138211382114,28.235294117647058,20.642201834862387,-87.07224334600761,70.58823529411765,-13.793103448275861,4.0,-90.38461538461539,740.0,357.14285714285717,194.27083333333331,-13.274336283185843,147.14285714285717,58.876961189099916,42.775467775467774,-75.60975609756098,103.43283582089553,65.2971386647102,34.17665335108744,-79.15977505788952,114.12698412698413,57.15344699777612
RCON5370_qoq,-0.7662835249042145,6.94980694980695,9.386281588447654,6.9306930693069315,-4.012345679012346,14.308681672025724,10.68917018284107,11.30876747141042,9.474885844748858,8.342022940563085,7.122232916265641,9.433962264150944,8.045977011494253,8.358662613981762,5.890603085553997,13.245033112582782,10.760233918128655,12.460401267159451,22.816901408450704,10.282874617737004,9.289428076256499,9.134157944814463,9.12525428654461,8.548601864181093,7.728164867517173,9.929401047597358,6.132173192459085,4.9189927776693345,6.0093023255813955,0.4563004563004563,2.044025157232704,0.4793699708953946,2.811381836769467,0.6131919124958568,2.1083841212320866,0.4194224874979836,2.538152610441767,2.992323358922137,2.4642531183449954,6.264845605700713,-2.5146689019279127,4.643164230438521,3.5880580662832102,1.7847699629825489,0.6104688920639044,5.473792925380842,1.003671970624235,3.7203102278235582,-0.15188690267554622,0.07020828457758016,5.250233863423761,-2.7330296633707363,3.1067961165048543,7.887448764816661,-2.5464626758394084,2.265303972184175,2.2357304759942305,1.672881185125466,2.814946971949648,2.19801407500241,1.028204886331478,1.7180205415499534,1.5421332843767213,1.2655939251491592,0.8480628459203714,1.611047180667434,-1.1499259517379563
