feature,06/30/2001,09/30/2001,12/31/2001,03/31/2002,06/30/2002,09/30/2002,12/31/2002,03/31/2003,06/30/2003,09/30/2003,12/31/2003,03/31/2004,06/30/2004,09/30/2004,12/31/2004,03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024,12/31/2024,03/31/2025,06/30/2025,09/30/2025
RCONA567_qoq,70.68281478387972,-17.934915586004404,16.174716756112105,3.1181829847298856,-14.0119462419114,-21.99710564399421,41.81818181818181,-9.000523286237572,16.77688326624497,62.2922565554598,0.5006447697792612,11.178202128462525,7.909029192124915,1.1198490091223656,12.909848814782555,4.391668503416354,6.671945104249143,-4.077391261319215,-7.815321124580861,-4.9860100727476215,-5.265327757818482,-6.049114081442338,-6.5841715193223935,-32.62024509456683,-15.7905803195963,-0.7740324594257179,17.916456970306996,-7.212974818608621,12.316007359705612,209.77782328248185,4.9742199894235855,-1.5931488303265011,-16.976483762597987,-2.177347874677251,-19.898361172392057,-3.6935031721831506,-20.815034215095494,-17.27718302592545,-15.186715521945896,-12.813677727732328,-2.319451765946231,-16.157582298974635,-9.294541709577755,-3.0939540164632415,-5.374926772114821,4.813496362792137,7.501476668635558,3.708791208791209,1.814569536423841,-3.0571094054897876,0.28180354267310787,2.9439314866854005,5.433510984011439,-1.3808408334360744,4.900612576572072,5.493981647002741,10.551287844554903,15.001021867974657,7.3751555002665725,3.781860311155247,-0.4864045929351727,-1.1618589743589745,0.7296311309282529,1.915492957746479,3.379925767985469,-1.1076311970055763,4.093928626602811,6.4188186405461565,9.936545568649327,15.615882278320436,11.9596225587009,1.6268130145041162,-1.0125361620057858,1.914271797369703,1.9356688811355924,-0.6189047261815454,-17.220230232119267,-7.192522512253505,-17.75976418570376,-18.496117084826764,-4.644983967017866,3.487701767870868,5.356977068053106,4.0095170955234405,7.88782512920444,5.363593529134601,7.46813743757919,4.036340939038769,80.16132257849476,2.8454081255087695,-2.2773880194279545,-2.3599145865547455,-1.236755778439727,3.455121597373344,5.989371909366005,4.087601406636259,7.994647934437197,0.5327551494502091
RCFD8719_qoq,48.656499636891795,-13.395212506106496,228.70036101083033,35.75645249862713,-3.3245689437225057,-21.36562148591752,-19.64814260534105,-5.897934688133769,4.042047853624208,2.90424857324033,15.754662722865827,-1.220853887922774,6.168936154924011,-2.1015228426395938,25.348266445435375,3.7118746897578734,11.167836630504148,10.950057405281285,4.658733238477127,-0.9125177662883392,7.600199567603526,-0.5950540958268934,14.514498950478117,32.511880515953834,8.170244377273427,3.892013498312711,30.362882086116112,-2.204873101772116,-0.3996030788210368,-6.202093094225143,-25.860254152951086,-7.904077233831103,16.790694415247707,10.774455217433042,-4.950441423387315,1.7664824206507495,13.364690072232488,8.444220529690108,7.0952931852756045,8.924348876375824,6.253416420684377,1.3537547954669058,-2.356643559474432,15.751013679098161,8.555957605153077,17.255502233989738,2.7071436131874336,0.07410242820407122,8.467902100302565,16.963619677111634,-2.4355173493407754,-4.145603220132165,10.63121001206871,8.866141143945903,4.855834894750208,-3.9868827564538933,12.374475917783004,-7.3800402216742045,4.183492007349112,7.527733506854396,2.966988633705973,6.79957866404704,-4.391193156140174,3.560187296326367,10.030661998453477,2.390149509403207,18.45439249574597,3.9598661669050794,0.6206468119035685,7.516454264645353,-12.883761533865467,6.36569914884442,-4.692606928772069,6.872090715000466,6.269664369489238,-18.444646975207025,1.438765535234338,19.016225212678346,6.175142921319006,9.637937564617447,10.489485461397933,18.306919440090248,-3.646179303120127,1.5840108920053224,-12.46451688230186,0.11865461780430603,0.8340387737825947,8.833883842554362,-1.5452960152354553,9.868129525140418,2.456520188871366,20.168414326627946,1.4747884478069975,11.670815008889305,2.446737376259609,5.598604969958107,5.097453596844803,13.082877879382822
RCFDA556_qoq,-15.402431962941519,-0.7529089664613279,2.2758620689655173,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,300.0,25.0,-100.0,100.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-94.28571428571428,-100.0,0.0,100.0,-61.72839506172839,164.51612903225808,-100.0,100.0,21.73913043478261,25.0,57.14285714285714,-10.0,5.05050505050505,-4.807692307692308,27.27272727272727,-14.285714285714285,-5.555555555555555,4.901960784313726,-0.9345794392523363,20.754716981132077,78.125,3.508771929824561,-3.8135593220338984,-44.93392070484582,88.0,30.21276595744681,5.228758169934641,-7.453416149068323,131.54362416107384,5.36231884057971,56.671251719394775,-14.310798946444251,1.331967213114754,2.224469160768453,-13.748763600395646,-31.077981651376145,19.467554076539102,35.93314763231198,7.479508196721311,26.024785510009536,9.4553706505295,17.760884588804423,25.234741784037556,-7.872539831302718,18.260427263479144,47.096774193548384,-11.637426900584796,-4.5665122435473195,4.611650485436893,-9.877361617500828,-2.280250091945568,-5.344373353406097,-0.7554671968190855,1.4823717948717947,-6.158705092775365,-3.912494741270509,-2.1015761821366024,-6.932021466905187,-8.745795290725612,-2.2643496577145865,-2.478448275862069,0.16574585635359115,4.026475455046883,-6.044538706256628,-1.805869074492099,-4.252873563218391,-0.12004801920768307
RCONB550_qoq,4.318445989873717,8.307680685917168,2.084568439407149,-6.17468464698397,11.418064645324547,5.578203504758792,2.797273142308853,3.38130796097796,8.101063055191496,2.9077364514434283,-0.30435323301676237,11.945403694901456,4.375619454235161,-5.804218593727174,76.59027462957219,5.390095357768973,-1.0512820512820513,3.6716118165327805,3.375982253050257,4.009550867436378,3.226143912404177,-4.124111838030786,6.5377094233919975,-0.8124703729426421,1.6015737879831953,-0.3443089208554395,1.4294691836740294,5.985227672411461,-4.014989839992648,56.63849320751907,-1.6391410724200166,-6.080823320035974,-5.2326286653212915,-3.0152283870166947,4.124230856141852,0.4747519171565587,0.07129681840337179,1.0707914229721625,0.6871475439577884,2.366830586733736,3.956984909881003,6.720273170938196,7.25383548761885,2.3691606930430655,0.12538779147393123,0.8124214488884078,3.7505070267948746,-4.1698887205595305,6.182401775871249,3.257507055742485,1.2540441453087914,1.7886624819971844,-0.3099279135546674,-0.7280318906727239,5.903583432358992,0.9125966452005091,-3.6020637006303797,-0.007681101495992157,0.5534723849699242,3.383352043412563,1.5154532395004765,3.980427887053215,0.6989762744362865,1.6055237747365072,-0.3316630349950888,1.6266008579795943,0.19818167454928268,3.9741902163231915,-1.4112816815813565,1.1697549132716019,-2.341106538637403,5.185495234989965,-0.802622278426161,1.9948401662565038,0.6393613807067853,9.115510536006978,12.042948261863916,5.493116479607926,6.357327269712688,8.356633878237151,1.8751160519515864,3.5703850670347226,3.793020761196867,2.141132510643861,-3.335143248330686,-0.5664274108394621,-4.002937258290866,1.3770879482316556,1.6253846377885504,-0.4073618388867931,0.4299746900501515,1.308656832582683,-2.61737850399056,0.812538625978947,-0.8175803560960087,1.3252749984463363,0.3330686650786572,-0.682995932855234
RCFDB559_qoq,-13.484264529467316,-15.004720320981827,-7.129468934397779,13.481088354014053,-11.596350821723808,10.923180090902317,25.273728756633307,21.614520496528055,19.7041511430524,-5.180574227886333,-29.547838247290525,-7.0961872467124305,9.2643698626072,-6.928111675402623,27.84359498103297,12.701999452204877,-30.93545577900642,-8.66518092780482,-9.811538831990239,23.19248157772952,58.58521643645611,14.53717201166181,16.966814088898786,3.785210070318132,4.825308625796136,-3.1954793218982847,-8.83614009711747,-0.704065731690041,17.532421211818583,5.967322958898789,31.190863479117503,45.06448261108734,14.762426416593435,4.805836445264969,-2.4260985752676065,-6.914590802086379,1.472200642434861,1.630024596973432,-2.2786649641237156,-3.505079111674849,6.072126689141336,-4.626840159818816,0.9739568748249791,2.736717159671416,-6.216290633452648,-5.878221623519794,1.4630148381019952,0.670926517571885,-3.9083130243169286,3.499588723547446,-3.8526840546203314,0.23733037766213924,0.1930381328402219,-0.15463178306657271,-0.8536653906440271,-1.9122482143531991,-4.697874526423939,-6.472435215006671,-3.294478704397441,-5.468022497858234,-1.6486071161196265,-4.78914769677011,-3.848484338444448,3.297944036480443,0.7744384473949552,-1.0299743557405305,-0.5479568430889474,-4.628198009652757,-3.813806013596424,0.03911015094655877,2.0804050972251957,2.4328415370306202,15.189524097779836,13.657967340819338,9.365608213775753,10.658774962075054,27.07317347236892,0.9156626506024097,0.4871936419477231,0.12600388911657756,-6.333198343544658,-9.476390380422401,-0.016947498703259567,4.662379421221865,6.247944916397972,-3.4485944183210617,0.12438524982299022,2.514716562822522,2.181765640803352,1.8592176324624141,2.3536998226664516,-6.278766559913198,-4.365281285449529,0.715115541193584,3.3131873191584233,-0.6572435178713003,1.4997969418498125,-2.128520782737348
RCFDB857_qoq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,210.25851456709069,25.208305779658772,18.252878419773953,5.832961143367575,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-8.950617283950617,149.15254237288136,297.27891156462584,10.308219178082192,-0.8692952499223843,17.0059505167554,-5.326552462526767,4.2408821034775235,2.6851098454027666,-1.7696777601690437,-2.930895401989782,-4.487534626038781,-11.194895591647331,-7.544088830829524,-22.359590250794774,-24.840764331210192,-6.053268765133172,-39.175257731958766,-9.004237288135593,-11.757857974388825,-10.026385224274406,-12.463343108504398,-5.360134003350084,-1.592920353982301,-2.338129496402878,-4.23572744014733,-3.4615384615384617,-6.97211155378486,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.1363636363636365,0.0,0.0,0.0,0.0,-1.1235955056179776,-1.1363636363636365,-39.08045977011494,0.0,1.8867924528301887,1.8518518518518516,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCON3499_qoq,0.0,0.0,100.0,-66.66666666666666,100.0,25.0,-80.0,400.0,-80.0,100.0,400.0,-100.0,100.0,-14.285714285714285,50.0,388.88888888888886,-84.0909090909091,-42.857142857142854,225.0,69.23076923076923,-31.818181818181817,0.0,-40.0,188.88888888888889,-3.8461538461538463,-96.0,2000.0,285.7142857142857,-98.76543209876543,12900.0,168.46153846153845,22.063037249283667,-53.051643192488264,4.0,9.615384615384617,-19.298245614035086,3.260869565217391,-55.78947368421052,17.857142857142858,-33.33333333333333,-42.42424242424242,-13.157894736842104,366.66666666666663,-9.090909090909092,-87.85714285714286,23.52941176470588,785.7142857142857,-41.935483870967744,-74.07407407407408,-75.0,1157.142857142857,-42.04545454545455,-74.50980392156863,38.46153846153847,211.11111111111111,-23.214285714285715,-76.74418604651163,-10.0,755.5555555555555,-49.35064935064935,-92.3076923076923,133.33333333333331,1057.142857142857,-38.2716049382716,-90.0,-40.0,2133.333333333333,-62.68656716417911,-84.0,0.0,700.0,56.25,-12.0,-90.9090909090909,1325.0,89.47368421052632,-68.51851851851852,-58.82352941176471,1785.7142857142858,-23.484848484848484,-80.19801980198021,87.5,72.0,-41.08527131782946,-63.1578947368421,-10.714285714285714,459.99999999999994,-64.28571428571429,-40.0,256.6666666666667,164.4859813084112,-57.243816254416956,171.07438016528926,-74.39024390243902,557.1428571428571,-43.65942028985507,-70.7395498392283,35.16483516483517
RCFN6631_qoq,29.57383548067393,13.201774514303196,2.837837837837838,-11.419185282522996,43.07966177125056,-12.441679626749611,-12.61101243339254,2.0460704607046067,-19.99734431018457,6.871369294605809,-1.3045503960242273,24.626278520849727,-6.780303030303031,-5.146959230665042,-0.01427959445951735,-4.298771779491574,9.655275332039993,-7.4578116494284155,11.058823529411764,-11.586334745762713,12.58050022465179,-32.7923373686311,60.84718923198733,5.2916564115185825,-28.459560542309493,12.056853455317759,-5.598483743986004,13.343629343629344,8.502520779397738,28.883586587969358,-21.79674559095781,-6.64091701968602,15.721339917256106,11.659554837965633,-14.552778351580253,23.691526652967486,-9.185966969608131,15.79683632841924,2.2395688133073133,6.898745682603163,15.313323696964542,10.389323108686034,27.31280475586133,-11.458551941238195,2.950936240815359,-6.3831011856797515,10.341223486012911,11.812559202095057,-2.2723875018687396,7.332619448268829,-15.919996199344386,-22.737032433043282,30.751791721515286,9.709715308462442,-2.100433341830232,-3.338020101025881,17.891391013899362,-7.343600054837088,-27.94929966462813,15.442535423369156,2.1761043581381556,-7.317780872794801,-5.628952476363409,12.075371549893843,4.878048780487805,4.701964326032964,-12.221683109601596,10.213732956639234,-3.3101142379492896,19.98155725894761,-2.1808050725333845,-4.910626595953644,10.204503201817806,5.018744142455483,-7.19735844005176,11.347244927396865,1.0277226012609033,-4.116088220208583,9.713368697900416,-2.478465789045994,9.561703191400717,13.849488534813856,-7.735729316276428,4.894471997972704,-2.1259706643658327,-0.9626573574526605,1.096631773837499,-6.237233218285553,-3.188971941554295,-7.41444866920152,2.6358798139378954,4.397354238118569,10.203762368493097,17.72304634821492,-14.017846376462076,10.76011499894818,0.364027729416606,13.278243865514414
RCFDA557_qoq,-15.430072225869992,-0.7453416149068323,2.299749687108886,-100.0,100.0,0.0,0.0,-50.0,0.0,0.0,0.0,-100.0,0.0,0.0,100.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,100.0,8050.0,-47.85276073619632,-100.0,0.0,100.0,14.529914529914532,197.76119402985074,-100.0,100.0,-12.5,-9.022556390977442,-25.6198347107438,343.3333333333333,60.150375939849624,-36.46322378716745,-6.896551724137931,-12.16931216931217,45.18072289156627,-16.804979253112034,-19.201995012468828,83.33333333333334,76.5993265993266,1.1439466158245948,-6.8803016022620165,12.854251012145749,10.672645739910314,1.539708265802269,23.782920989624902,-1.5473887814313347,-16.0445317616241,-6.162246489859594,13.96508728179551,15.900802334062728,-15.859030837004406,19.970082273747195,28.179551122194514,-7.782101167315175,-0.4746835443037975,-8.426073131955485,3.4722222222222223,-11.073825503355705,4.150943396226415,-21.014492753623188,14.449541284403669,31.462925851703403,-13.871951219512196,46.961651917404126,-17.663588920112407,-24.573378839590443,-20.361990950226243,-19.967532467532468,-47.3630831643002,-27.74566473988439,-3.2,26.170798898071624,20.52401746724891,-15.39855072463768,2.141327623126338,1.257861635220126,32.50517598343685,-10.0,5.381944444444445,10.543657331136739,-3.427719821162444,16.049382716049383,-5.319148936170213,-0.8426966292134831,-4.957507082152975
RCFD3368_qoq,4.023000208722567,0.5532567762332047,42.41407337467027,-3.9359220812508013,1.8424343328157158,-0.517859606776014,7.073407960897778,3.4895789779183533,0.1278608265798417,1.711495311426953,-1.8116674808409747,-2.645084316617892,4.811055287831664,1.292080745341615,45.60791389515285,2.3990583588027765,-0.08461698220678622,2.829300418298098,2.2665092215472984,5.064392297387613,7.19115502182186,-1.0880133460190025,4.246813242994669,0.776083483325581,3.6958437644760846,0.026851850358589124,4.569151556142788,3.792468103149212,1.9284075986523503,-0.34656968156542234,27.500327227284394,-3.3532304981785144,-0.5694401257088331,-1.6931571861004746,-0.5247699426541315,-0.1105242793340958,-0.4621984025592289,-1.448767415224119,2.143157435809601,0.5897614917209608,4.877680633004315,2.810090849084631,2.14230297851288,-0.7089758845824027,-0.18958239211958106,-0.4099869761655499,2.7673446306889002,1.111686327115574,3.7558123558986556,-0.6059734551039104,0.34232994611608,-0.9355764902111698,0.24962344449988141,0.7982891565635861,2.9314072464511476,3.276118167161706,-2.4335728955774396,-2.9062884328921115,-0.4514103615501681,0.38311819865709656,3.7571467184945875,2.384358465559239,2.384856105571853,-0.3097188672895126,1.163427852943327,0.7211385013987196,-0.2701450777395237,0.9630916873940172,0.8351005091873089,-0.5779940901676288,2.2727891756291925,1.293547249886137,5.181997809306259,0.5645835063321815,0.5591810081520021,3.54066721046301,12.72644729622778,3.365372535590937,4.173461308738349,5.139164453262504,2.5307269265083825,0.7735563461398716,3.4927004757110582,1.9321114762944613,0.3709822856976643,-2.1830064677594447,-2.2035501163443176,-2.1842203560248885,3.9602037754010797,0.06756599750113057,0.8762168106684577,0.8982953106730043,1.095951394267556,1.647848509616428,0.6627994352855451,0.6327041542558516,3.8336955196235283,1.6325515555770838
