bank_name,quarter,anom_score,systemic_score,adjusted_score,is_anomaly,known_event,known_event_label
JPMorgan Chase Bank,06/30/2001,0.39547180593876274,0.38270769300927976,0.012764112929482985,0,False,
JPMorgan Chase Bank,09/30/2001,0.35322969390058356,0.42409488953164143,-0.07086519563105786,0,True,9/11 Terrorist Attacks - market-wide shock
JPMorgan Chase Bank,12/31/2001,0.507354769701577,0.4322189761656676,0.07513579353590938,1,False,
JPMorgan Chase Bank,03/31/2002,0.42819828894408846,0.43270235499669074,-0.004504066052602285,0,False,
JPMorgan Chase Bank,06/30/2002,0.38820524206055584,0.39102246507431115,-0.00281722301375531,0,False,
JPMorgan Chase Bank,09/30/2002,0.3653463817210763,0.3762402565174665,-0.010893874796390202,0,False,
JPMorgan Chase Bank,12/31/2002,0.36982257843272437,0.38589418997656766,-0.01607161154384329,0,False,
JPMorgan Chase Bank,03/31/2003,0.3786624551698412,0.40168820157031543,-0.023025746400474223,0,False,
JPMorgan Chase Bank,06/30/2003,0.35655806191229183,0.3723620566749354,-0.015803994762643547,0,False,
JPMorgan Chase Bank,09/30/2003,0.3755295417622289,0.3623937126836501,0.013135829078578798,0,False,
JPMorgan Chase Bank,12/31/2003,0.37281601676094683,0.40031461911468735,-0.02749860235374052,0,False,
JPMorgan Chase Bank,03/31/2004,0.4145254646363823,0.4338009087990703,-0.019275444162688005,0,False,
JPMorgan Chase Bank,06/30/2004,0.3532366779043872,0.3689474269710803,-0.01571074906669312,0,False,
JPMorgan Chase Bank,09/30/2004,0.3723813895287768,0.35234235316916934,0.020039036359607465,0,False,
JPMorgan Chase Bank,12/31/2004,0.6145045038664834,0.4195573565752542,0.19494714729122914,1,False,
JPMorgan Chase Bank,03/31/2005,0.38035678545428997,0.38768006148811823,-0.007323276033828263,0,False,
JPMorgan Chase Bank,06/30/2005,0.3657760679468339,0.41849057244892995,-0.05271450450209603,0,False,
JPMorgan Chase Bank,09/30/2005,0.35241102217782155,0.36129837679823534,-0.00888735462041379,0,False,
JPMorgan Chase Bank,12/31/2005,0.36601973236118335,0.37887094165057844,-0.012851209289395094,0,False,
JPMorgan Chase Bank,03/31/2006,0.40972246867587264,0.40717013957873427,0.0025523290971383727,0,False,
JPMorgan Chase Bank,06/30/2006,0.3708339104008775,0.3901196912855895,-0.019285780884712,0,False,
JPMorgan Chase Bank,09/30/2006,0.36910418682577006,0.3620375130100091,0.007066673815760982,0,False,
JPMorgan Chase Bank,12/31/2006,0.34282967862030866,0.4073644036920479,-0.06453472507173924,0,False,
JPMorgan Chase Bank,03/31/2007,0.37746061898599936,0.39806183500727343,-0.02060121602127407,0,False,
JPMorgan Chase Bank,06/30/2007,0.3605088395460222,0.3808988107136046,-0.0203899711675824,0,False,
JPMorgan Chase Bank,09/30/2007,0.36995283880035207,0.37267352388858865,-0.002720685088236585,0,False,
JPMorgan Chase Bank,12/31/2007,0.3662571436327052,0.3657521539580205,0.0005049896746846527,0,False,
JPMorgan Chase Bank,03/31/2008,0.46193414628903007,0.4126038416156163,0.04933030467341376,1,False,
JPMorgan Chase Bank,06/30/2008,0.37466281140549856,0.3801065168971359,-0.005443705491637363,0,False,
JPMorgan Chase Bank,09/30/2008,0.5288817871664112,0.39486708499771944,0.13401470216869177,1,False,
JPMorgan Chase Bank,12/31/2008,0.45888563730546494,0.4472375555227022,0.01164808178276272,1,False,
JPMorgan Chase Bank,03/31/2009,0.4430927588439412,0.449808492739419,-0.006715733895477749,0,False,
JPMorgan Chase Bank,06/30/2009,0.37296067771516267,0.4057051045483737,-0.03274442683321105,0,False,
JPMorgan Chase Bank,09/30/2009,0.3725528269964344,0.3541913932857692,0.018361433710665176,0,False,
JPMorgan Chase Bank,12/31/2009,0.37411376971548504,0.3677384848902963,0.006375284825188732,0,False,
JPMorgan Chase Bank,03/31/2010,0.388046211846447,0.43690556410773856,-0.048859352261291566,0,False,
JPMorgan Chase Bank,06/30/2010,0.3638396689991495,0.3711118174470786,-0.0072721484479291165,0,False,
