bank_name,quarter,anom_score,systemic_score,adjusted_score,is_anomaly,known_event,known_event_label
Wells Fargo Bank,03/31/2010,0.6986388942431918,0.43690556410773856,0.26173333013545325,1,False,
Citibank,12/31/2006,0.6063335942705932,0.4073644036920479,0.19896919057854529,1,False,
JPMorgan Chase Bank,12/31/2004,0.6145045038664834,0.4195573565752542,0.19494714729122914,1,False,
Bank of America,06/30/2005,0.6078670025260428,0.41849057244892995,0.1893764300771128,1,False,
JPMorgan Chase Bank,09/30/2008,0.5288817871664112,0.39486708499771944,0.13401470216869177,1,False,
Goldman Sachs Bank USA,03/31/2009,0.5737231855495513,0.449808492739419,0.12391469281013229,1,False,
Wells Fargo Bank,03/31/2004,0.534211635987479,0.4338009087990703,0.10041072718840871,1,False,
Wells Fargo Bank,12/31/2003,0.48529901852937934,0.40031461911468735,0.08498439941469199,1,False,
JPMorgan Chase Bank,12/31/2001,0.507354769701577,0.4322189761656676,0.07513579353590938,1,False,
Goldman Sachs Bank USA,06/30/2022,0.46573770571408224,0.3996213008398854,0.06611640487419684,1,False,
Morgan Stanley Bank,03/31/2002,0.4979489595392038,0.43270235499669074,0.06524660454251308,1,False,
Citibank,06/30/2009,0.4662264356766611,0.4057051045483737,0.06052133112828739,1,False,
Goldman Sachs Bank USA,06/30/2025,0.4260036400218023,0.36579774447774854,0.060205895544053756,1,False,
Morgan Stanley Bank,12/31/2002,0.4441147880834538,0.38589418997656766,0.05822059810688612,1,False,
Morgan Stanley Bank,03/31/2006,0.45930457514802875,0.40717013957873427,0.05213443556929448,1,False,
JPMorgan Chase Bank,03/31/2008,0.46193414628903007,0.4126038416156163,0.04933030467341376,1,False,
Goldman Sachs Bank USA,06/30/2020,0.4370872262359235,0.3889927767878767,0.048094449448046805,1,False,
Bank of America,06/30/2009,0.4374648714188234,0.4057051045483737,0.03175976687044968,1,False,
Bank of America,06/30/2006,0.41840784589602625,0.3901196912855895,0.028288154610436766,1,False,
Morgan Stanley Bank,12/31/2008,0.46387869784852687,0.4472375555227022,0.016641142325824643,1,False,
JPMorgan Chase Bank,12/31/2008,0.45888563730546494,0.4472375555227022,0.01164808178276272,1,False,
Citibank,12/31/2008,0.45769823785072117,0.4472375555227022,0.010460682328018944,1,False,
Wells Fargo Bank,03/31/2020,0.4271633549470281,0.4173249464501456,0.0098384084968825,1,False,
Citibank,03/31/2002,0.4390347934235215,0.43270235499669074,0.006332438426830733,1,False,
Citibank,03/31/2009,0.45522043704878634,0.449808492739419,0.005411944309367367,1,False,
Bank of America,12/31/2008,0.44211304266621837,0.4472375555227022,-0.005124512856483854,1,False,
Bank of America,03/31/2009,0.41686573505381397,0.449808492739419,-0.032942757685605006,1,False,
Wells Fargo Bank,03/31/2009,0.41544473330274306,0.449808492739419,-0.03436375943667591,1,False,
