quarter,RCFD8783,RCONA567,RIAD4652,RCFD8719,RCFDA556,RCONB550,RCFDB559,RCFDB857,RCON3499,RCFN6631,RCFDA557,RCFD3368,RIAD4460,RCFD3819,RCON3485,RIADB492,RCFD1773,RIAD5409,RCFDB560,RCFD8703,RCFD0081,RCFD2107,RCFD8742,RCFD1255,RCFD3815,RCFNB572,RCFN3360,RCONB563,RCFD8747,RIAD4020,RCON5370,RIAD8757,RCFD8733,RCFD0416,RCONB551,RCFD3839,RCFDB860,RIADB514,RCON5512,RCFD3200,RCFD8745,RCFD6165,RCFD3163,RIAD4646,RCON2210,RCON6636,RIAD4415,RIAD4093,RCON1752,RIAD4070,RIAD4300,RCON2107,RCFD1583,RIAD4074,RCFD3529,RCFD3433,RCFNB573,RCFD5389,RCON0090,RCFDB571,RIAD4010,RIAD4628,RIAD3217,RIAD4643,RCFD8715,RCFDA559,RIADB508,RCFD1739,RCFDB530,RCFD0010,RCFD3210,RCFDB850,RCFDB805,RCFDB846,RCFD8710,RCFD5380,RCON9999,RCON2200,RCFD3381,RIAD4313,RCFD8711,RCON0070,RCON5511,RIADB497,RCFDB558,RCFD5382,RCFD8700,RCFD6558,RCFD3822,RCFDA570,RCFDA589,RCFD1590,RCFD1742,RCFDB537,RIAD4092,RCFD1763,RIAD4107,RIAD4172,RCON2385,RCFD8498,RCFN2200,RIAD4056,RCON2165,RCON3129,RCFD8738,RCFD2081,RCFD2930,RCFDA574,RCON5508,RCFDB534,RCFDA591,RCFD8704,RCFDA554,RCFD8697,RCFD3365,RCON2192,RCONB561,RCFD3353,RIAD5411,RCFD1743,RCFDB556,RIAD4135,RIAD4024,RCFD2145,RCON0082,RCFDA222,RIADB513,RCONB562,RIAD4185,RCFN5513,RCFDB533,RCONB535,RIAD4635,RCONB534,RIAD8759,RCFD8739,RCFDA590,RCFDA551,RIADA220,RCFD3546,RCFDA248,RCFD3430,RCON1545,RCON3500,RCON3360,RCFD1252,RCFD8714,RCFDA575,RCFD1741,RIAD3521,RCFDA555,RIAD4060,RCON1763,RCFD1744,RIAD4069,RCFD5460,RCFD3506,RIADB489,RCFD0071,RCFD3401,RIAD8431,RCFD1771,RIAD3589,RCON5510,RCFD8699,RCFD2123,RCFD8694,RCFD0090,RCFN3404,RCFD3548,RCONA566,RCFDA549,RIADB512,RIAD4301,RIAD4507,RCON3387,RCFD1286,RCONB531,RCFNA245,RCFD3820,RIADB496,RCFD6550,RCFD8727,RCONB549,RCFD8741,RCFD8726,RIAD4618,RCFD3507,RIAD5412,RCFDB838,RCFD6164,RIAD4079,RIAD4065,RCFDB576,RIAD4470,RCFD3432,RCON0352,RCON3386,RCFD3547,RCFD1253,RCFD2150,RCFD1254,RCON0010,RIADB485,RCFDB849,RCFD8737,RCFDA571,RCFD8735,RCONB552,RIAD5415,RCFD8743,RIADB515,RCON2081,RCON2216,RCFD1248,RCON2213,RCFD1256,RCFD1287,RCFDA573,RIAD4340,RCFD8695,RCFD3300,RCFD8707,RCFD8499,RCFDB843,RCFD8696,RCFNB554,RCFD8709,RCONA564,RCFDB528,RCFN2898,RIAD4302,RCFNB553,RIAD4059,RCFD6560,RCFD1737,RCON1590,RCFD1772,RCFD3128,RCFD5591,RCFD8734,RIAD4115,RCFDB837,RIAD4627,RCFD1752,RCFD2170,RCON6631,RCFDA127,RIAD4150,RCFD8496,RCFD1746,RCFD8746,RCON2377,RCON2203,RCFD8706,RIADB522,RCFD8712,RIAD0093,RIAD5416,RCFN2625,RCFDB536,RCON2122,RCFD3826,RIADB507,RIADB511,RCFD3190,RIAD3210,RCFDB859,RCFDB852,RCFD3814,RIAD4073,RCFD3505,RIAD4645,RCFDB858,RCFD8765,RCFD3000,RCFDA572,RCON0080,RCFD1251,RCONB539,RCFD1738,RCFD3355,RCFD8705,RCFD8723,RCFDB847,RIAD4662,RCFDB861,RCFDB842,RCON6810,RCON2215,RCFD5381,RCFN2133,RCFD2148,RCFNB555,RCFDB856,RCON2163,RCFD2746,RCFD3549,RCONA565,RIADB491,RIADB487,RIAD4655,RCFDB704,RCFDA562,RIAD8758,RCFD8716,RCFD5459,RCFD1250,RCON1797,RIAD3588,RCFD2948,RCFDB845,RCFD2122,RCFD5391,RIAD4012,RIADB488,RCFD1754,RCFD8701,RCON1460,RCFD3817,RCON5367,RCFD3484,RCFDB851,RCFD3164,RCON0020,RCFD8724,RCON5597,RCFDB532,RIAD4200,RIAD4230,RCON6648,RCFDB841,RCFD2160,RCFD8720,RCFDB844,RCON2202,RCFD0211,RCFD8728,RCON1764,RIAD8760,RCON2236,RCFD8740,RIAD4356,RCON1420,RCON5368,RCON2941,RCFN2650,RCFD1764,RCFDB839,RCFDA561,RCON5400,RCON2520,RCFDB575,RIADA251,RCFDB538,RIAD4508,RIAD4080,RIADB509,RCFDB539,RCFD8713,RIAD4617,RCON2530,RCFD8693,RIAD4180,RIAD4217,RIAD3123,RCFD8497,RCON3190,RCFDB804,RCFD2130,RIAD4513,RCFDA558,RCFDB853,RCONB538,RCFDB529,RCON2365,RCFDA553,RCFDA552,RCFD8782,RCFD2651,RCFD5461,RCON2123,RCON6835,RIADB493,RIADB486,RCFD5369,RCFD2168,RCFD8698,RCFDB577,RCONA569,RCFD3123,RCON3501,RCFD1594,RCFD8736,RCFD8725,RCFDB840,RCFD3838,RCFDB570,RIAD3196,RCFD3632,RCFD0213,RCFD3450,RIAD4605,RCFDA247,RCFN6636,RCFD1249,RCFD0022,RCFDB848,RCFD8708,RIAD4644,RCFD3545,RCFD1597,RCFNB574,RCFDA126,RCFD8702,RCONA568,RCON5398,RCFDA560,RCFD3821,RIAD4518,RCFDA550,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
12/31/2015,0.0,4428000.0,25000.0,188835000.0,861000.0,311120000.0,62223000.0,250000.0,0.0,59217000.0,753000.0,1318563000.0,13500000.0,94723000.0,44965000.0,862000.0,281817000.0,0.0,125753000.0,28141000.0,18620000.0,894000.0,95000.0,4000.0,559625000.0,146000.0,236334000.0,311362000.0,0.0,1219000.0,31807000.0,3337000.0,421947000.0,200025000.0,703000.0,138986000.0,152000.0,5260000.0,5000.0,10500000.0,350000.0,4.0,10654000.0,363000.0,110052000.0,309480000.0,71000.0,31459000.0,5284000.0,1570000.0,13299000.0,856000.0,0.0,39403000.0,0.0,91550000.0,0.0,0.0,35512000.0,34592000.0,35030000.0,24000.0,147036000.0,0.0,131265000.0,915000.0,147036000.0,694000.0,-16055000.0,123165000.0,144721000.0,0.0,194385000.0,0.0,1134366000.0,0.0,20151231.0,451308000.0,114688000.0,8000.0,152410000.0,340000.0,0.0,6603000.0,122421000.0,4000.0,28451000.0,0.0,1364000.0,371293000.0,1136000.0,1633000.0,0.0,18676000.0,16013000.0,45895000.0,45776000.0,3469000.0,323700000.0,11480000.0,463866000.0,9000.0,1447000.0,616220000.0,137194000.0,4990000.0,55739000.0,9042000.0,0.0,0.0,7147000.0,36717000.0,11665000.0,3477051000.0,56850000.0,756605000.0,103905000.0,15943000.0,123000.0,0.0,4344000.0,12927000.0,11000.0,3863000.0,128000.0,218000.0,16000.0,4517000.0,1746000.0,21000.0,27000.0,9956000.0,7685000.0,0.0,-540000.0,19131000.0,1781000.0,63522000.0,4788000.0,10287000.0,31993000.0,0.0,683000.0,0.0,349844000.0,47000.0,1139864000.0,6778000.0,693000.0,-47000.0,231000.0,2528000.0,43309000.0,93512000.0,2776000.0,17000.0,0.0,1339000.0,104545000.0,120398000.0,0.0,30847000.0,1000.0,90000.0,3084000.0,559000.0,14989000.0,35512000.0,423704000.0,57765000.0,5977000.0,36796000.0,99000.0,19936000.0,546000.0,56528000.0,112889000.0,829000.0,103165000.0,25346000.0,567000.0,5424000.0,0.0,110162000.0,448000.0,33442000.0,102000.0,855000.0,25000.0,0.0,10000.0,16936000.0,108000.0,1450000.0,0.0,12198000.0,7100000.0,468000.0,47165000.0,710000.0,116000.0,65000.0,39745000.0,14684000.0,1144000.0,414611000.0,38602000.0,21151000.0,1404000.0,151000.0,0.0,1072000.0,346000.0,4429000.0,151000.0,11562000.0,620000.0,112627000.0,9637000.0,13189000.0,2339000.0,1299801000.0,23031000.0,10869000.0,0.0,27344000.0,2518000.0,2476593000.0,2758000.0,578364000.0,21133000.0,6637000.0,411745000.0,12018000.0,42000.0,0.0,591000.0,282804000.0,5000.0,0.0,134950000.0,633000.0,46843000.0,0.0,5373000.0,1299801000.0,141828000.0,9442219000.0,170413.0,7329000.0,93329000.0,578000.0,859000.0,690000.0,1940000.0,12255000.0,34958000.0,307000.0,471000.0,30807000.0,52000.0,355954000.0,4899603000.0,0.0,-4047000.0,93389000.0,144721000.0,12000.0,2671000.0,14690000.0,6373000.0,0.0,330000.0,11000.0,342200000.0,568000.0,70399000.0,958000.0,184000.0,770000.0,0.0,87302000.0,476236000.0,529105000.0,0.0,16000.0,151000.0,0.0,268955000.0,127608000.0,0.0,5472000.0,22525000.0,264000.0,250000.0,4904000.0,5446000.0,12508000.0,8650000.0,0.0,1764000.0,0.0,1003437000.0,15413000.0,1845000.0,32949000.0,90000.0,170000.0,13901000.0,0.0,1154512000.0,0.0,586959000.0,0.0,1909000.0,1747000.0,30761000.0,524301000.0,2881000.0,295000.0,78334000.0,1883000.0,0.0,1781000.0,2807000.0,260591000.0,326332000.0,821000.0,360000.0,5230000.0,4617000.0,552000.0,85852000.0,67211000.0,0.0,62000.0,0.0,0.0,14017000.0,361000.0,4151000.0,13190000.0,0.0,0.0,9742000.0,0.0,18532000.0,97774000.0,0.0,6435000.0,328000.0,366000.0,1574000.0,71000.0,131028000.0,117000.0,634000.0,1972000.0,4539000.0,2370025000.0,50000.0,5800000.0,1634966000.0,210000.0,1907000.0,10852000.0,7446000.0,83074000.0,75000.0,4260000.0,74000.0,1447000.0,2630000.0,109296000.0,567512000.0,48823000.0,30653000.0,88629000.0,0.0,9500000.0,216000.0,411000.0,17298000.0,0.0,340000.0,8595000.0,48699000.0,2283417000.0,50000.0,39118000.0,10852000.0,17000.0,0.0,12221000.0,35041000.0,554000.0,2100000.0,0.0,333000.0,18939000.0,0.0,23095870000.0,1553000.0,259546000.0,404649000.0,0.0,5456000.0,1146000.0,32961000.0,40000.0,120571000.0,0.0,201000.0,34020001000.0,1482000.0,15797000.0,172000.0,36496000.0,10958000.0,396000.0,18531000.0,100.0,0.0011286108352726615,60.00045144433411,True,False,True,True,8713170672945.943,60.00045144433411
03/31/2017,0.0,3962000.0,3000.0,201714000.0,691000.0,332183000.0,64861000.0,0.0,17000.0,65749000.0,744000.0,1371164000.0,1968000.0,92593000.0,63460000.0,170000.0,274305000.0,0.0,137433000.0,44643000.0,20575000.0,1154000.0,229000.0,1000.0,661347000.0,136000.0,226615000.0,309256000.0,0.0,313000.0,30605000.0,1247000.0,331759000.0,129727000.0,820000.0,141848000.0,314000.0,1470000.0,7000.0,12000000.0,280000.0,5.0,10630000.0,84000.0,115640000.0,344716000.0,1046000.0,7580000.0,5835000.0,414000.0,3341000.0,924000.0,9000.0,9839000.0,0.0,111863000.0,0.0,0.0,51874000.0,29937000.0,9038000.0,60000.0,144298000.0,0.0,153742000.0,2631000.0,144147000.0,3748000.0,-15751000.0,171254000.0,147080000.0,0.0,65532000.0,0.0,1319279000.0,0.0,20170331.0,475593000.0,147255000.0,1000.0,171997000.0,114000.0,0.0,948000.0,117927000.0,0.0,45657000.0,0.0,1793000.0,389877000.0,1550000.0,1250000.0,0.0,16353000.0,3095000.0,48557000.0,11968000.0,833000.0,343459000.0,6151000.0,488789000.0,2000.0,1344000.0,680311000.0,126957000.0,5874000.0,64608000.0,8591000.0,3000.0,0.0,8390000.0,55090000.0,11171000.0,3375309000.0,58269000.0,804729000.0,118195000.0,17543000.0,16000.0,0.0,3958000.0,3829000.0,3000.0,6706000.0,287000.0,0.0,3000.0,3407000.0,793000.0,19000.0,17000.0,8312000.0,1870000.0,0.0,53000.0,20049000.0,567000.0,93541000.0,1666000.0,14298000.0,37742000.0,0.0,1124000.0,0.0,365102000.0,65000.0,1324777000.0,3984000.0,3747000.0,-1000.0,122000.0,817000.0,46456000.0,101917000.0,588000.0,29000.0,0.0,414000.0,150679000.0,113131000.0,0.0,45517000.0,0.0,90000.0,12000.0,467000.0,18889000.0,51874000.0,423197000.0,52108000.0,5014000.0,46748000.0,3000.0,4992000.0,123000.0,60869000.0,107236000.0,225000.0,106133000.0,25122000.0,-64000.0,6306000.0,0.0,108459000.0,232000.0,29816000.0,14000.0,589000.0,5000.0,0.0,14000.0,3940000.0,19000.0,1550000.0,32000.0,11954000.0,7678000.0,301000.0,37613000.0,824000.0,119000.0,87000.0,55884000.0,3995000.0,580000.0,327837000.0,31122000.0,19498000.0,1226000.0,7000.0,0.0,260000.0,264000.0,10125000.0,150000.0,12065000.0,1281000.0,107497000.0,7817000.0,3310000.0,7033000.0,1369153000.0,39742000.0,5671000.0,0.0,33972000.0,1894000.0,2779597000.0,1693000.0,589850000.0,23504000.0,1651000.0,433648000.0,2832000.0,84000.0,0.0,276000.0,274500000.0,0.0,0.0,126077000.0,265000.0,43988000.0,0.0,5939000.0,1369153000.0,130877000.0,12593087000.0,171588.0,8183000.0,102205000.0,157000.0,1944000.0,637000.0,2603000.0,10465000.0,35285000.0,117000.0,88000.0,30999000.0,7000.0,366026000.0,6806942000.0,-151000.0,676000.0,110618000.0,147080000.0,8000.0,1912000.0,13442000.0,2129000.0,0.0,65000.0,8000.0,854915000.0,551000.0,75027000.0,783000.0,291000.0,1069000.0,0.0,120572000.0,347931000.0,618883000.0,0.0,3000.0,314000.0,0.0,275619000.0,132134000.0,0.0,5797000.0,20642000.0,301000.0,0.0,23213000.0,5723000.0,15976000.0,6946000.0,0.0,482000.0,0.0,1015924000.0,11437000.0,417000.0,33781000.0,611000.0,143000.0,14746000.0,0.0,1221522000.0,0.0,595801000.0,0.0,635000.0,446000.0,45539000.0,393929000.0,3931000.0,273000.0,76049000.0,1469000.0,0.0,567000.0,2826000.0,313271000.0,355099000.0,225000.0,104000.0,1385000.0,3980000.0,152000.0,93668000.0,56795000.0,0.0,28000.0,0.0,0.0,14541000.0,17000.0,2754000.0,6170000.0,0.0,16000.0,4476000.0,0.0,21947000.0,99997000.0,0.0,5237000.0,683000.0,65000.0,1521000.0,0.0,139489000.0,107000.0,236000.0,-99000.0,7072000.0,2578373000.0,9000.0,5287000.0,3081546000.0,55000.0,488000.0,10426000.0,8208000.0,101554000.0,26000.0,5728000.0,30000.0,874000.0,1909000.0,119322000.0,579424000.0,59596000.0,26244000.0,58441000.0,0.0,18750000.0,308000.0,347000.0,20112000.0,0.0,77000.0,5951000.0,58099000.0,3147333000.0,88000.0,39828000.0,10426000.0,5000.0,0.0,6121000.0,26884000.0,152000.0,2100000.0,0.0,179000.0,18132000.0,0.0,22204527000.0,400000.0,274380000.0,423040000.0,2000.0,5917000.0,580000.0,52691000.0,50000.0,113155000.0,0.0,138000.0,34734328000.0,3080000.0,17615000.0,152000.0,41339000.0,10913000.0,68000.0,20540000.0,95.74350394825775,0.00106965413996676,57.446530230610634,True,False,True,True,8342870821407.998,57.446530230610634
06/30/2016,0.0,4367000.0,8000.0,182797000.0,806000.0,322040000.0,67834000.0,125000.0,6000.0,64761000.0,878000.0,1344634000.0,5636000.0,94132000.0,53845000.0,-200000.0,294977000.0,0.0,133446000.0,29233000.0,20510000.0,1203000.0,130000.0,0.0,656211000.0,134000.0,234128000.0,314244000.0,0.0,525000.0,32683000.0,1410000.0,602386000.0,206711000.0,844000.0,139150000.0,191000.0,2689000.0,7000.0,10500000.0,1007000.0,6.0,10622000.0,195000.0,112740000.0,324394000.0,222000.0,14706000.0,5390000.0,744000.0,6422000.0,965000.0,4000.0,19638000.0,0.0,96531000.0,0.0,0.0,51359000.0,34822000.0,17575000.0,5000.0,144721000.0,0.0,148143000.0,2299000.0,144721000.0,4094000.0,-12718000.0,142008000.0,148892000.0,0.0,181196000.0,0.0,1464920000.0,0.0,20160630.0,466423000.0,127711000.0,3000.0,176390000.0,168000.0,0.0,2197000.0,118123000.0,0.0,42659000.0,0.0,1315000.0,396585000.0,1136000.0,1321000.0,0.0,15985000.0,7053000.0,52201000.0,23162000.0,1671000.0,337388000.0,7645000.0,480845000.0,5000.0,1354000.0,675228000.0,174265000.0,5452000.0,73389000.0,7448000.0,0.0,0.0,7748000.0,46011000.0,11815000.0,2942009000.0,54682000.0,817777000.0,107111000.0,18412000.0,49000.0,0.0,4355000.0,6501000.0,7000.0,3818000.0,180000.0,0.0,8000.0,3691000.0,1113000.0,6000.0,29000.0,8395000.0,3750000.0,0.0,-24000.0,19140000.0,1324000.0,81599000.0,2512000.0,11060000.0,31572000.0,0.0,816000.0,0.0,356231000.0,52000.0,1498364000.0,4881000.0,4094000.0,-23000.0,192000.0,1418000.0,49755000.0,99101000.0,1301000.0,76000.0,0.0,844000.0,121498000.0,125865000.0,0.0,33318000.0,0.0,78000.0,31000.0,595000.0,16051000.0,51359000.0,425212000.0,61569000.0,5650000.0,36833000.0,8000.0,9371000.0,246000.0,62609000.0,111696000.0,1260000.0,108072000.0,24487000.0,-35000.0,5636000.0,0.0,108723000.0,888000.0,33775000.0,48000.0,805000.0,16000.0,0.0,14000.0,7009000.0,49000.0,1292000.0,64000.0,11828000.0,7323000.0,433000.0,50434000.0,1341000.0,91000.0,74000.0,55313000.0,7344000.0,774000.0,594109000.0,36587000.0,19552000.0,1660000.0,6000.0,0.0,545000.0,285000.0,7767000.0,152000.0,11087000.0,1194000.0,114269000.0,7036000.0,6373000.0,3331000.0,1365660000.0,26771000.0,7248000.0,0.0,33509000.0,2363000.0,2534334000.0,3213000.0,599790000.0,19469000.0,2949000.0,427032000.0,5773000.0,26000.0,0.0,418000.0,291443000.0,4000.0,0.0,180941000.0,391000.0,45131000.0,0.0,5497000.0,1365660000.0,142029000.0,11372091000.0,161412.0,7303000.0,99562000.0,1252000.0,1781000.0,564000.0,4030000.0,10852000.0,35768000.0,170000.0,433000.0,32722000.0,9000.0,371652000.0,5731999000.0,0.0,3339000.0,107522000.0,148892000.0,10000.0,2179000.0,14449000.0,3524000.0,0.0,254000.0,10000.0,922843000.0,548000.0,72436000.0,854000.0,154000.0,1020000.0,0.0,100008000.0,591100000.0,566696000.0,0.0,8000.0,190000.0,0.0,276512000.0,129035000.0,0.0,5267000.0,19385000.0,680000.0,125000.0,6891000.0,5188000.0,15895000.0,7844000.0,0.0,1058000.0,0.0,1022504000.0,13687000.0,1128000.0,35290000.0,166000.0,135000.0,11583000.0,0.0,1216220000.0,0.0,607532000.0,0.0,1100000.0,975000.0,32527000.0,623489000.0,3151000.0,286000.0,78591000.0,1596000.0,0.0,1324000.0,2752000.0,301700000.0,339312000.0,1251000.0,180000.0,2640000.0,4345000.0,342000.0,91775000.0,67757000.0,0.0,50000.0,0.0,0.0,13890000.0,95000.0,4782000.0,8892000.0,0.0,17000.0,9890000.0,0.0,18048000.0,100634000.0,0.0,6145000.0,256000.0,329000.0,1463000.0,10000.0,134643000.0,112000.0,483000.0,-63000.0,4694000.0,2353187000.0,23000.0,6796000.0,1691944000.0,155000.0,912000.0,10602000.0,7670000.0,99083000.0,68000.0,4879000.0,49000.0,1545000.0,2132000.0,114042000.0,589188000.0,64208000.0,31054000.0,78372000.0,0.0,11052000.0,272000.0,451000.0,19321000.0,0.0,188000.0,7742000.0,57575000.0,2685879000.0,90000.0,39226000.0,10602000.0,15000.0,0.0,8411000.0,61336000.0,345000.0,2100000.0,0.0,93000.0,19609000.0,0.0,24817977000.0,788000.0,280552000.0,416084000.0,4000.0,5385000.0,776000.0,40706000.0,36000.0,130788000.0,0.0,167000.0,35492704000.0,4623000.0,16916000.0,148000.0,41002000.0,11018000.0,84000.0,20435000.0,92.93731535316127,0.00106965413996676,55.762817073552746,True,False,True,True,8098742503768.334,55.762817073552746
03/31/2016,0.0,4285000.0,4000.0,198449000.0,876000.0,316705000.0,65101000.0,251000.0,0.0,64163000.0,806000.0,1323545000.0,2768000.0,92645000.0,50330000.0,-128000.0,291917000.0,0.0,128613000.0,23036000.0,20373000.0,1045000.0,78000.0,0.0,561533000.0,143000.0,228829000.0,307053000.0,0.0,282000.0,31686000.0,512000.0,567688000.0,205592000.0,439000.0,139133000.0,171000.0,1363000.0,7000.0,10500000.0,796000.0,5.0,10670000.0,82000.0,113700000.0,321871000.0,227000.0,7331000.0,5309000.0,361000.0,2881000.0,917000.0,48000.0,9844000.0,0.0,100318000.0,0.0,0.0,61089000.0,35475000.0,8766000.0,1000.0,144721000.0,0.0,132372000.0,1529000.0,144721000.0,627000.0,-13491000.0,147529000.0,147503000.0,0.0,186143000.0,0.0,1476651000.0,0.0,20160331.0,462297000.0,110722000.0,2000.0,166837000.0,277000.0,0.0,1044000.0,126663000.0,4000.0,31700000.0,0.0,1266000.0,372927000.0,823000.0,1489000.0,0.0,17234000.0,3390000.0,46956000.0,11525000.0,802000.0,331224000.0,11054000.0,485149000.0,2000.0,1366000.0,647082000.0,166025000.0,5335000.0,64874000.0,8737000.0,0.0,0.0,7496000.0,41842000.0,11667000.0,3300469000.0,58347000.0,801533000.0,103886000.0,19862000.0,24000.0,0.0,4586000.0,3347000.0,4000.0,3914000.0,101000.0,278000.0,4000.0,4450000.0,523000.0,25000.0,43000.0,9006000.0,1933000.0,0.0,-11000.0,19089000.0,1524000.0,71428000.0,1064000.0,9664000.0,32249000.0,0.0,440000.0,0.0,350204000.0,48000.0,1507871000.0,6633000.0,627000.0,-6000.0,128000.0,662000.0,44449000.0,101590000.0,635000.0,14000.0,0.0,424000.0,127156000.0,125017000.0,0.0,32012000.0,0.0,83000.0,27000.0,595000.0,15516000.0,61089000.0,413455000.0,58261000.0,6056000.0,34478000.0,4000.0,4189000.0,127000.0,58008000.0,108556000.0,705000.0,109562000.0,24031000.0,-15000.0,5343000.0,0.0,111762000.0,848000.0,34805000.0,21000.0,796000.0,7000.0,0.0,10000.0,3264000.0,25000.0,1375000.0,32000.0,11820000.0,7303000.0,439000.0,48501000.0,1378000.0,115000.0,62000.0,64846000.0,3707000.0,969000.0,559578000.0,37241000.0,19138000.0,1493000.0,4000.0,0.0,278000.0,255000.0,7722000.0,151000.0,10649000.0,804000.0,110456000.0,7485000.0,2869000.0,1842000.0,1342643000.0,21367000.0,10469000.0,0.0,27513000.0,2475000.0,2557170000.0,2640000.0,581112000.0,19777000.0,1308000.0,427529000.0,2866000.0,46000.0,0.0,483000.0,289763000.0,5000.0,0.0,162466000.0,191000.0,47092000.0,0.0,5398000.0,1342643000.0,140426000.0,10870820000.0,165674.0,7305000.0,101834000.0,657000.0,1623000.0,437000.0,3009000.0,10852000.0,33626000.0,79000.0,311000.0,34786000.0,3000.0,351976000.0,5224880000.0,0.0,2566000.0,97388000.0,147503000.0,11000.0,2457000.0,14720000.0,1681000.0,0.0,146000.0,11000.0,918122000.0,597000.0,71417000.0,882000.0,142000.0,727000.0,0.0,95438000.0,680114000.0,543930000.0,0.0,4000.0,170000.0,0.0,272382000.0,131073000.0,0.0,5173000.0,20501000.0,364000.0,250000.0,0.0,4731000.0,13779000.0,8000000.0,0.0,501000.0,0.0,1012273000.0,14581000.0,469000.0,32717000.0,167000.0,186000.0,12704000.0,0.0,1194543000.0,0.0,586269000.0,0.0,529000.0,499000.0,31608000.0,693749000.0,3006000.0,302000.0,78190000.0,1669000.0,0.0,1524000.0,2497000.0,267164000.0,339007000.0,692000.0,90000.0,1533000.0,4464000.0,478000.0,90123000.0,62866000.0,0.0,64000.0,0.0,0.0,14765000.0,58000.0,4880000.0,11453000.0,0.0,17000.0,9762000.0,6351000.0,19995000.0,103997000.0,0.0,6446000.0,324000.0,428000.0,1445000.0,0.0,123896000.0,49000.0,256000.0,-80000.0,4497000.0,2438569000.0,13000.0,6095000.0,1415617000.0,77000.0,474000.0,10896000.0,7484000.0,86580000.0,72000.0,4717000.0,19000.0,1428000.0,2397000.0,103109000.0,570216000.0,55046000.0,32532000.0,84687000.0,0.0,10550000.0,214000.0,446000.0,18904000.0,0.0,96000.0,5157000.0,54703000.0,2675684000.0,55000.0,39429000.0,10896000.0,16000.0,0.0,10419000.0,35644000.0,481000.0,2100000.0,0.0,-49000.0,19010000.0,0.0,27024035000.0,381000.0,250260000.0,420986000.0,1000.0,5618000.0,970000.0,36900000.0,10000.0,126598000.0,0.0,206000.0,38074079000.0,2014000.0,16294000.0,182000.0,40639000.0,11003000.0,41000.0,21817000.0,92.7874960183012,0.00106965413996676,55.672925472636706,True,False,True,True,8085708760336.693,55.672925472636706
