quarter,RCONA567,RCFD8719,RCFDA556,RCONB550,RCFDB559,RCFDB857,RCON3499,RCFN6631,RCFDA557,RCFD3368,RIAD4460,RCFD3819,RCON3485,RIADB492,RCFD1773,RIAD5409,RCFDB560,RCFD8703,RCFD0081,RCFD2107,RCFD8742,RCFD1255,RCFD3815,RCFNB572,RCFN3360,RCONB563,RCFD8747,RIAD4020,RCON5370,RCFD5390,RIAD8757,RCFD8733,RCFD5377,RCFD0416,RCONB551,RCFD3839,RCFDB860,RIADB514,RCON5512,RCFD3200,RCFD8745,RCFD6165,RCFD3163,RIAD4646,RCON2210,RCON6636,RIAD4415,RIAD4093,RCON1752,RIAD4070,RIAD4300,RCON2107,RCFD1583,RIAD4074,RCFD3529,RCFD3433,RCFNB573,RCFD5389,RCON5399,RCON0090,RCFDB571,RIAD4010,RIAD4628,RIAD3217,RIAD4643,RCFD8715,RCFDA559,RIADB508,RCFD1739,RCFDB530,RCFD0010,RCFD3210,RCFDB850,RCFDB805,RCFD8710,RCFD5380,RCON9999,RCON2200,RCFD3381,RIAD4313,RCFD8711,RCON0070,RCON5511,RIADB497,RCFDB558,RCFD5382,RCFD8700,RCFD8748,RCFD6558,RCFD3822,RCFDA570,RIAD5410,RCFDA589,RCFD1590,RCFDB537,RIAD4092,RCFD1763,RIAD4107,RIAD4172,RCFD3230,RCON2385,RCFD8498,RCFN2200,RIAD4056,RCON2165,RCON3129,RCFD8738,RCFD2081,RCFD2930,RCFDA574,RCON5508,RCFDB534,RCFDA591,RCFD8704,RCFDA554,RCFD8697,RCFD3365,RCON2192,RCONB561,RCFD3353,RIAD5411,RCFDB556,RIAD4135,RIAD4024,RCFD2145,RCON0082,RCFDA222,RCONB562,RIAD4185,RCFN5513,RCFDB533,RCONB535,RIAD4635,RCONB534,RIAD8759,RCFD8739,RCFDA590,RCFDA551,RIADA220,RCFD3546,RCFDA248,RCFD3430,RCON3495,RCON1545,RCON3500,RCON3360,RCFD1252,RCFD8714,RCFDA575,RCFD1741,RCFDA555,RIAD4060,RCON1763,RCFD1744,RIAD4069,RIAD3584,RCFD5460,RIADB489,RCFD0071,RCFD3401,RIAD8431,RCFD1771,RIAD3589,RCON5510,RCFD8699,RCFD8694,RCFD0090,RCFN3404,RCFD3530,RCFD3548,RCONA566,RCFDA549,RIADB512,RIAD4301,RIAD4507,RCON3387,RCFD1286,RCONB531,RCFNA245,RCFD3820,RIADB496,RCFD6550,RCFD8727,RCONB549,RCFD8741,RCFD8726,RIAD4618,RCFD3507,RIAD5412,RCFD6164,RIAD4079,RIAD4065,RCFDB576,RCFD3432,RCON0352,RCON3386,RCFD3547,RCFD1253,RCFD2150,RCFD1254,RCON0010,RIADB485,RCFDB849,RCFD8737,RCFDA571,RCFD8735,RCONB552,RIAD5415,RIADB515,RCON2081,RCON2216,RCFD1248,RCON2213,RCFD1256,RCFD1287,RCFDA573,RIAD4340,RCFD8695,RCFD3300,RCFD8707,RCFD8499,RCFD8696,RCFNB554,RCFD8709,RCON3494,RCONA564,RCFDB528,RCFN2898,RIAD4302,RCFNB553,RIAD4059,RCFD6560,RCON1590,RCFD1772,RCFD3128,RCFD5591,RCFD8734,RIAD4115,RCFDB837,RCFD6559,RCFD1752,RCFD2170,RCON6631,RCFDA127,RIAD4150,RCFD8496,RCFD1746,RCFD8746,RCON2377,RCON2203,RCFD8706,RIADB522,RCFD8712,RIAD0093,RIAD5416,RCFN2625,RCFDB536,RCON2122,RCFD3826,RIADB507,RIADB511,RCFD3190,RIAD3210,RCFDB852,RCFD3814,RIAD4073,RIAD4645,RCFD8765,RCFD3000,RCFDA572,RCON0080,RCFD1251,RCONB539,RCFD3355,RCFD8705,RCFD8723,RCFDB861,RCON6810,RCON2215,RCFD5381,RCFD8744,RCFN2133,RCFD2148,RCFNB555,RCFDB856,RCFD2746,RCONA565,RIADB491,RIADB487,RIAD4655,RCFDB704,RCFDA562,RIAD8758,RCFD8716,RCFD5459,RCFD1250,RCON1797,RIAD3588,RCFD2948,RCFDB845,RCFD2122,RCFD5391,RIAD4012,RIADB488,RCFD1754,RCFD8701,RCON1460,RCFD3817,RCON5367,RCFD3484,RCFDB851,RCFD3164,RCON0020,RCFD8724,RCON5597,RCFDB532,RIAD4200,RIAD4230,RCON6648,RCFDB841,RCFD2160,RCFD8720,RCFDB844,RCON2202,RCFD0211,RCFD8728,RCON1764,RIAD8760,RCON2236,RCFD8740,RIAD4356,RCON3493,RCON1420,RCON5368,RCFN2650,RCFD1764,RCFDA561,RCON5400,RCON2520,RCFDB575,RIADA251,RCFDB538,RIAD4508,RIAD4080,RCFDB539,RCFD8713,RIAD4617,RCON2530,RCFD8693,RIAD4180,RIAD4217,RIAD3123,RCFD8497,RCON3190,RCFDB804,RCFD2130,RIAD4513,RCFDA558,RCFDB853,RCONB538,RCFDB529,RCON2365,RCFDA553,RCFDA552,RCFD2651,RCFD5461,RCON6835,RIADB493,RIADB486,RCFD5369,RCFD2168,RCFD8698,RCONA569,RCFD3123,RCON3501,RCFD1594,RCFD8736,RCFD8725,RCFDB840,RCFDB570,RIAD3196,RCFD3632,RCFD0213,RCFD3450,RIAD4605,RCFDA247,RCFN6636,RCFD1249,RCFD0022,RCFDB848,RCFD8708,RIAD4644,RCFD3545,RCFD1597,RCFD5378,RCFNB574,RCFDA126,RCFD8702,RCONA568,RCON5398,RCFDA560,RCFD3821,RIAD4518,RCFDA550,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
06/30/2008,9767000.0,111414000.0,0.0,376004000.0,82382000.0,7561000.0,1000.0,7963000.0,0.0,1372307000.0,1000000.0,117608000.0,13221000.0,309000.0,111593000.0,0.0,18156000.0,371419000.0,31225000.0,4673000.0,41000.0,0.0,29062000.0,2000.0,87788000.0,279751000.0,0.0,3893000.0,41281000.0,0.0,4126000.0,823958000.0,0.0,24886000.0,2219000.0,62508000.0,21000.0,745000.0,5000.0,26327000.0,325000.0,7.0,25974000.0,7000.0,39016000.0,332625000.0,-6000.0,17706000.0,3511000.0,1833000.0,4230000.0,4673000.0,1000.0,13606000.0,0.0,389067000.0,0.0,0.0,0.0,3337000.0,25453000.0,14560000.0,5000.0,106346000.0,0.0,306070000.0,6725000.0,106346000.0,7000.0,-1402000.0,46766000.0,108929000.0,0.0,616579000.0,1260727000.0,24000.0,20080630.0,461008000.0,39267000.0,81000.0,249611000.0,155000.0,0.0,4880000.0,888000.0,5000.0,51828000.0,0.0,62000.0,5049000.0,274640000.0,0.0,13222000.0,572000.0,14112000.0,5761000.0,93533000.0,27645000.0,4739000.0,1785000.0,409974000.0,50000.0,336668000.0,0.0,2320000.0,592136000.0,126332000.0,370000.0,59515000.0,28543000.0,0.0,0.0,424307000.0,67808000.0,8107000.0,4320608000.0,253540000.0,810580000.0,23560000.0,184445000.0,443000.0,6068000.0,8725000.0,13000.0,7506000.0,1324000.0,0.0,55144000.0,1903000.0,0.0,96000.0,2663000.0,3013000.0,0.0,452000.0,56400000.0,10930000.0,3808000.0,4250000.0,57530000.0,5395000.0,106172000.0,1000.0,4008000.0,0.0,399873000.0,102000.0,1240662000.0,5341000.0,6000.0,0.0,467000.0,91276000.0,9277000.0,5809000.0,0.0,41000.0,1956000.0,15541000.0,366713000.0,161000.0,39000.0,1000.0,176000.0,28818000.0,22146000.0,3337000.0,315475000.0,0.0,131834000.0,12726000.0,3529000.0,0.0,6108000.0,1000.0,96679000.0,2057000.0,28000.0,66587000.0,22647000.0,9000.0,5072000.0,0.0,46889000.0,253000.0,558000.0,12000.0,80000.0,8000.0,1248000.0,16255000.0,100000.0,478000.0,86352000.0,10014000.0,470000.0,74287000.0,539000.0,554000.0,85000.0,24501000.0,1279000.0,0.0,760330000.0,42842000.0,48933000.0,5401000.0,-34000.0,111000.0,8000.0,35000.0,2000.0,527000.0,14000.0,2053000.0,30009000.0,4230000.0,53439000.0,1378468000.0,361366000.0,48000.0,74498000.0,6791000.0,4464144000.0,0.0,949000.0,463449000.0,11142000.0,1878000.0,249947000.0,2457000.0,17000.0,524000.0,112393000.0,0.0,30398000.0,148190000.0,773000.0,2462000.0,0.0,3517000.0,1378468000.0,128383000.0,7927215000.0,136698.0,0.0,9212000.0,0.0,4289000.0,969000.0,779000.0,7015000.0,173917000.0,1994000.0,-86000.0,40414000.0,172000.0,396858000.0,1626655000.0,0.0,-716000.0,76532000.0,108929000.0,600000.0,68571000.0,14039000.0,325000.0,342892000.0,1065000.0,26613000.0,3270000.0,633000.0,1252000.0,79682000.0,654808000.0,1482137000.0,20000.0,285129000.0,51034000.0,0.0,0.0,12261000.0,0.0,2000.0,7662000.0,8863000.0,5886000.0,4000.0,815000.0,0.0,1003183100.0,10168000.0,835000.0,178448000.0,276000.0,0.0,69754000.0,0.0,1268474000.0,0.0,483006000.0,0.0,2729000.0,29000.0,38000.0,1050635000.0,739000.0,0.0,72687000.0,2586000.0,0.0,10930000.0,16415000.0,847851000.0,326740000.0,30000.0,840000.0,6435000.0,23137000.0,5514000.0,60374000.0,231654000.0,0.0,395000.0,0.0,0.0,3431000.0,556000.0,6046000.0,86983000.0,75000.0,1000.0,191000.0,15597000.0,39514000.0,47008000.0,0.0,576000.0,91000.0,456000.0,28000.0,25068000.0,48000.0,1631000.0,1252000.0,4529129000.0,78000.0,18143000.0,1174762000.0,2489000.0,2916000.0,10740000.0,0.0,6168000.0,38384000.0,3257000.0,19000.0,0.0,591000.0,22868000.0,452709000.0,0.0,5935000.0,1829000.0,339000.0,467000.0,6535000.0,827000.0,1895000.0,19557000.0,42879000.0,3775914000.0,20564000.0,10740000.0,9000.0,16000.0,91825000.0,25797000.0,5547000.0,90643000.0,388000.0,46038000.0,0.0,56985936000.0,298000.0,115980000.0,328705000.0,0.0,20076000.0,0.0,69698000.0,26000.0,368802000.0,0.0,0.0,0.0,73154225000.0,890000.0,18324000.0,632000.0,69017000.0,11719000.0,58000.0,1885000.0,100.0,99.99999999999726,99.9999999999989,True,True,True,True,84664657029034.14,99.9999999999989
09/30/2009,25384000.0,92315000.0,0.0,500069000.0,199827000.0,0.0,208000.0,9682000.0,0.0,1647198000.0,13200000.0,107402000.0,14232000.0,556000.0,353641000.0,22000.0,101825000.0,312141000.0,20176000.0,3517000.0,384000.0,48000.0,20128000.0,1000.0,57907000.0,402741000.0,0.0,1424000.0,100713000.0,0.0,4643000.0,1347407000.0,0.0,184704000.0,2301000.0,78110000.0,2842000.0,1652000.0,114000.0,28503000.0,61000.0,7.0,27484000.0,164000.0,56017000.0,404160000.0,871000.0,34054000.0,7667000.0,2066000.0,6446000.0,3517000.0,27000.0,30134000.0,0.0,205358000.0,0.0,0.0,1367000.0,19453000.0,17792000.0,22010000.0,21000.0,128767000.0,0.0,346105000.0,21513000.0,128767000.0,12531000.0,2536000.0,85597000.0,128046000.0,0.0,930849000.0,683975000.0,0.0,20090930.0,603129000.0,61981000.0,83000.0,588253000.0,552000.0,38000.0,9739000.0,38750000.0,14000.0,50398000.0,0.0,55000.0,4430000.0,272851000.0,0.0,3189000.0,394000.0,6141000.0,11582000.0,78868000.0,38493000.0,1164000.0,1785000.0,533404000.0,3094000.0,359376000.0,0.0,1909000.0,868200000.0,174283000.0,577000.0,63700000.0,32592000.0,8000.0,0.0,384647000.0,91971000.0,3553000.0,4575624000.0,228716000.0,1084899000.0,13530000.0,277030000.0,2159000.0,6979000.0,16613000.0,9000.0,8232000.0,4875000.0,10207000.0,59546000.0,2633000.0,5000.0,2319000.0,1141000.0,11610000.0,0.0,793000.0,56358000.0,13492000.0,70269000.0,8123000.0,45402000.0,19938000.0,159268000.0,7000.0,3390000.0,23000.0,525431000.0,300000.0,699382000.0,11536000.0,12837000.0,0.0,2899000.0,77266000.0,58996000.0,5181000.0,5000.0,50000.0,5365000.0,65421000.0,300526000.0,362000.0,29000.0,0.0,1184000.0,28518000.0,22562000.0,19453000.0,340812000.0,0.0,119996000.0,12825000.0,3997000.0,0.0,9510000.0,70000.0,84456000.0,5541000.0,2246000.0,81296000.0,21467000.0,229000.0,3512000.0,0.0,57500000.0,2128000.0,19426000.0,1000.0,624000.0,33000.0,1406000.0,29662000.0,65000.0,447000.0,84371000.0,22481000.0,349000.0,74482000.0,3848000.0,1927000.0,58000.0,38142000.0,1221000.0,758000.0,1314500000.0,38011000.0,53393000.0,2040000.0,-48000.0,132000.0,0.0,4378000.0,3000.0,2779000.0,677000.0,5567000.0,41765000.0,6543000.0,19487000.0,1669868000.0,315898000.0,3270000.0,32203000.0,14232000.0,3872375000.0,0.0,39166000.0,573020000.0,24885000.0,3064000.0,242996000.0,1543000.0,236000.0,344000.0,349256000.0,0.0,21842000.0,165249000.0,885000.0,1847000.0,28000.0,7703000.0,1669868000.0,198969000.0,6331907000.0,163890.0,0.0,59620000.0,806000.0,4401000.0,2463000.0,20000.0,17153000.0,119007000.0,690000.0,240000.0,64787000.0,85000.0,522420000.0,2042897000.0,0.0,5117000.0,89608000.0,128046000.0,1621000.0,66616000.0,8359000.0,1751000.0,1061922000.0,1032000.0,24737000.0,5561000.0,580000.0,1107000.0,101545000.0,752227000.0,1702717000.0,2846000.0,394255000.0,69725000.0,0.0,0.0,24566000.0,4348000.0,21000.0,0.0,13082000.0,11925000.0,2000.0,612000.0,1000.0,1068571320.0,14846000.0,2535000.0,124015000.0,393000.0,0.0,107980000.0,147000.0,1540790000.0,0.0,578221000.0,0.0,3094000.0,606000.0,27000.0,881294000.0,32214000.0,0.0,146555000.0,2129000.0,0.0,13492000.0,7701000.0,728349000.0,309174000.0,0.0,949000.0,16925000.0,45943000.0,18560000.0,82579000.0,232478000.0,0.0,304000.0,0.0,0.0,2741000.0,498000.0,5231000.0,26843000.0,-52000.0,0.0,149000.0,13302000.0,37340000.0,34822000.0,13692000.0,989000.0,157000.0,485000.0,170000.0,13727000.0,59000.0,4215000.0,1107000.0,3851413000.0,86000.0,21506000.0,894120000.0,511000.0,5408000.0,22804000.0,0.0,50670000.0,101505000.0,3556000.0,11000.0,1000.0,1671000.0,11743000.0,550216000.0,4804000.0,30694000.0,28318000.0,28188000.0,1829000.0,11908000.0,655000.0,2805000.0,5201000.0,54178000.0,2901404000.0,29374000.0,22804000.0,936000.0,3000.0,29824000.0,62004000.0,18207000.0,188536000.0,693000.0,45615000.0,0.0,48982052000.0,421000.0,81688000.0,349694000.0,13000.0,13274000.0,756000.0,78277000.0,677000.0,314420000.0,0.0,0.0,0.0,63747101000.0,1093000.0,13556000.0,2127000.0,150026000.0,10512000.0,58000.0,15952000.0,50.27753061523192,69.63416040447795,58.02018253093033,True,True,True,True,42826444666292.8,58.02018253093033
09/30/2008,30256000.0,104504000.0,0.0,588967000.0,87298000.0,9467000.0,130000.0,10263000.0,4000.0,1367551000.0,1000000.0,112794000.0,12001000.0,461000.0,152608000.0,0.0,25909000.0,379999000.0,53334000.0,4564000.0,0.0,0.0,82122000.0,0.0,81117000.0,289922000.0,0.0,5853000.0,127262000.0,0.0,4550000.0,626764000.0,0.0,36490000.0,4278000.0,77077000.0,9836000.0,1134000.0,31000.0,28029000.0,281000.0,8.0,25919000.0,9000.0,33188000.0,472100000.0,14715000.0,26737000.0,7653000.0,2600000.0,6290000.0,4564000.0,1000.0,20746000.0,0.0,292069000.0,0.0,0.0,855000.0,24158000.0,38040000.0,21374000.0,8000.0,106346000.0,0.0,441765000.0,7653000.0,106346000.0,182000.0,-1984000.0,89822000.0,125639000.0,0.0,981543000.0,1105970000.0,21000.0,20080930.0,668094000.0,34844000.0,122000.0,548156000.0,513000.0,19000.0,6838000.0,1434000.0,5000.0,47143000.0,0.0,25000.0,5201000.0,352355000.0,0.0,13215000.0,470000.0,16185000.0,9178000.0,98538000.0,40921000.0,6922000.0,1785000.0,622117000.0,1084000.0,345296000.0,0.0,2188000.0,945179000.0,173487000.0,57000.0,88490000.0,40618000.0,5000.0,79000.0,472047000.0,67849000.0,9379000.0,4470709000.0,252548000.0,1181802000.0,25519000.0,196115000.0,768000.0,7619000.0,12640000.0,18000.0,7563000.0,6477000.0,1545000.0,55763000.0,2743000.0,0.0,706000.0,4509000.0,4926000.0,79000.0,1192000.0,60393000.0,16418000.0,6716000.0,6810000.0,47960000.0,20350000.0,86831000.0,1000.0,13643000.0,0.0,396974000.0,141000.0,1103032000.0,15176000.0,182000.0,0.0,825000.0,95724000.0,9555000.0,8565000.0,0.0,15000.0,3030000.0,36488000.0,357492000.0,134000.0,37000.0,1000.0,1635000.0,25031000.0,23776000.0,24158000.0,308385000.0,0.0,122071000.0,16492000.0,5634000.0,0.0,7649000.0,1000.0,95947000.0,3773000.0,529000.0,77372000.0,21993000.0,59000.0,4831000.0,0.0,38042000.0,378000.0,0.0,13000.0,45000.0,11000.0,1536000.0,24140000.0,102000.0,476000.0,86831000.0,29041000.0,476000.0,74099000.0,627000.0,2080000.0,45000.0,51053000.0,1951000.0,0.0,613013000.0,47020000.0,62497000.0,5669000.0,-53000.0,164000.0,3000.0,210000.0,11000.0,1612000.0,13000.0,3723000.0,42158000.0,6871000.0,13491000.0,1768657000.0,375680000.0,1079000.0,73264000.0,8881000.0,3950798000.0,0.0,45404000.0,687734000.0,17422000.0,1359000.0,254218000.0,3483000.0,16000.0,442000.0,154534000.0,0.0,17931000.0,180087000.0,1054000.0,2146000.0,0.0,7653000.0,1768657000.0,195994000.0,8232278000.0,173235.0,0.0,9560000.0,0.0,3546000.0,1451000.0,1071000.0,7015000.0,176138000.0,2758000.0,-79000.0,44417000.0,150000.0,621851000.0,1590922000.0,0.0,-1297000.0,169610000.0,125639000.0,600000.0,98907000.0,20175000.0,483000.0,218733000.0,1070000.0,31397000.0,5897000.0,478000.0,1439000.0,75778000.0,783875000.0,1888626000.0,9837000.0,394391000.0,45977000.0,0.0,0.0,11851000.0,4146000.0,5000.0,10135000.0,11515000.0,14557000.0,-3000.0,1124000.0,0.0,1230285600.0,15866000.0,1839000.0,181442000.0,227000.0,0.0,111643000.0,0.0,1641948000.0,0.0,703429000.0,0.0,4035000.0,47000.0,36000.0,678558000.0,32268000.0,0.0,171718000.0,2378000.0,0.0,16418000.0,14008000.0,886528000.0,425061000.0,37000.0,1236000.0,11326000.0,75660000.0,9346000.0,98230000.0,279375000.0,0.0,384000.0,0.0,0.0,3191000.0,868000.0,5826000.0,50995000.0,4000.0,1000.0,186000.0,18075000.0,37775000.0,44294000.0,3627000.0,661000.0,63000.0,841000.0,36000.0,39167000.0,63000.0,2518000.0,1439000.0,3876904000.0,98000.0,18046000.0,1331555000.0,3698000.0,4467000.0,16380000.0,0.0,110487000.0,131564000.0,3397000.0,56000.0,39000.0,547000.0,37009000.0,671354000.0,20504000.0,6159000.0,6529000.0,48208000.0,564000.0,11887000.0,1161000.0,2864000.0,15695000.0,65758000.0,4406227000.0,37725000.0,16380000.0,169000.0,0.0,53469000.0,22873000.0,9657000.0,125777000.0,826000.0,48761000.0,0.0,52410446000.0,415000.0,115227000.0,335033000.0,12000.0,20141000.0,0.0,61317000.0,44000.0,380337000.0,0.0,0.0,0.0,67479972000.0,1280000.0,21775000.0,1480000.0,79371000.0,11863000.0,71000.0,11109000.0,33.29322281169599,67.35090302338874,46.91629489637309,False,True,True,True,28535258297013.57,46.91629489637309
12/31/2022,14419000.0,726600000.0,2284000.0,1456334000.0,209288000.0,54000.0,140000.0,28394000.0,467000.0,3300949000.0,15500000.0,87447000.0,327286000.0,2678000.0,205790000.0,0.0,117781000.0,169083000.0,27258000.0,28464000.0,1678000.0,2000.0,821346000.0,2000.0,122271000.0,1486339000.0,467000.0,4559000.0,74552000.0,0.0,3498000.0,357235000.0,0.0,110589000.0,2055000.0,118293000.0,754000.0,2869000.0,72000.0,261000.0,515000.0,11.0,40520000.0,65000.0,427340000.0,1365661000.0,72000.0,68538000.0,4081000.0,4540000.0,34337000.0,28464000.0,0.0,68798000.0,0.0,283106000.0,0.0,0.0,0.0,320113000.0,29309000.0,52973000.0,70000.0,302848000.0,10000.0,294497000.0,2056000.0,302848000.0,13000.0,-17964000.0,568546000.0,303620000.0,2325000.0,581341000.0,774080000.0,0.0,20221231.0,2014513000.0,596699000.0,478000.0,329199000.0,979000.0,0.0,20023000.0,311971000.0,22000.0,71718000.0,0.0,305000.0,1421000.0,644642000.0,9000.0,134087000.0,867000.0,9505000.0,28110000.0,150634000.0,84473000.0,3111000.0,2028000.0,1527128000.0,7075000.0,426209000.0,0.0,46000.0,2182601000.0,249001000.0,3064000.0,157039000.0,66453000.0,0.0,2000.0,678117000.0,54010000.0,22748000.0,1217360000.0,335898000.0,2270863000.0,156638000.0,113149000.0,27000.0,10283000.0,33883000.0,40000.0,23378000.0,642000.0,351000.0,78549000.0,3043000.0,0.0,12000.0,4503000.0,4292000.0,2000.0,3601000.0,52001000.0,7973000.0,105807000.0,15605000.0,68614000.0,63245000.0,99885000.0,1000.0,14475000.0,1000.0,1010720000.0,227000.0,758471000.0,6878000.0,13000.0,131000.0,3316000.0,148122000.0,20689000.0,4735000.0,0.0,59000.0,5017000.0,541288000.0,316876000.0,46000.0,388647000.0,0.0,139000.0,27398000.0,52593000.0,320113000.0,397211000.0,296000.0,115971000.0,7387000.0,83311000.0,0.0,43889000.0,973000.0,159878000.0,95217000.0,6000.0,75725000.0,38017000.0,301000.0,12814000.0,7751000.0,430699000.0,2030000.0,154244000.0,28000.0,301000.0,127000.0,3563000.0,51370000.0,2000.0,1138000.0,163336000.0,517820000.0,837000.0,47260000.0,759000.0,211000.0,35000.0,343523000.0,17732000.0,967000.0,337315000.0,49315000.0,52499000.0,3647000.0,27000.0,749000.0,308000.0,5368000.0,3000.0,43247000.0,402000.0,92060000.0,85952000.0,34342000.0,86604000.0,3201942000.0,191970000.0,6758000.0,66224000.0,1752000.0,2872685000.0,0.0,1700000.0,1125374000.0,28363000.0,9552000.0,339883000.0,4247000.0,252000.0,854000.0,216102000.0,0.0,0.0,239868000.0,9327000.0,4283000.0,9000.0,4623000.0,3201942000.0,648852000.0,12104453000.0,220271.0,19798000.0,20019000.0,3567000.0,11138000.0,5802000.0,1215000.0,16378000.0,76881000.0,2795000.0,-204000.0,47554000.0,10000.0,1017544000.0,4229856000.0,0.0,-18142000.0,98375000.0,303620000.0,1344000.0,16926000.0,15675000.0,522000.0,552192000.0,52000.0,56062000.0,10604000.0,1318000.0,19489000.0,99762000.0,269663000.0,1817600000.0,737000.0,892626000.0,487385000.0,0.0,0.0,423000.0,6601000.0,61000.0,55000.0,17374000.0,5774000.0,1000.0,7627000.0,4000.0,1597423175.0,17770000.0,5054000.0,47922000.0,874000.0,55000.0,15739000.0,2000.0,2898270000.0,0.0,1143954000.0,0.0,7377000.0,3001000.0,425372000.0,181203000.0,79735000.0,0.0,231036000.0,43000.0,2215000.0,7973000.0,11185000.0,673530000.0,1079154000.0,0.0,11000.0,6159000.0,33987000.0,0.0,180354000.0,297253000.0,0.0,214000.0,207463000.0,0.0,10422000.0,2070000.0,14465000.0,31461000.0,0.0,0.0,23000.0,743000.0,36959000.0,52252000.0,10393000.0,954000.0,7000.0,1269000.0,31000.0,164730000.0,3446000.0,5271000.0,21428000.0,2736353000.0,120000.0,41537000.0,931442000.0,1411000.0,6484000.0,19714000.0,18720000.0,68055000.0,2989000.0,11225000.0,151000.0,1005000.0,1309000.0,164730000.0,1105660000.0,57996000.0,113022000.0,66053000.0,7004000.0,669000.0,12424000.0,-27000.0,2726000.0,18580000.0,146661000.0,6440929000.0,148332000.0,19714000.0,51000.0,1000.0,34886000.0,337084000.0,0.0,0.0,-2380000.0,201263000.0,189101000.0,25376531000.0,1466000.0,223436000.0,397815000.0,0.0,21815000.0,981000.0,59522000.0,413000.0,287485000.0,1000.0,0.0,47000.0,33248153000.0,1553000.0,50005000.0,107000.0,154799000.0,5822000.0,1543000.0,51316000.0,75.32499277485913,0.010960895438504214,45.199380023090875,True,False,True,True,63902249105386.81,45.199380023090875
