quarter,RCFD8783,RCONA567,RIAD4652,RCFD8719,RCFDA556,RCONB550,RCFDB559,RCFDB857,RCON3499,RCFN6631,RCFDA557,RCFD3368,RIAD4460,RCFD3819,RCON3485,RIADB492,RCFD1773,RIAD5409,RCFDB560,RCFD8703,RCFD0081,RCFD2107,RCFD8742,RCFD1255,RCFD3815,RCFNB572,RCFN3360,RCONB563,RCFD8747,RIAD4020,RCON5370,RCFD5390,RIAD8757,RCFD8733,RCFD5377,RCFD0416,RCFDC010,RCONB551,RCFD3839,RCFDB860,RIADB514,RCON5512,RCFD3200,RCFD8745,RCFD6165,RCFD3163,RIAD4646,RCON2210,RCON6636,RCFDA130,RIAD4415,RIAD4093,RCON1752,RIAD4070,RIAD4300,RCON2107,RCFD1583,RIAD4074,RCFD3529,RCFD3433,RCFD5389,RCON5399,RCON0090,RCFDB571,RIAD4010,RCFD3550,RIAD4628,RIAD3217,RIAD4643,RCFD8715,RCFDA559,RIADB508,RCFD1739,RCFDB530,RCFD0010,RCFD3210,RCFDB850,RCFDB805,RCFDB846,RCFD8710,RCFD5380,RCON9999,RCON2200,RCFD3381,RIAD4313,RCFD8711,RCON0070,RCON5511,RIADB497,RCFDB558,RCFD5382,RCFD8700,RCFD6558,RCFD3822,RCFDA570,RCFDA589,RCFD1590,RCFD1742,RCFDB537,RIAD4092,RCFD1763,RIAD4107,RIAD4172,RCFD3230,RCON2385,RCFD8498,RCFN2200,RIAD4056,RCON2165,RCON3129,RCFD8738,RCFD2081,RCFD2930,RCFDA574,RCON5508,RCFDB534,RCFDA591,RCFD8704,RCFDA554,RCFD8697,RCFD3365,RCON2192,RCONB561,RCFD3353,RIAD5411,RCFD1743,RCFDB556,RIAD4135,RIAD4024,RCFD2145,RCON0082,RCFDA222,RIADB513,RCONB562,RIAD4185,RCFN5513,RCFDB533,RCONB535,RIAD4635,RCONB534,RIAD8759,RCFD8739,RCFDA590,RCFDA551,RIADA220,RCFD3546,RCFDA248,RCON3495,RCON1545,RCON3500,RCON3360,RCFD1252,RCFD8714,RCFDA575,RCFD1741,RIAD3521,RCFDA555,RIAD4060,RCON1763,RCFD1744,RIAD4069,RIAD3584,RCFD5460,RCFD3506,RIADB489,RCON5509,RCFD0071,RCFD3401,RIAD8431,RCFD1771,RIAD3589,RCON5510,RCFD8699,RCFD8694,RCFD0090,RCFN3404,RCFD3530,RCFD3548,RCONA566,RCFDA549,RIAD4665,RIADB512,RIAD4301,RIAD4507,RCON3387,RCFD1286,RCONB531,RCFNA245,RCFD3820,RIADB496,RCFD6550,RCFD8727,RCONB549,RCFD8741,RCFD8726,RIAD4618,RCFD3507,RIAD5412,RCFDB838,RCFD6164,RIAD4079,RIAD4065,RCFDB576,RCFD3432,RCON0352,RCON3386,RCFD3547,RCFD1253,RCFD2150,RCFD1254,RCON0010,RIADB485,RCFDB849,RCFD8737,RCFDA571,RCFD8735,RCONB552,RIAD5415,RCFD8743,RIADB515,RCON2081,RCON2216,RCFD1248,RCON2213,RCFD1256,RCFD1287,RCFDA573,RIAD4340,RCFD8695,RCFD3300,RCFD8707,RCFD8499,RCFD8696,RCFNB554,RCFD8709,RCON3494,RCONA564,RCFDB528,RCFN2898,RIAD4302,RCFNB553,RIAD4059,RCFD6560,RCFD1737,RCON1590,RCFD1772,RCFD3128,RCFD8734,RIAD4115,RCFDB837,RCFD6559,RIAD4627,RIAD3585,RCFD1752,RCFD2170,RCON6631,RCFDA127,RIAD4150,RCFD8496,RCFD1746,RCFD8746,RCON2377,RCON2203,RCFD8706,RIADB522,RCFD8712,RIAD0093,RIAD5416,RIADB510,RCFN2625,RCFDB536,RCON2122,RCFD3826,RIADB507,RIADB511,RCFD3190,RIAD3210,RCFDB859,RCFDB852,RCFD3814,RIAD4073,RCFD3505,RIAD4645,RCFDB858,RCFD8765,RCFD3000,RCFDA572,RCON0080,RCFD1251,RCONB539,RCFD1738,RCFD3355,RCFD8705,RCFD8723,RCFDB847,RIAD4662,RCFDB861,RCON6810,RCON2215,RCFD5381,RCFD8744,RCFN2133,RCFD2148,RCFNB555,RCFDB856,RCON2163,RCFD2746,RCFD3549,RCONA565,RIADB491,RIADB487,RIAD4655,RCFDB704,RCFDA562,RIAD8758,RCFD8716,RCFD5459,RCFD1250,RCON1797,RIAD3588,RCFD2948,RCFDB845,RCFD2122,RCFD5391,RIAD4012,RIADB488,RCFD1754,RCFD8701,RCON1460,RCON5367,RCFD3484,RCFDB851,RCFD3164,RCON0020,RCFD8724,RCON5597,RCFDB532,RIAD4200,RIAD4230,RCON6648,RCFDB841,RCFD2160,RCFD8720,RCFDB844,RCON2202,RCFD5379,RCFD0211,RCFD8728,RCON1764,RIAD8760,RCON2236,RCFD8740,RIAD4356,RCON3493,RCON1420,RCON5368,RCON2941,RCFN2650,RCFD1764,RCFDB839,RCFDA561,RCON5400,RCON2520,RCFDB575,RIADA251,RCFDB538,RIAD4508,RIAD4080,RIADB509,RCFDB539,RCFD8713,RIAD4617,RCON2530,RCFD8693,RIAD4180,RIAD4217,RIAD3123,RCFD8497,RCON3190,RCFDB804,RCFD2130,RIAD4513,RCFDA558,RCFDB853,RCONB538,RCFDB529,RCON2365,RCFDA553,RCFDA552,RCFD8782,RCFD2651,RCFD5461,RCON6835,RIADB493,RIADB486,RCFD5369,RCFD2168,RCFD8698,RCONA569,RCFD3123,RCON3501,RCFD1594,RCFD8736,RCFD8725,RCFDB840,RCFDB570,RIAD3196,RCFD3632,RCFD0213,RCFD3450,RIAD4605,RCFDA247,RCFN6636,RCFD1249,RCFD0022,RCFDB848,RCFD8708,RIAD4644,RCFD3545,RCFD1597,RCFD5378,RCFNB574,RCFDA126,RCFD8702,RCONA568,RCON5398,RCFDA560,RCFD3821,RIAD4518,RCFDA550,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
09/30/2009,10299173.0,24243904.0,43.0,29534470.0,941578.0,656099886.0,169070112.0,160483.0,17010.0,3238039.0,864386.0,1549873973.0,2200000.0,97986465.0,12990425.0,7048746.0,220329501.0,0.0,41134554.0,11419315.0,22224584.0,14865389.0,54673.0,22586.0,0.0,0.0,46065617.0,453594066.0,0.0,348681.0,81419445.0,0.0,932611.0,895837654.0,1824.0,92621182.0,0.0,11862684.0,136915919.0,5845307.0,0.0,234396.0,25117950.0,497423.0,1.0,57173234.0,327053.0,95891203.0,555855891.0,0.0,2797302.0,25231768.0,4623452.0,984520.0,5183496.0,14865389.0,92885.0,25554146.0,22522.0,0.0,0.0,306851.0,113044745.0,46549000.0,23835060.0,28462253.0,29366.0,132838002.0,0.0,84413538.0,6741970.0,132908167.0,1476790.0,-4426367.0,148120382.0,162795645.0,929429.0,1711653845.0,222344.0,142221383.0,0.0,20090930.0,807177514.0,176513251.0,247481.0,58031944.0,218276.0,131206.0,5146343.0,20151713.0,37093.0,162868.0,15580.0,4014101.0,347352923.0,0.0,1443500.0,75000.0,2270509.0,8146551.0,117844626.0,35290236.0,540846.0,3020043.0,701722867.0,9876612.0,195531469.0,82.0,17254301.0,1091155308.0,54611878.0,235918.0,29713120.0,58432979.0,248869.0,0.0,141951981.0,15000.0,25119149.0,3539423945.0,83110190.0,1383597199.0,4994.0,146354168.0,4257657.0,75000.0,4070074.0,12797199.0,57019.0,11462298.0,783738.0,9921515.0,55.0,71424032.0,3036954.0,0.0,8290013.0,52894.0,14629689.0,0.0,61031.0,13519960.0,17654612.0,17239380.0,1800576.0,21193889.0,9051501.0,38386.0,2886121.0,1696.0,689977371.0,381515.0,114805745.0,40438432.0,1487318.0,0.0,252676.0,762980.0,117028898.0,1736265.0,1461442.0,0.0,2094.0,4018.0,7378423.0,0.0,125895798.0,78290952.0,970827.0,2322584.0,0.0,1023616.0,0.0,1801698.0,113044745.0,202925499.0,1063.0,31848361.0,17946375.0,9442953.0,0.0,43.0,6004047.0,325698.0,127791530.0,22919427.0,8290004.0,170243281.0,27597338.0,3831473.0,6152171.0,0.0,83015810.0,735941.0,1906663.0,5457.0,31096.0,80138.0,802624.0,1201.0,27371908.0,670493.0,0.0,0.0,171401580.0,1413084.0,10654472.0,3497993.0,1638087.0,16065.0,133933491.0,0.0,3140288.0,875080676.0,22076383.0,17729419.0,26457572.0,-33507.0,0.0,0.0,190427.0,188706.0,0.0,938921.0,1096398.0,23107666.0,38765630.0,5166118.0,1813061.0,1460147344.0,9068217.0,9928081.0,0.0,1663615.0,1574193909.0,3930.0,11975732.0,708578864.0,4329418.0,820551.0,178266902.0,970241.0,182654.0,0.0,1443500.0,220102990.0,0.0,51816761.0,378078.0,988220.0,4271.0,0.0,0.0,4657885.0,1460147344.0,251321624.0,2123259657.0,179505.0,1175.0,1733865.0,43365.0,198074.0,9312400.0,0.0,11115206.0,2411746.0,1163671.0,-375352.0,0.0,8761433.0,17715.0,698238925.0,659497682.0,70165.0,4039551.0,110301869.0,162795645.0,330514.0,15000.0,87884771.0,9736090.0,15952.0,1956903.0,330611.0,282920670.0,409838.0,15962657.0,7618483.0,605394.0,11084021.0,0.0,111204707.0,231852854.0,194280545.0,222344.0,55.0,5756455.0,292722283.0,105454647.0,0.0,0.0,2263521.0,3381968.0,80187.0,159678.0,0.0,7809906.0,0.0,10010101.0,84.0,614609.0,0.0,1084803712.0,26081866.0,685241.0,2673496.0,129020.0,0.0,115819642.0,0.0,1296941861.0,0.0,739580188.0,0.0,3725824.0,264567.0,2367332.0,246371036.0,9149967.0,199282208.0,18082763.0,929429.0,17585590.0,12268249.0,7449606.0,312096124.0,0.0,337493.0,23538590.0,109130962.0,6422096.0,126683405.0,2172496.0,0.0,136126.0,67226.0,0.0,0.0,2031693.0,209966.0,500365.0,5065040.0,20230066.0,8664.0,1620953.0,28905990.0,129236408.0,6759332.0,36062439.0,757973.0,4969756.0,3024771.0,405968.0,0.0,129700.0,5331.0,56499.0,6445391.0,-145559.0,11084021.0,1570930666.0,78535.0,18061002.0,1436734000.0,314474.0,3788415.0,22923760.0,1175.0,110291501.0,24975939.0,6081064.0,30500.0,527229.0,12150.0,5331.0,685655104.0,9873309.0,4680318.0,5751673.0,10427157.0,14382000.0,330286.0,20781134.0,74841.0,2292268.0,31001324.0,96985776.0,1206839812.0,94973676.0,22923760.0,202972.0,1512.0,5076792.0,101164882.0,6417285.0,215549317.0,1848351.0,27286050.0,0.0,27162761318.0,961309.0,225344281.0,192293430.0,0.0,20328347.0,3077943.0,14000.0,467651.0,77887004.0,5057.0,217.0,0.0,35661102846.0,0.0,26372694.0,1896157.0,113376765.0,9411680.0,190512.0,3716051.0,100.00000000000001,55.93754762541826,82.37501905016731,True,False,True,True,57652190682919.71,82.37501905016731
03/31/2011,6156865.0,13873766.0,0.0,6378543.0,1055829.0,682302910.0,252738609.0,458437.0,73642.0,3535308.0,502938.0,1495219806.0,3800000.0,75172888.0,27949961.0,1732854.0,318110508.0,0.0,21788668.0,0.0,23786623.0,14936854.0,8994241.0,25864.0,0.0,0.0,54572179.0,564897163.0,0.0,114846.0,82621078.0,0.0,136836.0,700076711.0,870.0,109800841.0,0.0,8373995.0,144792948.0,2871143.0,0.0,232692.0,25042173.0,34401266.0,2.0,57226708.0,9277.0,120215178.0,548338600.0,0.0,4401000.0,10485834.0,5577740.0,363879.0,2484179.0,14936854.0,46210.0,9040021.0,7490.0,93516.0,0.0,314108.0,29037384.0,28749000.0,6923060.0,26941831.0,0.0,171325208.0,0.0,51719978.0,3634227.0,171325208.0,1835401.0,-3309031.0,78491448.0,173789028.0,0.0,1579370824.0,0.0,1444698429.0,0.0,20110331.0,848926338.0,96597760.0,76570.0,41618068.0,188690.0,128890.0,2840577.0,47813939.0,0.0,0.0,53948.0,3360750.0,329651525.0,56822870.0,1120006.0,175000.0,7386900.0,4392082.0,112904144.0,10559569.0,207620.0,3020043.0,702081028.0,5182285.0,198086971.0,1.0,16906477.0,1067472623.0,74833381.0,330096.0,22989660.0,51310492.0,310026.0,0.0,135379244.0,0.0,41325589.0,5671883816.0,48308903.0,1344516144.0,3082.0,117516911.0,901423.0,175000.0,4373073.0,4733381.0,11841.0,11032483.0,11812299.0,12230468.0,9.0,75100445.0,486662.0,0.0,137494.0,5067.0,2907093.0,0.0,56202.0,6730034.0,15574705.0,7130492.0,1130883.0,14745159.0,4497866.0,61163.0,2509391.0,106.0,671749095.0,78621.0,1450461556.0,26732396.0,1890006.0,0.0,327687.0,140955.0,110870956.0,2870447.0,236315.0,897.0,15221.0,1682.0,2087694.0,47.0,54704826.0,63497542.0,53711.0,181291.0,1037.0,1148693.0,0.0,3550398.0,29037384.0,206538857.0,0.0,32332659.0,21072456.0,2816424.0,5233.0,0.0,3505233.0,45370.0,114407638.0,45993882.0,137492.0,164896330.0,17772244.0,13884.0,5122471.0,0.0,125485145.0,41889776.0,182439392.0,1288.0,766967.0,77744.0,0.0,1146451.0,7290011.0,370536.0,0.0,0.0,233432199.0,1127759.0,17587500.0,1758509.0,3201172.0,10366.0,58571056.0,0.0,1976965.0,691320395.0,18371430.0,9054488.0,3458943.0,410.0,0.0,0.0,184533.0,120643.0,0.0,1962.0,159840.0,45565862.0,37653778.0,2481553.0,119417.0,1451386720.0,0.0,4956515.0,0.0,8525091.0,1401092440.0,0.0,19538634.0,723205899.0,5057297.0,1021054.0,172428790.0,352093.0,144520.0,0.0,1120006.0,318167626.0,0.0,71906220.0,107386.0,1035087.0,0.0,0.0,286.0,5625291.0,1451386720.0,300587738.0,6611076001.0,184334.0,508.0,2888032.0,9063506.0,162999.0,12420599.0,0.0,24446049.0,1146156.0,250773.0,-285144.0,0.0,14346146.0,7514.0,688466919.0,1020554844.0,0.0,-602341.0,67710694.0,173789028.0,5783.0,1738938.0,76978400.0,1519548.0,8173.0,163954.0,5783.0,446127237.0,421808.0,19139276.0,8341301.0,560263.0,16680467.0,0.0,69198901.0,168819093.0,99836006.0,0.0,9.0,2891522.0,342276985.0,146845310.0,0.0,0.0,4767021.0,1744760.0,106607.0,454666.0,0.0,7191372.0,0.0,13404850.0,91.0,136054.0,7566.0,1079422936.0,52964758.0,276410.0,1206020.0,91076.0,0.0,106948123.0,8420.0,1277175884.0,0.0,742994548.0,0.0,1154051.0,486233.0,181291.0,227528241.0,4847362.0,248360991.0,17840902.0,0.0,15582219.0,9191382.0,3702506.0,157470484.0,0.0,85942.0,2797206.0,70272256.0,527897.0,130831804.0,1350330.0,0.0,442966.0,3756.0,0.0,0.0,4383235.0,20664.0,33458.0,408369.0,0.0,17098.0,1359427.0,22300297.0,102832685.0,2680337.0,41711329.0,0.0,3124076.0,1849680.0,251262.0,0.0,13187.0,2419.0,30089.0,1293018.0,-16392.0,16680467.0,1571423211.0,138573.0,15871456.0,2004693682.0,165097.0,1260055.0,24899301.0,508.0,62154010.0,20709280.0,5759287.0,1901.0,187918.0,1762558.0,2419.0,698306598.0,44918446.0,15710309.0,2228922.0,6135315.0,12766000.0,41248.0,19505594.0,0.0,590316.0,19788649.0,100677277.0,2874250166.0,143746291.0,24899301.0,266505.0,1227.0,415241.0,2092094355.0,525777.0,55970401.0,458241.0,29285068.0,0.0,29565071019.0,561922.0,228268953.0,194551663.0,0.0,18426894.0,1973769.0,0.0,0.0,61115026.0,53.0,0.0,0.0,38518417147.0,0.0,21750600.0,1642236.0,183156708.0,7350990.0,92544.0,1956363.0,86.93592449958591,70.40768502525738,80.3246287098545,True,False,True,True,50160969011591.07,80.3246287098545
12/31/2008,8363058.0,16039287.0,26.0,29444109.0,406591.0,619302923.0,221539540.0,750578.0,30886.0,3885517.0,567199.0,1552866436.0,9075874.0,102577795.0,12690225.0,2671111.0,258424071.0,0.0,49465057.0,124005591.0,31296506.0,15169659.0,273220.0,1007.0,0.0,0.0,45734945.0,408584759.0,0.0,3711302.0,48579318.0,0.0,-1483507.0,1281441477.0,71133.0,140366697.0,0.0,9876705.0,114725979.0,13268440.0,0.0,69914.0,24873265.0,559213.0,6.0,53368345.0,171747.0,92394457.0,536943921.0,0.0,0.0,29098139.0,4569381.0,1643154.0,5894592.0,15169659.0,15523.0,30704389.0,201834.0,504846.0,0.0,361073.0,417543.0,82697956.0,36355183.0,25119077.0,35098.0,108480218.0,0.0,69041844.0,5778384.0,108480218.0,1856343.0,-11835851.0,46682006.0,132838001.0,0.0,1465557500.0,0.0,199846295.0,1197.0,20081231.0,754919971.0,16667365.0,330181.0,62316196.0,257460.0,94438.0,4748256.0,410506.0,75617.0,149721.0,71698.0,3507113.0,367249286.0,0.0,1601725.0,75000.0,4337269.0,9521768.0,143475476.0,57879760.0,4213289.0,3020039.0,651460818.0,10517591.0,199757609.0,210.0,17928988.0,1125142401.0,84481095.0,191489.0,30295320.0,56797552.0,199824.0,0.0,127094134.0,15167065.0,17587161.0,2158183346.0,143950959.0,1375012989.0,14288.0,193087849.0,2499663.0,75000.0,5342965.0,14401171.0,63336.0,11362837.0,1111892.0,0.0,110.0,60601384.0,5472052.0,0.0,16375704.0,22563.0,8302500.0,0.0,434772.0,29173472.0,11415660.0,3995028.0,-345522.0,34469573.0,2131636.0,7041.0,3181886.0,1331.0,676819769.0,303509.0,175677954.0,39186457.0,1773553.0,-14919.0,54644.0,1997132.0,139925058.0,3896502.0,3740542.0,889.0,58089.0,0.0,10196158.0,0.0,15385499.0,168053333.0,1792898.0,681984.0,6.0,854380.0,0.0,600671.0,417543.0,202209687.0,0.0,70746999.0,14604626.0,13975803.0,0.0,26.0,8245083.0,299131.0,148233232.0,329934.0,16375675.0,173962415.0,29670238.0,257672.0,7377219.0,0.0,81377298.0,1005682.0,12076679.0,18213.0,97424.0,57150.0,373383.0,615334.0,21413618.0,822732.0,0.0,0.0,145608039.0,1314130.0,36277426.0,1912004.0,1218556.0,26079.0,30252537.0,0.0,5331330.0,1262740871.0,17765124.0,29988318.0,12311300.0,1414.0,0.0,0.0,189530.0,200822.0,0.0,201713.0,388930.0,318427.0,35441736.0,5894592.0,3713958.0,1470276918.0,117914387.0,9575398.0,9361433.0,14280296.0,1491056142.0,1516.0,5948735.0,695495110.0,13164339.0,2350491.0,132238294.0,2490521.0,77246.0,0.0,1601725.0,264261940.0,0.0,82326865.0,746344.0,876053.0,1656.0,0.0,0.0,4649841.0,1470276918.0,217976050.0,2149059475.0,170158.0,1933.0,3858490.0,465013.0,151194.0,11475851.0,0.0,4645039.0,2407156.0,3611049.0,-1782075.0,0.0,37296067.0,7544.0,667023315.0,478672043.0,0.0,-4766906.0,110928381.0,132838002.0,231668.0,290502.0,103151895.0,27175371.0,0.0,1006213.0,231668.0,70592654.0,496768.0,19293525.0,9756702.0,1245756.0,3421389.0,0.0,128282901.0,155784819.0,406436085.0,0.0,110.0,12913377.0,267379572.0,103459153.0,0.0,0.0,2477291.0,4034203.0,63698.0,758329.0,0.0,7724631.0,0.0,4229012.0,888.0,1480719.0,0.0,1049133732.0,13115503.0,1772774.0,1685164.0,137819.0,0.0,104614368.0,2048.0,1336942149.0,54455.0,712320169.0,0.0,6338713.0,32012.0,681984.0,210243178.0,9119836.0,167478429.0,18183832.0,0.0,11352001.0,18708940.0,44765336.0,315172227.0,0.0,827849.0,13103595.0,110829705.0,4120026.0,95563530.0,2109964.0,105361.0,326764.0,3385.0,0.0,0.0,2003094.0,25641.0,138058.0,7250560.0,32311234.0,12548.0,1619432.0,18932115.0,116535819.0,15879254.0,34092184.0,373383.0,2518948.0,2091383.0,356858.0,0.0,126715.0,14248.0,200790.0,10857344.0,-5262.0,3421676.0,1482938560.0,99008.0,19200485.0,1520415870.0,5027681.0,4432281.0,11115206.0,1933.0,107304304.0,26653366.0,6163280.0,83958.0,451994.0,258245.0,14248.0,684379904.0,2780789.0,5347351.0,3086251.0,8865903.0,10229000.0,129650.0,18599509.0,-140492.0,3356999.0,16825059.0,64403518.0,1306339191.0,94672780.0,11115206.0,125346.0,20641.0,7332958.0,64767325.0,4615863.0,261032783.0,-1656271.0,26927834.0,0.0,26623000797.0,879838.0,224410787.0,195872092.0,0.0,28884990.0,5600627.0,13884833.0,392083.0,130519836.0,205.0,59.0,0.0,33576855387.0,0.0,24969760.0,2477107.0,186922937.0,8533744.0,278355.0,2199222.0,73.89124236505917,56.89629224160743,67.09326231567847,False,False,True,True,42680867913073.77,67.09326231567847
06/30/2009,10985832.0,25293406.0,30.0,19585800.0,1061413.0,655134451.0,167960343.0,292461.0,34012.0,3451229.0,1006420.0,1564998393.0,1000000.0,99708594.0,16303528.0,5838409.0,224180430.0,0.0,44112790.0,10972885.0,24011017.0,14796012.0,240238.0,2528.0,0.0,0.0,47743187.0,432925365.0,0.0,244372.0,81608146.0,0.0,1431697.0,835524337.0,771.0,110825275.0,0.0,10965767.0,127365099.0,6352928.0,0.0,123393.0,25024150.0,317776.0,2.0,56823234.0,212536.0,102807477.0,567606843.0,0.0,1487625.0,17012049.0,4508041.0,669397.0,4087494.0,14796012.0,110488.0,16712322.0,13109.0,1446.0,0.0,366364.0,60614954.0,32221000.0,15807843.0,23448373.0,21756.0,132838002.0,0.0,81137276.0,6830345.0,132908167.0,2033404.0,-7795499.0,96696614.0,150000610.0,1235913.0,1654723480.0,45441.0,164219313.0,140.0,20090630.0,817989321.0,157978119.0,165896.0,58518221.0,109392.0,83350.0,3405060.0,6507206.0,30748.0,271661.0,125197.0,3652621.0,348994187.0,0.0,1412557.0,75000.0,1763960.0,5630840.0,122457857.0,23709702.0,399320.0,3020043.0,704929738.0,11718685.0,190396785.0,64.0,18190430.0,1102814818.0,45376652.0,237421.0,35430731.0,59113573.0,271424.0,0.0,144406961.0,15000.0,16907433.0,3498976322.0,137961197.0,1374816882.0,6824.0,136171383.0,2637096.0,75000.0,4212054.0,8517155.0,28750.0,11555828.0,703239.0,7127977.0,35.0,62693611.0,2145678.0,0.0,8334471.0,35612.0,9025190.0,0.0,-24154.0,13526336.0,18742114.0,13784335.0,1338497.0,15526842.0,6532372.0,33674.0,2833185.0,6605.0,712772103.0,200948.0,138691810.0,40465807.0,2032404.0,0.0,309767.0,528443.0,121590005.0,1563172.0,1063456.0,0.0,13720.0,4753.0,5058663.0,0.0,72685596.0,87034599.0,663775.0,1986640.0,0.0,1060560.0,0.0,1745381.0,60614954.0,197119762.0,722.0,26294869.0,16111828.0,11707112.0,0.0,30.0,5324274.0,221757.0,130597813.0,10512312.0,8334466.0,166638826.0,28944609.0,3697087.0,6444138.0,0.0,89730711.0,600623.0,8859578.0,4566.0,52194.0,56709.0,364267.0,6612.0,20127799.0,517082.0,0.0,0.0,161071679.0,1390844.0,10768027.0,3316055.0,1538727.0,23515.0,83777590.0,0.0,3952094.0,815234870.0,21258971.0,16530909.0,29844585.0,-24787.0,0.0,0.0,189530.0,237160.0,0.0,661630.0,999878.0,10690730.0,37351323.0,4091122.0,1294818.0,1449558377.0,9883235.0,11209484.0,0.0,1629739.0,1644568191.0,756.0,15489351.0,707199084.0,4569062.0,1236780.0,174215545.0,682993.0,164618.0,0.0,1412557.0,228562381.0,0.0,42552080.0,248521.0,948632.0,6804.0,0.0,0.0,4336648.0,1449558377.0,250382478.0,1906623189.0,179319.0,1653.0,1539212.0,75579.0,120043.0,11102726.0,0.0,11115206.0,2820931.0,777008.0,-396560.0,0.0,7280316.0,7422.0,704846390.0,509476524.0,70165.0,670377.0,119828292.0,150000610.0,343696.0,15000.0,93614764.0,6997380.0,17534.0,1075221.0,344361.0,163274725.0,391396.0,16923713.0,7767709.0,863005.0,3059618.0,0.0,171273860.0,178915575.0,181392235.0,45441.0,35.0,6355034.0,283036275.0,113059583.0,0.0,0.0,1930567.0,6952527.0,88170.0,287428.0,0.0,7888280.0,0.0,8970249.0,-2.0,347010.0,0.0,1085007587.0,24138940.0,618343.0,3069645.0,218723.0,0.0,119682694.0,0.0,1299166371.0,12.0,748343238.0,0.0,2385940.0,121078.0,2066635.0,172912020.0,9090297.0,208273446.0,18215060.0,1235913.0,18673137.0,14582296.0,8428217.0,342463719.0,747.0,253570.0,15561884.0,117145420.0,8474558.0,104519377.0,2204980.0,127.0,361589.0,66721.0,0.0,0.0,1460708.0,71657.0,215038.0,4679337.0,11983199.0,18202.0,1655558.0,29255514.0,121610058.0,7183015.0,37960849.0,284937.0,4811404.0,3170359.0,343960.0,0.0,81558.0,5958.0,38689.0,4124089.0,-139880.0,3060260.0,1649887516.0,48756.0,19271661.0,1264893826.0,239008.0,2541010.0,20221504.0,1653.0,119816607.0,25963349.0,6031029.0,28002.0,668356.0,10970.0,5958.0,686977580.0,7647273.0,10501377.0,3860277.0,11110379.0,10493000.0,315980.0,20908413.0,25202.0,1550908.0,41144154.0,71604919.0,1101349739.0,105550269.0,20221504.0,132476.0,9600.0,4688530.0,64658661.0,8596338.0,221420764.0,1058086.0,27410967.0,0.0,26659716689.0,631069.0,209253357.0,186945556.0,0.0,22725287.0,3942714.0,46000.0,293593.0,67785888.0,1510.0,735.0,0.0,35005211478.0,0.0,24805337.0,1753425.0,126770332.0,8104849.0,120244.0,325081.0,64.5478976455794,69.32252280250651,66.45774770835024,False,False,True,True,37323193239267.56,66.45774770835024
