quarter,RIAD4652,RCONB550,RIAD4460,RCON3485,RCONB563,RIAD4020,RCON5370,RIAD8757,RIAD4646,RCON2210,RCON6636,RIAD4415,RIAD4093,RIAD4300,RCON2107,RIAD4074,RCON0090,RIAD4010,RIAD3217,RIADB508,RCON9999,RCON2200,RIAD4313,RIADB497,RIAD4092,RIAD4107,RCON2385,RIAD4135,RCONB562,RIAD4185,RIAD4635,RIAD8759,RIADA220,RCON1545,RCON3360,RIAD4060,RCON1763,RIADB489,RCON5510,RIAD4301,RIAD4507,RCON3387,RCONB549,RIAD4079,RCON0010,RIADB485,RIADB515,RIAD4340,RCONA564,RIAD4302,RIAD4115,RCON6631,RIAD4150,RIADB522,RIAD0093,RIAD5416,RCON2122,RIADB511,RIAD3210,RIAD4073,RCON6810,RCON2215,RCONA565,RIAD8758,RCON1797,RIAD4012,RIADB488,RCON1460,RCON5367,RCON5597,RIAD4200,RIAD4230,RCON6648,RCON1764,RIAD4508,RIAD4080,RIAD4180,RIAD4217,RIAD3123,RCON2365,RCON6835,RIADB486,RCONA569,RIAD3196,RIAD4605,RIAD4644,RIAD4518,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
12/31/2024,0.0,44928000.0,4547000.0,137592000.0,6042000.0,663000.0,211000.0,5000.0,34000.0,142165000.0,185549000.0,0.0,1204000.0,4709000.0,0.0,5046000.0,19686000.0,5906000.0,21872000.0,21872000.0,20241231.0,187093000.0,12000.0,1267000.0,1052000.0,11363000.0,44928000.0,117000.0,6851000.0,1063000.0,209000.0,1274000.0,1178000.0,15088000.0,82285000.0,83000.0,2338000.0,1147000.0,0.0,6235000.0,0.0,5779000.0,142165000.0,2472000.0,19766000.0,0.0,0.0,4709000.0,135000.0,1526000.0,930000.0,1544000.0,281.0,654000.0,210000.0,27000.0,84961000.0,56000.0,22090000.0,6317000.0,6348000.0,142165000.0,0.0,-78000.0,0.0,443000.0,1671000.0,639000.0,1747000.0,39543000.0,0.0,107000.0,38580000.0,1971000.0,3185000.0,0.0,12000.0,35000.0,546000.0,43134000.0,22853000.0,432000.0,1530000.0,51000.0,4000.0,11000.0,414000.0,100.0,0.43918906478888,60.17567562591555,True,False,True,True,3401432577489.813,60.17567562591555
12/31/2009,0.0,55214000.0,0.0,745000.0,49428000.0,23000.0,0.0,-176000.0,0.0,0.0,56010000.0,1165000.0,172000.0,399000.0,0.0,56000.0,12441000.0,397000.0,5785000.0,5785000.0,20091231.0,56010000.0,0.0,976000.0,160000.0,835000.0,55214000.0,10000.0,2403000.0,20000.0,145000.0,0.0,118000.0,0.0,13909000.0,0.0,6342000.0,0.0,0.0,657000.0,0.0,9228000.0,796000.0,917000.0,12546000.0,0.0,0.0,399000.0,0.0,258000.0,56000.0,0.0,108.0,20000.0,396000.0,-177000.0,13454000.0,0.0,7349000.0,779000.0,50210000.0,796000.0,1000.0,0.0,0.0,270000.0,69000.0,5000.0,1000.0,15560000.0,24000.0,144000.0,4989000.0,2485000.0,12000.0,0.0,5000.0,2000.0,19000.0,56010000.0,10694000.0,38000.0,0.0,0.0,0.0,145000.0,0.0,0.08889564548009403,99.99999999999824,40.05333738728735,False,True,True,True,3062966854.9060025,40.05333738728735
12/31/2023,0.0,39829000.0,3225000.0,133026000.0,5595000.0,337000.0,152000.0,-1000.0,0.0,136078000.0,174156000.0,0.0,1235000.0,4518000.0,0.0,5330000.0,11823000.0,5462000.0,19977000.0,19977000.0,20231231.0,175907000.0,9000.0,1036000.0,1096000.0,10168000.0,39829000.0,112000.0,7386000.0,668000.0,128000.0,1029000.0,1003000.0,1555000.0,78118000.0,111000.0,6282000.0,1043000.0,0.0,5922000.0,0.0,7065000.0,136078000.0,2139000.0,11859000.0,0.0,0.0,4518000.0,152000.0,1404000.0,1360000.0,1751000.0,309.0,468000.0,261000.0,100000.0,79621000.0,602000.0,21872000.0,4838000.0,5692000.0,136078000.0,0.0,-5000.0,0.0,472000.0,988000.0,461000.0,2189000.0,37746000.0,0.0,310000.0,34137000.0,2631000.0,2496000.0,0.0,9000.0,27000.0,654000.0,37189000.0,21900000.0,463000.0,2011000.0,49000.0,1000.0,0.0,614000.0,49.25930855242859,0.29697275494252967,29.674374233434165,True,False,True,True,1675542097627.1677,29.674374233434165
12/31/2019,0.0,101555000.0,2945000.0,10180000.0,76147000.0,197000.0,124000.0,4000.0,0.0,23751000.0,113312000.0,0.0,562000.0,2932000.0,63000.0,3179000.0,17694000.0,2547000.0,15223000.0,15223000.0,20191231.0,125306000.0,0.0,937000.0,460000.0,4605000.0,101555000.0,86000.0,8273000.0,181000.0,6000.0,0.0,78000.0,1918000.0,65458000.0,100000.0,6070000.0,613000.0,0.0,3726000.0,0.0,7909000.0,23751000.0,1129000.0,17708000.0,0.0,0.0,2932000.0,125000.0,794000.0,301000.0,11994000.0,309.0,159000.0,484000.0,114000.0,65857000.0,694000.0,15904000.0,1426000.0,75526000.0,23751000.0,0.0,0.0,0.0,312000.0,504000.0,852000.0,354000.0,40786000.0,0.0,85000.0,26029000.0,1398000.0,111000.0,0.0,0.0,16000.0,238000.0,41126000.0,16699000.0,361000.0,225000.0,65000.0,0.0,0.0,313000.0,41.018873247066644,0.2701667881391966,24.719390663495663,True,False,True,False,1395252483163.7266,24.719390663495663
03/31/2016,0.0,110836000.0,0.0,3359000.0,115324000.0,17000.0,0.0,-21000.0,4000.0,8712000.0,118109000.0,0.0,145000.0,411000.0,112000.0,599000.0,24211000.0,390000.0,13187000.0,13187000.0,20160331.0,119548000.0,0.0,140000.0,116000.0,621000.0,110836000.0,22000.0,11425000.0,2000.0,4000.0,0.0,104000.0,801000.0,54616000.0,34000.0,9427000.0,91000.0,0.0,654000.0,0.0,13256000.0,8712000.0,239000.0,24352000.0,0.0,0.0,411000.0,0.0,243000.0,29000.0,1439000.0,324.0,149000.0,15000.0,-5000.0,54243000.0,279000.0,13877000.0,22000.0,110189000.0,8712000.0,0.0,110000.0,0.0,88000.0,50000.0,16000.0,0.0,41755000.0,5000.0,44000.0,647000.0,3235000.0,0.0,0.0,0.0,7000.0,189000.0,2360000.0,19215000.0,78000.0,0.0,5000.0,0.0,0.0,9000.0,0.05299193670760327,52.10732903823758,20.874726777319594,False,False,True,False,1841740509.8486056,20.874726777319594
