bank_name,quarter,anom_score,systemic_score,adjusted_score,is_anomaly,known_event,known_event_label
Goldman Sachs Group Inc,12/31/2023,0.5680191662410681,0.5072052570636947,0.06081390917737339,1,False,
Morgan Stanley,03/31/2009,0.5827880833730783,0.5271933551797703,0.05559472819330802,1,False,
Citigroup Inc,12/31/2007,0.5366013199634603,0.4874505716048915,0.04915074835856875,1,False,
Bank of America Corporation,03/31/2009,0.5751322698965126,0.5271933551797703,0.047938914716742276,1,False,
Bank of America Corporation,09/30/2009,0.5497108615868495,0.5091324165034449,0.04057844508340458,1,False,
Bank of America Corporation,06/30/2009,0.5358820296076743,0.5019582290242618,0.03392380058341249,1,False,
Bank of America Corporation,12/31/2009,0.556722551245318,0.5245247209386527,0.03219783030666534,1,False,
Goldman Sachs Group Inc,12/31/2025,0.6131119177400112,0.5869868571579117,0.026125060582099513,1,False,
Wells Fargo and Company,12/31/2009,0.5493032538463107,0.5245247209386527,0.02477853290765808,1,False,
Citigroup Inc,12/31/2008,0.5556539248555457,0.5327070732180137,0.022946851637531962,1,False,
JPMorgan Chase and Co,12/31/2023,0.527833753849217,0.5072052570636947,0.020628496785522366,1,False,
Goldman Sachs Group Inc,09/30/2025,0.5661435914188385,0.5455249119300437,0.02061867948879481,1,False,
Morgan Stanley,12/31/2024,0.5420134901417912,0.5226475183347968,0.019365971806994398,1,False,
Wells Fargo and Company,09/30/2009,0.5280586708009151,0.5091324165034449,0.01892625429747019,1,False,
Morgan Stanley,12/31/2009,0.5389097180635875,0.5245247209386527,0.014384997124934795,1,False,
JPMorgan Chase and Co,12/31/2024,0.5368892919725632,0.5226475183347968,0.014241773637766353,1,False,
JPMorgan Chase and Co,09/30/2025,0.558262328125534,0.5455249119300437,0.012737416195490292,1,False,
Wells Fargo and Company,12/31/2024,0.5344300710401427,0.5226475183347968,0.011782552705345894,1,False,
Citigroup Inc,12/31/2009,0.5345484521308083,0.5245247209386527,0.010023731192155605,1,False,
JPMorgan Chase and Co,12/31/2025,0.5947756788497683,0.5869868571579117,0.007788821691856684,1,False,
Morgan Stanley,09/30/2025,0.5529086294112157,0.5455249119300437,0.0073837174811719475,1,False,
Wells Fargo and Company,12/31/2008,0.5334549516831134,0.5327070732180137,0.0007478784650997161,1,False,
Wells Fargo and Company,09/30/2025,0.5459504468813577,0.5455249119300437,0.00042553495131403274,1,False,
Bank of America Corporation,09/30/2025,0.5371708025597913,0.5455249119300437,-0.008354109370252383,1,False,
JPMorgan Chase and Co,12/31/2008,0.5149002763405945,0.5327070732180137,-0.01780679687741915,1,False,
Citigroup Inc,09/30/2025,0.5127136731835252,0.5455249119300437,-0.03281123874651848,1,False,
Citigroup Inc,12/31/2025,0.5530729748839553,0.5869868571579117,-0.03391388227395631,1,False,
