bank_name,quarter,anom_score,systemic_score,adjusted_score,is_anomaly,known_event,known_event_label
JPMorgan Chase and Co,03/31/2001,0.45978884113002266,0.47790441621265356,-0.018115575082630897,0,False,
JPMorgan Chase and Co,06/30/2001,0.4463978555600079,0.4608965458725487,-0.014498690312540807,0,False,
JPMorgan Chase and Co,09/30/2001,0.4461530599422318,0.46019233804834914,-0.014039278106117326,0,True,9/11 Terrorist Attacks - market-wide shock
JPMorgan Chase and Co,12/31/2001,0.4651679219998542,0.4750690940556301,-0.009901172055775898,0,False,
JPMorgan Chase and Co,03/31/2002,0.4570304313523478,0.45800674293888555,-0.0009763115865377703,0,False,
JPMorgan Chase and Co,06/30/2002,0.4332130387954744,0.4490752063008432,-0.015862167505368785,0,False,
JPMorgan Chase and Co,09/30/2002,0.4495534115153296,0.4514105567202559,-0.0018571452049262471,0,False,
JPMorgan Chase and Co,12/31/2002,0.46094954282923983,0.4594729024130177,0.0014766404162221414,0,False,
JPMorgan Chase and Co,03/31/2003,0.4465832499810412,0.4464104964741026,0.00017275350693862768,0,False,
JPMorgan Chase and Co,06/30/2003,0.43598003292396376,0.4350890148121805,0.0008910181117832705,0,False,
JPMorgan Chase and Co,09/30/2003,0.4370791106836567,0.4393571751009215,-0.0022780644172648024,0,False,
JPMorgan Chase and Co,12/31/2003,0.4572902975343241,0.4520999709285122,0.0051903266058119235,0,False,
JPMorgan Chase and Co,03/31/2004,0.44905869406490234,0.4394557412349399,0.00960295282996243,0,False,
JPMorgan Chase and Co,06/30/2004,0.44089001596118815,0.42919172507726056,0.011698290883927598,0,False,
JPMorgan Chase and Co,09/30/2004,0.44181741626234905,0.4332465936870219,0.008570822575327153,0,False,
JPMorgan Chase and Co,12/31/2004,0.4534831796345497,0.4459323778769609,0.007550801757588821,0,False,
JPMorgan Chase and Co,03/31/2005,0.42837426933555833,0.42794921535202723,0.00042505398353109847,0,False,
JPMorgan Chase and Co,06/30/2005,0.42011257803981655,0.4230075910768948,-0.002895013037078231,0,False,
JPMorgan Chase and Co,09/30/2005,0.42918637169001944,0.4286067772747504,0.000579594415269058,0,False,
JPMorgan Chase and Co,12/31/2005,0.4608446685237641,0.45208126981449964,0.008763398709264458,0,False,
JPMorgan Chase and Co,03/31/2006,0.43181614758679365,0.42918743243594726,0.0026287151508463946,0,False,
JPMorgan Chase and Co,06/30/2006,0.41982297806747154,0.42136163202731686,-0.0015386539598453153,0,False,
JPMorgan Chase and Co,09/30/2006,0.43802708137240853,0.4396468606912505,-0.0016197793188419407,0,False,
JPMorgan Chase and Co,12/31/2006,0.4404297251539068,0.4616830086226451,-0.021253283468738282,0,False,
JPMorgan Chase and Co,03/31/2007,0.4256640568351773,0.43459101646789955,-0.008926959632722276,0,False,
JPMorgan Chase and Co,06/30/2007,0.43246579074955155,0.4380644250271361,-0.005598634277584558,0,False,
JPMorgan Chase and Co,09/30/2007,0.43938660193085083,0.4482863153810733,-0.008899713450222446,0,False,
JPMorgan Chase and Co,12/31/2007,0.4647928871775186,0.4874505716048915,-0.022657684427372926,0,False,
JPMorgan Chase and Co,03/31/2008,0.45340045697636094,0.4633468365940845,-0.009946379617723544,0,False,
JPMorgan Chase and Co,06/30/2008,0.4653359868819416,0.4658220271636869,-0.00048604028174531466,0,False,
JPMorgan Chase and Co,09/30/2008,0.48788437157208875,0.48249051067891635,0.0053938608931723975,0,False,
JPMorgan Chase and Co,12/31/2008,0.5149002763405945,0.5327070732180137,-0.01780679687741915,1,False,
JPMorgan Chase and Co,03/31/2009,0.47340179685030703,0.5271933551797703,-0.05379155832946325,0,False,
JPMorgan Chase and Co,06/30/2009,0.46161173581221815,0.5019582290242618,-0.040346493212043644,0,False,
JPMorgan Chase and Co,09/30/2009,0.4731276135083019,0.5091324165034449,-0.03600480299514297,0,False,
JPMorgan Chase and Co,12/31/2009,0.4827905030085129,0.5245247209386527,-0.04173421793013976,0,False,
JPMorgan Chase and Co,03/31/2010,0.4752663414429266,0.48047754424113126,-0.005211202798204639,0,False,
JPMorgan Chase and Co,06/30/2010,0.47146419399150996,0.47128845744196335,0.00017573654954661233,0,False,
JPMorgan Chase and Co,09/30/2010,0.4764798094717727,0.4790304891653259,-0.002550679693553215,0,False,
JPMorgan Chase and Co,12/31/2010,0.4957840816207398,0.4959686278163835,-0.0001845461956437311,0,False,
JPMorgan Chase and Co,03/31/2011,0.4526000191420227,0.45179546046151214,0.0008045586805105476,0,False,
JPMorgan Chase and Co,06/30/2011,0.43393518392701763,0.4508414912228234,-0.016906307295805778,0,False,
JPMorgan Chase and Co,09/30/2011,0.46282144319106183,0.4606742038337537,0.0021472393573081505,0,False,
JPMorgan Chase and Co,12/31/2011,0.4659882746615028,0.47737295552965797,-0.011384680868155195,0,False,
JPMorgan Chase and Co,03/31/2012,0.44033246785218466,0.4402781297666247,5.4338085559935134e-05,0,False,
JPMorgan Chase and Co,06/30/2012,0.43432195017245334,0.43557760698810055,-0.0012556568156472103,0,False,
JPMorgan Chase and Co,09/30/2012,0.44020864047612446,0.4417920639118173,-0.0015834234356928434,0,False,
JPMorgan Chase and Co,12/31/2012,0.45874470247870086,0.46370757232016685,-0.004962869841465989,0,False,
JPMorgan Chase and Co,03/31/2013,0.4272112781753225,0.4352365944571847,-0.008025316281862205,0,False,
JPMorgan Chase and Co,06/30/2013,0.41920540021591934,0.42155153777096643,-0.0023461375550470898,0,False,
JPMorgan Chase and Co,09/30/2013,0.42714547149661775,0.4310943653909029,-0.003948893894285155,0,False,
JPMorgan Chase and Co,12/31/2013,0.4432086470528841,0.4455965210884741,-0.0023878740355899875,0,False,
JPMorgan Chase and Co,03/31/2014,0.41675342786878156,0.42232885788345786,-0.005575430014676308,0,False,
JPMorgan Chase and Co,06/30/2014,0.4166511453377772,0.4126935984224322,0.0039575469153450005,0,False,
JPMorgan Chase and Co,09/30/2014,0.4117941512039728,0.41966875455785835,-0.007874603353885568,0,False,
JPMorgan Chase and Co,12/31/2014,0.42594023532302794,0.43209125143033306,-0.006151016107305118,0,False,
JPMorgan Chase and Co,03/31/2015,0.4114727890600719,0.41819888629794844,-0.006726097237876538,0,False,
JPMorgan Chase and Co,06/30/2015,0.40048140786659797,0.40689458802618517,-0.006413180159587195,0,False,
JPMorgan Chase and Co,09/30/2015,0.4032962148029158,0.4160130250856186,-0.012716810282702828,0,False,
JPMorgan Chase and Co,12/31/2015,0.4115355563940338,0.4243905377940557,-0.012854981400021948,0,False,
JPMorgan Chase and Co,03/31/2016,0.40503945390192736,0.41959714363415707,-0.014557689732229706,0,False,
JPMorgan Chase and Co,06/30/2016,0.4068934748303412,0.41108108780833513,-0.004187612977993915,0,False,
JPMorgan Chase and Co,09/30/2016,0.4106287987804494,0.4083290461350762,0.0022997526453731876,0,False,
JPMorgan Chase and Co,12/31/2016,0.4158135189904415,0.42801160572075503,-0.012198086730313529,0,False,
JPMorgan Chase and Co,03/31/2017,0.414025370687273,0.41369389329530265,0.0003314773919703695,0,False,
JPMorgan Chase and Co,06/30/2017,0.40327147315192213,0.40187023433520724,0.0014012388167148893,0,False,
JPMorgan Chase and Co,09/30/2017,0.4049674076873431,0.40781872097925853,-0.0028513132919154582,0,False,
JPMorgan Chase and Co,12/31/2017,0.40683113618209915,0.4286330269669058,-0.021801890784806655,0,False,
JPMorgan Chase and Co,03/31/2018,0.4130805633004837,0.4139522737334282,-0.0008717104329444836,0,False,
JPMorgan Chase and Co,06/30/2018,0.40300753413210477,0.4057261550798845,-0.0027186209477797485,0,False,
JPMorgan Chase and Co,09/30/2018,0.4108700917466943,0.4129119696417985,-0.0020418778951041827,0,False,
JPMorgan Chase and Co,12/31/2018,0.42862742339132043,0.4300907247250861,-0.0014633013337656542,0,False,
JPMorgan Chase and Co,03/31/2019,0.4186033447129409,0.4124492385875847,0.006154106125356218,0,False,
JPMorgan Chase and Co,06/30/2019,0.40521012202792067,0.4077307830792107,-0.0025206610512900074,0,False,
JPMorgan Chase and Co,09/30/2019,0.42392231091562366,0.41720086640700393,0.006721444508619723,0,False,
JPMorgan Chase and Co,12/31/2019,0.4421321658883358,0.4402475668899619,0.0018845989983738987,0,False,
JPMorgan Chase and Co,03/31/2020,0.46496397250975063,0.44770108775829226,0.017262884751458374,0,False,
JPMorgan Chase and Co,06/30/2020,0.44024438414259154,0.43442733015327867,0.00581705398931287,0,False,
JPMorgan Chase and Co,09/30/2020,0.4484233119709978,0.44063650126323334,0.0077868107077644355,0,False,
JPMorgan Chase and Co,12/31/2020,0.45899156012008174,0.46412747190388814,-0.005135911783806402,0,False,
JPMorgan Chase and Co,03/31/2021,0.46365672608832315,0.4476064386488255,0.016050287439497657,0,False,
JPMorgan Chase and Co,06/30/2021,0.4431319851273612,0.44233920240534413,0.0007927827220170491,0,False,
JPMorgan Chase and Co,09/30/2021,0.4573911154189584,0.4546361848510699,0.0027549305678885028,0,False,
JPMorgan Chase and Co,12/31/2021,0.4975434571379783,0.4898273155175638,0.007716141620414507,0,False,
JPMorgan Chase and Co,03/31/2022,0.4694144228629405,0.4688996498874762,0.0005147729754643171,0,False,
JPMorgan Chase and Co,06/30/2022,0.4701821772677437,0.4677394638290553,0.002442713438688404,0,False,
JPMorgan Chase and Co,09/30/2022,0.4807087324868901,0.46192562251947883,0.018783109967411282,0,False,
JPMorgan Chase and Co,12/31/2022,0.5123141474784924,0.48844345328094296,0.02387069419754939,0,False,
