quarter,BHCK1606,BHCK4093,BHCK3521,BHCK3247,BHCK3240,BHCK4397,BHCK8719,BHCK8715,BHCK8497,BHCK4643,BHCKB493,BHCK4662,BHCKA220,BHCK2160,BHCKB570,BHCK4135,BHCK4115,BHCK8736,BHCK1741,BHCK8741,BHCKB843,BHCKB845,BHCK3578,BHCK4217,BHCK3365,BHCK5391,BHCK3433,BHCK3822,BHDM1420,BHCKB983,BHCK4598,BHCK8723,BHCK0395,BHCK3401,BHCK3588,BHCK5459,BHCK3814,BHCK4180,BHCK2081,BHCK8727,BHCK3530,BHCKB844,BHCKB492,BHCK1764,BHCKB847,BHDM1766,BHCK6550,BHCK4519,BHCKB576,BHCK0384,BHCK2746,BHCK3404,BHCKB704,BHCKB848,BHCKB805,BHCK3506,BHCK8737,BHCB2389,BHCK2150,BHCKA288,BHCK3493,BHCK1763,BHCK1743,BHCK1746,BHCK5412,BHCK0213,BHCK8739,BHDM2123,BHCK2130,BHCK5382,BHCK4460,BHDM1975,BHCK6438,BHCK8733,BHCKB850,BHCK6558,BHCK8701,BHCKB557,BHCK4150,BHCK5398,BHCKB837,BHCK1739,BHCK4635,BHCK1608,BHCK8698,BHDM1288,BHCK3450,BHCK3519,BHCK3353,BHCK8765,BHCK8695,BHCK4617,BHCK8709,BHCKB497,BHCK4645,BHCK8738,BHCK3283,BHCK5381,BHCK3579,BHCK0383,BHCK4069,BHCK3501,BHCK3577,BHCK8711,BHCKB842,BHCK3517,BHCKB528,BHCK8713,BHDM5368,BHCK2148,BHCK4313,BHCK4074,BHCK1292,BHCK8757,BHCK4340,BHCK3495,BHCK1913,BHCK3123,BHCB2210,BHCK4518,BHCK3459,BHFN6636,BHCKB574,BHCKB985,BHCKB991,BHCK1287,BHCK4652,BHCK8742,BHCK1286,BHCK8706,BHCKB515,BHCK5410,BHCK2145,BHCKB508,BHDM2165,BHCK3494,BHCK3508,BHCK8726,BHCK2635,BHCK8703,BHCKB804,BHDM6631,BHCK4079,BHCK4398,BHCKB852,BHCK2168,BHCK0416,BHCK8498,BHCK4356,BHDM1797,BHCK8740,BHCK2123,BHCK8725,BHCK0081,BHCK8712,BHCK8743,BHCK0211,BHCK8735,BHCK5460,BHCK3230,BHCK3196,BHCK4185,BHCKB556,BHDM1460,BHDM1590,BHCKB856,BHCKB990,BHCK1771,BHFN6631,BHCK8700,BHCK8702,BHCK8734,BHCK8728,BHCKB507,BHCK4060,BHCKB538,BHCKA130,BHCK3210,BHCK8696,BHCK3505,BHCK4059,BHCKA591,BHCK3548,BHCK5369,BHCK3507,BHCKB849,BHCK8708,BHCK1754,BHCK8560,BHCK3430,BHCKB838,BHCK8699,BHCK3817,BHCK8783,BHCK3499,BHCK3589,BHCK3816,BHCK6557,BHCK3580,BHCKA251,BHCK8758,BHCKB841,BHCK3296,BHCKB861,BHCK3190,BHCK8720,BHCKB511,BHCK8746,BHCK5461,BHCK5399,BHCK3000,BHOD3189,BHDM5367,BHCK2309,BHCK3656,BHCK3409,BHCK8710,BHCK5380,BHCK8562,BHCK5411,BHCK4172,BHCK8716,BHCK8694,BHCK3547,BHCK3826,BHCK2750,BHCK4783,BHCK1773,BHCK1772,BHCK4300,BHDM2122,BHFNA245,BHCKB529,BHCK8745,BHCKB577,BHCK4655,BHCK8693,BHCK4107,BHCK2333,BHCK3164,BHCK8747,BHCK8499,BHCKB984,BHCK8782,BHCKB857,BHCKB839,BHCK8697,BHCKB846,BHCKB851,BHCK0397,BHCK8705,BHCKA126,BHCK0387,BHCK5409,BHCK2122,BHCK4230,BHCK1410,BHCK2948,BHCKB513,BHCK4301,BHCK3820,BHCK1590,BHCB3187,BHCKA222,BHCK3545,BHCK4644,BHCK4062,BHCK3408,BHCKB489,BHCK4618,BHCK4302,BHCK4483,BHCK4782,BHCK3581,BHCK4020,BHCK8707,BHDM2081,BHCK4646,BHCK8496,BHCK5400,BHCKB853,BHCKB572,BHCK8759,BHCK3529,BHCK1296,BHCKB522,BHCK4628,BHCKB994,BHCK2170,BHCK1738,BHCKB530,BHCK3368,BHCK5389,BHCKB992,BHCK6556,BHCK1744,BHCK3049,BHCKB539,BHCK3500,BHCK4073,BHCK8714,BHCK6555,BHCK1597,BHCKB573,BHCKB496,BHCK8704,BHCK8760,BHCK1742,BHCK8724,BHCKB512,BHCK4605,BHCK1583,BHCK8431,BHCK4065,BHCK3197,BHCK6560,BHCK6761,BHCK3217,BHCK1752,BHCK6566,BHDM6636,BHCKB859,BHCKB488,BHCK3128,BHCK1607,BHCKB860,BHCKB996,BHCKB840,BHCK3298,BHCK4592,BHCKB491,BHCKB858,BHCK2332,BHCKB575,BHCK4092,BHCK4070,BHCK1912,BHCK3300,BHCK6570,BHCKB514,BHCK3163,BHCK8561,BHCK1594,BHCK4627,BHCK1737,BHCK4507,BHCK3411,BHCKA127,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
12/31/2008,786000,72401000,0,86521000,19165000,1495000,98315000,99861000,2880000,3000,2700000,46000,-26158000,179305000,105167000,32589000,3202000,23924000,13412000,14755000,1242000,26000,0,7142000,172800000,0,47613000,1509000,43000,1865000,1514000,1094629000,115021000,484619000,12000,283000,25212000,11409000,603000,0,0,39000,1384000,105861000,13027000,47666000,827000,54409000,1563000,62426000,825000,443061000,1013945000,143000,614038000,2088000,719188000,187894000,3068000,35271000,0,45317000,4595000,85726000,8000,1000,57292000,2875000,9030000,33000,6050000,102052000,5657000,731331000,7383000,0,799422000,888000,344177,711000,53744000,14057000,20786000,8559000,2191041000,992000,15859923000,137197000,245160000,150274000,14824000,58000,2316949000,8174000,1480000,160628000,70664000,0,4911000,65570000,17489000,73000,70664000,115296000,1257000,222215000,715459000,2424241000,34293000,47205000,73000,54086000,82000,-8801000,-27684000,0,12379000,29616000,23076000,800000,5450068088,446955000,1029000,139104000,0,3590000,338000,6693000,3465000,15081000,820000,0,9502000,113447000,1507000,0,3480000,107147000,424696000,392096000,1755000,55485000,995000,1672000,8000,98652000,89746000,18156000,0,32201000,22473000,3587000,483541000,29253000,16859000,0,1000,35849000,7000,57000,-2061000,18842000,9744000,7798000,196000,9000,26000,61285000,37412000,34106000,14666000,153197000,0,-151000,6201000,79722000,-9582000,141630000,44519000,35000,32032000,129009000,167435000,8237000,1000,140000,13736000,64459000,288000,78362000,1595000,2566000,167000,144000,68000,1000,1875000,167000,-124000,438000,4004000,213000,482641000,1355000,435041000,26020000,-20535000,3746000,3088000,0,2392000,212000,153381000,29125000,839000,0,471866000,0,-2566000,867000,14032000,19156000,15030000,116742000,944818000,161251000,7000,174719000,181889000,-32094000,432949000,171375000,685843000,7742000,1365000,2000,661170000,106655000,232405000,5657000,0,13824000,157627000,216000,11000,1571000,2077222000,13142000,7143000,55310000,810919000,24466305000,105008000,0,723696000,33674000,297412000,1794448000,46000,-53055000,20969000,1156000,7515000,17698000,373642000,436000,27183000,0,3296000,169000,-20612000,650000,12149000,-3627000,9175000,371671000,32000,804000,3047000,208000,6000,830000,-934000,111000,7683000,16117000,33000,5987000,1938470000,3061000,-25195000,2023878000,0,2797000,37986000,84861000,2736000,11097000,4000,52569000,524964000,109499000,1000,0,-2076000,14536000,970000,4761000,168932000,338000,1749000,56000,1430000,231000,661256000,0,2758000,113598000,16002000,94236000,234333000,0,826000,0,338000,1819000,2797000,219000,171126000,-52732000,-891000,0,173511000,2379000,20524000,1605000,828000,1938470000,16296000,5696000,27132000,-171000,2000,0,3069000,831000,8215000,4070319000,100.0,0.005762401584879244,60.00230496063395,True,False,True,True,25836646384677.3,60.00230496063395
12/31/2009,453000,50620000,0,77440000,98142000,1348000,59391000,80021000,2899000,0,-878000,49000,4448000,151663000,4572000,25126000,1480000,16698000,5934000,7412000,408000,19000,-74005000,4364000,226930000,0,53922000,654000,31000,2360000,3325000,862042000,105772000,355175000,115000,9000,23785000,3459000,1397000,275000,0,33000,4888000,84501000,3077000,35302000,311000,51133000,1671000,119439000,1308000,478230000,1111782000,72000,552149000,2005000,488250000,199841000,2031000,60818000,0,32371000,4636000,118427000,21000,0,40612000,3460000,21680000,2000,36000,82974000,6530000,503839000,2941000,0,857938000,1157000,290786,618000,55611000,5765000,34073000,8798000,1989906000,949000,20807804000,144746000,210268000,390042000,12428000,342000,2973061000,-1336000,3826000,71907000,312000,0,20471000,57144000,10747000,570000,3653000,91375000,434000,241941000,610124000,2805879000,26615000,47408000,66000,50381000,348000,4075000,-1606000,0,11611000,36033000,36545000,274000,28483267290,487727000,2240000,252528000,0,26562000,335000,5095000,26857000,15036000,680000,0,8227000,141630000,1308000,0,3168000,213027000,376739000,318650000,1761000,71325000,32110000,1940000,1142000,72659000,131325000,16677000,0,31414000,15493000,5130000,329126000,25472000,11131000,6000,0,18131000,0,286000,-910000,10782000,9031000,7547000,226000,9000,28000,52998000,44904000,40219000,14771000,71455000,0,0,9473000,65392000,-4543000,152700000,63444000,2000,22668000,132371000,129076000,9510000,71000,73000,28082000,51527000,1047000,47853000,4258000,2199000,106000,166000,78000,1000,1524000,248000,61790000,183000,2762000,110000,503919000,665000,385512000,20916000,6671000,3797000,2831000,0,2273000,201000,132405000,10223000,583000,0,399186000,0,-516000,1715000,6038000,13393000,5999000,63641000,1032049000,141479000,3000,239353000,238966000,-1066000,362631000,188410000,574091000,10870000,951000,3000,550812000,76635000,269158000,6530000,5000,15610000,138970000,192000,10000,4489000,2881712000,3069000,3062000,61642000,1012560000,31560640000,108167000,0,619634000,38760000,268877000,1707419000,49000,-7799000,17714000,1159000,6530000,23256000,347364000,1553000,28041000,0,2919000,127000,-6733000,650000,5042000,-7582000,3090000,298253000,13000,1699000,2920000,560000,1171000,882000,-334000,0,8499000,29616000,61000,6079000,1862392000,2899000,-18937000,1912629000,0,3566000,67907000,117826000,1352000,8786000,5000,26254000,393205000,49273000,1000,0,11313000,27116000,924000,4715000,204301000,335000,2043000,104000,598000,173000,625817000,15000,1469000,141630000,14655000,89450000,231947000,266000,497000,0,327000,687000,3566000,112000,128889000,-7047000,-386000,264000,106131000,2247000,19901000,1056000,1098000,1862392000,13917000,7879000,25392000,-170000,1000,3000,2478000,927000,7211000,3637125000,17.226150262734638,100.0,50.335690157640784,False,True,True,True,4503615036029.019,50.335690157640784
03/31/2009,715000,12688000,0,86115000,16525000,332000,73126000,97017000,3028000,0,135000,12000,4226000,178113000,92310000,6456000,432000,26582000,11048000,11189000,398000,20000,0,1150000,189053000,2000,33769000,1653000,49000,613000,1064000,1000124000,97419000,392903000,5000,269000,27184000,1119000,846000,0,0,35000,764000,98108000,11104000,49921000,710000,13294000,1612000,58556000,242000,409112000,1042488000,128000,601014000,1561000,656924000,188194000,2556000,33387000,11000,46926000,3814000,81941000,2000,1000,49126000,3035000,7971000,33000,63000,93355000,5481000,680217000,7328000,0,787009000,947000,334693,665000,52877000,13154000,7659000,8055000,1876700000,541000,16124334000,145340000,203956000,378556000,11773000,14000,2331010000,2773000,1420000,114285000,74246000,0,0,51271000,2957000,159000,3582000,109980000,441000,225996000,675474000,2391582000,32209000,45217000,18000,13197000,99000,4803000,1593000,0,13854000,31703000,38912000,108000,5512848642,428317000,2425000,192299000,0,5033000,82000,4853000,4891000,11494000,163000,0,8986000,141630000,1413000,0,3478000,113585000,418052000,360271000,1740000,78008000,11792000,435000,7000,101124000,87021000,17520000,0,32273000,24832000,3508000,416156000,31063000,15879000,0,1000,31061000,14000,57000,9000,3008000,9557000,7751000,222000,9000,27000,52988000,36602000,31541000,11409000,106245000,0,0,2295000,66839000,-5996000,143934000,40562000,16000,5999000,128668000,130826000,10110000,0,125000,14005000,60760000,300000,74856000,1477000,2287000,91000,120000,63000,1000,1615000,152000,0,145000,890000,349000,455890000,818000,402203000,22516000,-1405000,3609000,3227000,0,1993000,189000,150809000,29248000,650000,0,433557000,0,2435000,306000,1729000,19298000,5189000,81138000,925264000,144685000,1000,162923000,170718000,1610000,420495000,172734000,643771000,12055000,1416000,1000,563516000,20609000,225229000,5481000,0,14032000,141651000,210000,11000,1421000,2832955000,11278000,6983000,62084000,820356000,25434606000,108553000,0,685584000,9915000,291191000,1676651000,12000,2395000,20513000,1193000,6730000,19450000,331716000,333000,26744000,0,699000,32000,785000,170000,3587000,-3925000,888000,345670000,37000,88000,3145000,497000,5000,798000,1077000,0,8010000,29616000,9000,6004000,1822578000,2558000,-27013000,1915981000,0,2740000,38714000,81979000,2087000,9845000,0,7412000,469967000,93765000,1000,0,403000,13843000,699000,4506000,157644000,82000,377000,54000,246000,47000,614076000,0,355000,141630000,14472000,94470000,219769000,0,140000,0,391000,906000,2740000,350000,153111000,2492000,-536000,0,147726000,2211000,4749000,342000,991000,1822578000,15048000,1780000,26410000,-90000,1000,0,3038000,214000,7318000,3619995000,72.59948816815984,0.02152189965240143,43.568301660756866,True,False,True,True,18774802822573.504,43.568301660756866
03/31/2025,305000,13486000,0,209013000,108683000,534000,329883000,148265000,8210000,0,21000,0,6189000,166948000,0,7464000,3001000,16554000,189000,405000,710000,0,-1500000,573000,362140000,0,126356000,608000,47000,22000,269000,1810137000,139141000,491437000,0,100000,5255000,6256000,5681000,0,31000,0,8000,110029000,0,72009000,10437000,13459000,2547000,178365000,13489000,544163000,1171276000,27000,49579000,4000,150687000,142064000,21000,221398000,0,63823000,690000,148055000,2000,100709000,66145000,-250000,3661000,6000,1072000,162256000,751000,159020000,0,0,143943000,1720000,235678,20000,37663000,195000,2924000,717000,4915212000,4045000,19564368000,209213000,372193000,569283000,68636000,8000,2710377000,-1303000,82000,127966000,18283000,0,0,142318000,4370000,165000,1995000,250084000,751000,560608000,712284000,2534319000,1471000,30725000,2000,13428000,89000,1365000,4064000,0,1115000,18726000,122472000,130000,1867733680,550035000,237000,351056000,1000,33952000,5000,605000,34128000,0,413000,0,13931000,208598000,237000,0,339000,54908000,309898000,533302000,89000,122472000,8138000,1145000,0,109363000,222259000,1758000,0,2751000,18645000,-250000,49579000,24463000,30838000,1000,106134000,61090000,36000,31000,120000,3882000,9457000,8168000,66000,0,74000,205317000,82215000,108602000,0,137047000,11944000,0,2484000,169532000,-77880000,212408000,65658000,0,4693000,24332000,146035000,5152000,0,27000,33692000,220514000,82000,197068000,0,2245000,0,0,2000,0,3185000,4000,-502000,0,1905000,0,257695000,906000,312425000,80760000,2131000,366000,178000,0,850000,0,114127000,22689000,2593000,5726000,1183154000,0,-211000,2000,3745000,32469000,9695000,46731000,8254930000,146089000,1756000,220433000,221718000,4108000,469379000,171241000,693558000,391000,212000,0,563048000,33666000,225332000,751000,0,1671000,143288000,0,0,0,2882272000,0,0,149473000,121046000,28469794000,120264000,0,717436000,2561000,179696000,2358256000,0,5448000,19424000,448000,332530000,6783000,517540000,172000,30773000,18350000,902000,13000,1340000,320000,718000,1000,6290000,477722000,220000,30000,8913000,116000,0,28000,955000,0,11832000,18574000,10000,883000,2571514000,0,-45722000,2518960000,1000,8877000,19853000,148259000,1081000,5234000,51000,20238000,1187801000,21324000,0,3000,-8000,33440000,1329000,679000,373515000,5000,465000,1000,56000,3000,1273540000,0,3836000,208598000,7190000,78853000,562628000,0,713000,2187000,137000,910000,8877000,0,33744000,5479000,0,0,64404000,2260000,5388000,803000,137000,2571514000,10157000,2449000,19437000,2000,0,0,0,77000,3696000,15495884000,66.63910475938656,0.0002222420886899205,39.98355175246741,True,False,True,True,17238652860805.105,39.98355175246741
06/30/2009,627000,25362000,0,88874000,16663000,668000,90794000,95987000,2803000,0,-777000,23000,5719000,159964000,104974000,12664000,812000,21332000,6090000,8554000,535000,17000,0,2186000,194027000,1000,47003000,1376000,36000,1177000,2610000,1011236000,105905000,357682000,22000,426000,26363000,2057000,1024000,0,0,34000,2949000,95996000,8523000,45326000,557000,26903000,1732000,75119000,459000,428248000,1019668000,71000,581686000,1548000,517932000,186036000,1666000,42210000,0,41099000,4138000,92076000,5000,0,45070000,2969000,20884000,29000,37000,89920000,6770000,542006000,7121000,0,902477000,1082000,303798,611000,56307000,6131000,16433000,8705000,2063638000,368000,17976883000,150281000,254485000,402762000,11821000,33000,2370959000,2162000,2302000,93673000,74301000,0,0,54665000,5886000,165000,3637000,104184000,653000,225312000,658902000,2504968000,29763000,43968000,35000,26724000,376000,4945000,5872000,0,15629000,35941000,40020000,174000,5507716974,453078000,2812000,189631000,0,7611000,176000,3398000,7729000,8539000,317000,0,8793000,141630000,1299000,0,3204000,183055000,394524000,359744000,1868000,77180000,28760000,753000,198000,83466000,97643000,19890000,0,31976000,20447000,3800000,457679000,27715000,11409000,0,0,24447000,7000,57000,-151000,5362000,8976000,7672000,253000,9000,27000,54424000,40389000,39742000,8867000,89347000,0,0,4821000,69961000,-5950000,152302000,45163000,107000,11609000,131418000,112985000,13538000,106000,72000,19223000,59622000,580000,44370000,4276000,1742000,0,141000,152000,1000,1569000,129000,0,165000,1728000,143000,481839000,783000,402425000,27451000,3965000,4006000,2835000,0,1866000,186000,147762000,28652000,592000,0,440682000,0,-1616000,870000,3230000,11031000,5637000,64727000,973630000,140276000,2000,191287000,194168000,6081000,401522000,182539000,622961000,12311000,1667000,1000,573387000,40254000,248211000,6770000,0,17678000,136851000,203000,10000,4760000,3295513000,8600000,6674000,77115000,973565000,28140073000,114718000,0,672440000,22148000,289245000,1697746000,23000,7823000,21236000,1181000,21195000,24254000,332561000,1191000,27656000,0,1471000,56000,1742000,326000,3634000,-3787000,1683000,346964000,156000,466000,3123000,384000,203000,746000,916000,0,6733000,29616000,23000,6118000,1851914000,2526000,-21643000,1905115000,0,3061000,56348000,91716000,2343000,9915000,6000,13530000,453588000,72107000,1000,0,10992000,19254000,828000,4563000,173273000,176000,796000,37000,411000,90000,624666000,0,742000,141630000,15741000,94554000,234089000,364000,225000,0,767000,746000,3061000,145000,148106000,8002000,-354000,366000,125562000,2216000,9850000,645000,1208000,1851914000,15303000,3566000,26111000,-125000,1000,3000,2440000,461000,7808000,3771526000,61.86220673532859,0.014001668200352388,37.12292470847729,True,False,True,True,16007518684733.965,37.12292470847729
