quarter,BHCK1606,BHCK4093,BHCK3247,BHCK3240,BHCK4397,BHCK8719,BHCK8715,BHCK8497,BHCKB493,BHCK4662,BHCKA220,BHCK8744,BHCK2160,BHCKB570,BHCK4135,BHCK4115,BHCK8736,BHCK1741,BHCK8741,BHCKB845,BHCK4665,BHCK3578,BHCK4217,BHCK3365,BHCK3433,BHCK3822,BHDM1420,BHCKB983,BHCK4598,BHCK8723,BHCK0395,BHCK3401,BHCK3588,BHCK5459,BHCK3814,BHCK4180,BHCK2081,BHCK8727,BHCK6559,BHCKB844,BHCKB492,BHCK1764,BHCKB847,BHDM1766,BHCK6550,BHCK4519,BHCKB576,BHCK0384,BHCK2746,BHCK3404,BHCKB704,BHCKB848,BHCK8565,BHCKB805,BHCK3506,BHCK8737,BHCK3584,BHCB2389,BHCK2150,BHCKA288,BHCK3493,BHCK1763,BHCK1746,BHCK5412,BHCK0213,BHCK8739,BHCK8564,BHCK2130,BHCK5382,BHCK4460,BHDM1975,BHCK6438,BHCK8733,BHCK6558,BHCK8701,BHCKB557,BHCK4150,BHCK5398,BHCKB837,BHCK1739,BHCK4635,BHCK1608,BHCK8698,BHDM1288,BHCK3450,BHCK3519,BHCK3353,BHCK8765,BHCKB855,BHCK8695,BHCK4617,BHCK8709,BHCKB497,BHCK4645,BHCK8738,BHCK3283,BHCK3579,BHCK0383,BHCK4069,BHCK3501,BHCK3577,BHCK8711,BHCK3517,BHCKB528,BHCK8713,BHDM5368,BHCK2148,BHCK4313,BHCK4074,BHCK1292,BHCK8757,BHCK4340,BHCK3495,BHCK1913,BHCK3123,BHCB2210,BHCK4518,BHCK3459,BHFN6636,BHCKB574,BHCKB985,BHCKB991,BHCK1287,BHCK4652,BHCK8742,BHCK1286,BHCK8706,BHCKB515,BHCK5410,BHCK2145,BHCKB508,BHDM2165,BHCK3494,BHCK3508,BHCK8726,BHCK2635,BHCK8703,BHCKB804,BHDM6631,BHCK4079,BHCK4398,BHCKB852,BHCK2168,BHCK0416,BHCK8498,BHCK4356,BHDM1797,BHCK8740,BHCK8725,BHCK0081,BHCK8712,BHCK8743,BHCK0211,BHCK8735,BHCK5460,BHCK3230,BHCK3196,BHCK4185,BHCKB556,BHDM1460,BHDM1590,BHCKB856,BHCKB990,BHCK1771,BHFN6631,BHCK8700,BHCK8702,BHCK8734,BHCK8728,BHCKB507,BHCK4060,BHCKB538,BHCKA130,BHCK3210,BHCK8696,BHCK3505,BHCK4059,BHCKA591,BHCK3548,BHCK5369,BHCK3507,BHCKB849,BHCK8708,BHCK1754,BHCK8560,BHOD2389,BHCK8699,BHCK3817,BHCK8783,BHCK3499,BHCK3589,BHCK3816,BHCK6557,BHCKA251,BHCK8758,BHCKB841,BHCK3296,BHCKB861,BHCK5379,BHCK3190,BHCK8720,BHCKB511,BHCK8746,BHCK5461,BHCK5399,BHCK3000,BHOD3189,BHDM5367,BHCK2309,BHCK3656,BHCK3409,BHCK8710,BHCK5380,BHCK8562,BHCK5411,BHCK4172,BHCK8716,BHCK8694,BHCK3547,BHCK3826,BHCK2750,BHCK4783,BHCK1773,BHCK1772,BHCK4300,BHDM2122,BHFNA245,BHCKB529,BHCK8745,BHCK4655,BHCK8693,BHCKB854,BHCK4107,BHCK2333,BHCK3164,BHCK8747,BHCK8499,BHCKB984,BHCK8782,BHCKB857,BHCK8697,BHCKB846,BHCK0397,BHCK8705,BHCKA126,BHCK0387,BHCK5409,BHCK2122,BHCK3585,BHCK4230,BHCK1410,BHCK2948,BHCKB513,BHCK4301,BHCK3820,BHCK1590,BHCB3187,BHCKA222,BHCK3545,BHCK4644,BHCK4062,BHOD3187,BHCKB489,BHCK4618,BHCK4302,BHCK4483,BHCK4782,BHCK3581,BHCK4020,BHCK8707,BHDM2081,BHCK4646,BHCK8563,BHCK8496,BHCK5400,BHCKB853,BHCKB572,BHCK8759,BHCK1296,BHCKB522,BHCK4628,BHCKB994,BHCK2170,BHCK1738,BHCKB530,BHCK3368,BHCK6556,BHCK1744,BHCK3049,BHCKB539,BHCK3500,BHCK4073,BHCK8714,BHCK6555,BHCK1597,BHCKB573,BHCKB496,BHCK8704,BHCK8760,BHCK8724,BHCKB512,BHCK4605,BHCK1583,BHCK8431,BHCK4065,BHCK3197,BHCK6560,BHCK6761,BHCK3217,BHCK1752,BHCK6566,BHDM6636,BHCKB859,BHCKB488,BHCK1607,BHCKB860,BHCKB840,BHCK3298,BHCK4592,BHCKB491,BHCKB858,BHCK2332,BHCK8748,BHCKB575,BHCK4092,BHCK4070,BHCK1912,BHCK3300,BHCK6570,BHCKB514,BHCK3163,BHCK8561,BHCK1594,BHCK4627,BHCK1737,BHCK4507,BHCK3411,BHCKA127,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
06/30/2022,1749000,26807000,184475000,60160000,372000,7153000,74065000,28699000,-2000,2000,664000,47000,89295000,0,17759000,416000,12884000,5592000,1394000,0,5000,0,2657000,60963000,7032000,2418000,1129000,148000,558000,341590000,111712000,145302000,0,1139000,39984000,30000,2000,7880000,41000,0,279000,15564000,0,171972000,6065000,19812000,294000,37611000,24992000,18684000,1253618420,765000,1249000,696524000,3000,30138000,1000,452629000,145000,22938000,4000,169239000,166000,81000,14966000,8816000,-1163000,20569000,0,1907000,116230000,11271000,29124000,841000,120062000,1098000,236822,102000,8664000,5538000,1301000,500000,675942000,14779000,7438933000,178631000,22593000,18584000,0,11505000,100000,801766000,5285000,86000,12965000,19921000,0,48992000,1376000,11000,0,78302000,905842000,943659000,788273000,785000,372000,103000,19598000,141000,2492000,6790000,47000,200000,11786000,499534000,131000,3792964481,19581000,191000,176365000,0,46515000,0,1231000,48772000,0,180000,0,12279000,187606000,13924000,1000,38000,54408000,134811000,88490000,212000,515664000,14803000,30000,1289000,50442000,75171000,7031000,0,20182000,5757000,316221000,29716000,10134000,21000,16198000,10589000,148000,9136000,145000,1645000,4114000,25849000,2986000,0,543000,272044000,219000,2166000,0,11844000,2251000,0,926000,41222000,-85552000,177532000,27119000,1000,534000,603603000,38430000,7761000,32000,763000,12009000,301866000,-668000,0,2300000,0,0,68000,0,36765000,26000,0,704000,0,19879000,15000,0,134000000,33645000,-8906000,1867000,200000,7000,2261000,0,253676000,0,70000,1067000,14249000,0,2077000,55000,12000,14321000,0,15961000,223583000,50307000,6022000,125832000,132000000,6754000,910771000,603000,931873000,585000,5000,464717000,0,21916000,111625000,10386000,1115000,6663000,49209000,0,0,483795000,0,14185000,131898000,9913223000,341063000,0,951420000,0,2000,422862000,1701349000,0,8074000,62901000,3078000,428433000,0,140616000,160000,28731000,0,2851000,2000,1320000,2547000,716000,-187000,72000,87655000,0,0,572000,32498000,1098000,1260000,30000,491000,19744000,12490000,21000,603000,1881142000,1621000,-10608000,1908761000,9785000,166000,0,4069000,29000,2318000,15019000,3438000,3000,0,75000,15615000,164000,112758000,0,652000,24000,983000,304000,715368000,44000,184000,187606000,13650000,133496000,890135000,0,394000,343000,15000,0,4884000,8289000,-180000,0,22375000,3000,330000,6359000,537000,1000,1881142000,6649000,554000,27071000,5000,10000,0,1737000,482000,2833000,874385000,100.0,0.0013654700115275857,60.00054618800461,True,False,True,True,1.7793961637258918e+16,60.00054618800461
09/30/2022,1519000,41139000,186551000,60352000,794000,15648000,74631000,25917000,19000,2000,1564000,41000,87662000,0,25981000,1116000,10015000,5552000,1717000,0,6000,0,3969000,58338000,7568000,2305000,1033000,222000,836000,360926000,126504000,141857000,0,496000,37600000,152000,22000,7684000,49000,0,408000,16662000,0,177200000,6505000,32116000,359000,36611000,24904000,17540000,1255641470,699000,3467000,687030000,4000,45800000,2000,443175000,129000,28674000,17000,173841000,162000,118000,14358000,8775000,-2232000,20525000,0,3045000,117747000,12106000,42876000,254000,151111000,654000,232451,108000,7929000,5494000,2036000,537000,896888000,11627000,7476558000,180779000,25648000,28831000,0,14960000,169000,948997000,7513000,149000,25638000,19921000,0,48470000,2120000,9000,0,76085000,884680000,945234000,942871000,742000,833000,176000,31796000,239000,4243000,10318000,38000,175000,12571000,479164000,241000,3795439467,18401000,167000,158433000,0,44730000,0,1886000,47102000,0,267000,1000,12297000,187606000,14051000,3000,13000,50297000,144140000,94432000,204000,494562000,22069000,68000,1173000,46586000,64005000,5825000,0,19163000,5461000,330864000,27634000,10343000,19000,16200000,11784000,220000,9136000,151000,2946000,5060000,26684000,3420000,0,538000,255571000,165000,1637000,0,22597000,1921000,0,1551000,43558000,-85427000,176189000,26429000,1000,916000,594772000,48766000,7910000,40000,698000,12416000,300530000,-866000,0,175000,0,0,6000,0,34747000,27000,0,998000,0,33561000,13000,0,151493000,29855000,-12642000,2334000,183000,9000,2220000,0,255007000,0,70000,3359000,12691000,8000,3217000,79000,50000,14412000,1000,21954000,285995000,48249000,6027000,115835000,124912000,10255000,913631000,727000,932663000,1345000,5000,490636000,0,36509000,119098000,11027000,1009000,5273000,47595000,0,0,417875000,0,11641000,164473000,10261657000,331257000,0,953144000,0,1218000,423529000,1699336000,0,12469000,67309000,3510000,418902000,0,137656000,245000,26751000,0,4368000,3000,2214000,3691000,827000,-12000,332000,92679000,19000,1000,858000,31494000,1011000,1148000,0,724000,15939000,12490000,27000,625000,1877745000,1563000,-14344000,1886468000,16319000,163000,0,3867000,9000,4713000,12526000,15773000,17000,0,93000,15207000,224000,108378000,0,988000,23000,1461000,438000,731379000,41000,581000,187606000,14399000,138432000,885155000,0,677000,462000,13000,0,11795000,12789000,-263000,0,32395000,16000,411000,11138000,784000,1000,1877745000,6796000,844000,27126000,0,13000,0,1738000,722000,2070000,1157804000,93.73036366364589,0.0012818552321228547,56.238730940280384,True,False,True,True,1.6678568811676044e+16,56.238730940280384
12/31/2022,773000,57278000,187649000,60492000,1237000,17064000,76174000,26608000,25000,2000,2116000,9000,83324000,0,34403000,2245000,5991000,5234000,1104000,0,8000,0,5354000,65623000,8771000,2668000,1031000,314000,1115000,343111000,109932000,134813000,0,567000,35504000,407000,23000,7652000,17000,0,534000,17605000,0,180287000,6375000,45757000,455000,39547000,24648000,19127000,1259888940,739000,6984000,678883000,4000,42503000,2000,421027000,278000,24464000,0,177409000,162000,150000,14285000,6834000,906000,21855000,0,4184000,119445000,11426000,39246000,103000,124546000,624000,231625,131000,8193000,5187000,2866000,584000,1023458000,10145000,7008584000,180364000,29428000,12352000,0,12103000,198000,1129681000,8586000,229000,24675000,19275000,0,49933000,3011000,9000,0,77917000,883437000,955871000,1110732000,707000,170000,265000,45321000,61000,3794000,13182000,21000,262000,12985000,447046000,391000,3833804452,20762000,250000,154438000,0,45285000,0,652000,47536000,0,345000,1000,12187000,187606000,14327000,0,22000,53670000,161612000,83831000,196000,457934000,28175000,70000,1083000,42259000,74062000,5874000,0,18344000,3420000,334073000,34596000,9437000,11000,16202000,8186000,245000,9136000,151000,5010000,5874000,26324000,3735000,0,558000,255521000,187000,1502000,0,21535000,1681000,0,2330000,46293000,-83282000,179889000,23460000,1000,1424000,586791000,39935000,5638000,37000,738000,10390000,297144000,186000,0,350000,0,0,146000,0,32103000,31000,0,1229000,0,52863000,11000,0,166791000,27362000,-11679000,1983000,145000,12000,1986000,0,254254000,0,71000,3514000,12186000,0,1581000,101000,137000,12832000,0,18465000,468583000,50441000,6033000,113594000,121731000,12882000,920336000,694000,942886000,946000,5000,613942000,0,54394000,129436000,10480000,1061000,5361000,49517000,0,0,361885000,0,15134000,129129000,10144426000,321231000,0,961509000,0,2216000,421936000,1699141000,1000,14968000,62009000,3854000,428877000,0,136757000,314000,26854000,0,5944000,3000,2086000,4724000,1813000,299000,876000,83324000,19000,1000,1140000,31001000,962000,1059000,13000,888000,14081000,12490000,32000,642000,1881016000,1578000,-13381000,1883375000,22203000,163000,300000,3635000,66000,9073000,12327000,17991000,0,0,14000,12699000,336000,96001000,0,1258000,20000,1956000,599000,717845000,44000,1762000,187606000,14214000,131670000,905213000,0,1061000,338000,11000,0,22446000,15404000,-968000,0,37355000,25000,484000,17452000,1025000,0,1881016000,7388000,1196000,27186000,1000,14000,0,1738000,960000,2337000,1462884000,92.44812472396373,0.0012636391421546541,55.4693802900351,True,False,True,True,1.6450453489306938e+16,55.4693802900351
03/31/2022,578000,13895000,182623000,60035000,158000,7616000,75194000,30916000,-10000,0,218000,35000,80658000,0,9297000,96000,13811000,5694000,2245000,0,1000,0,1379000,65680000,5202000,2281000,1252000,76000,278000,304092000,161154000,150852000,0,264000,42942000,-3000,2000,8326000,3000,0,154000,14786000,0,166858000,5646000,9417000,294000,39012000,23611000,21456000,1265517140,828000,673000,703704000,3000,27028000,0,464656000,151000,14992000,0,163683000,118000,42000,15551000,11043000,-366000,20558000,0,959000,114087000,10367000,27855000,74000,105867000,1177000,242156,100000,9251000,5613000,647000,576000,444522000,13923000,8103940000,183868000,20430000,19672000,0,7367000,60000,775402000,2321000,36000,8114000,19921000,0,49354000,679000,14000,0,82602000,923879000,911089000,776536000,860000,162000,48000,9312000,105000,1387000,3671000,46000,221000,11504000,512427000,53000,3789894807,20974000,212000,204111000,0,46433000,0,831000,47946000,0,91000,0,12254000,187606000,13861000,0,6000,56545000,133226000,67056000,223000,529988000,8107000,12000,2249000,42130000,69209000,11163000,0,21231000,5834000,299594000,27454000,8513000,24000,16196000,12474000,44000,9136000,2000,710000,3731000,22912000,3136000,0,562000,264641000,223000,1234000,0,8097000,2017000,0,427000,38639000,-85705000,179243000,23936000,1000,245000,606273000,40588000,15840000,93000,828000,10091000,280891000,135000,0,2330000,0,0,24000,0,36725000,26000,0,350000,0,19989000,17000,0,135331000,35804000,-5065000,949000,198000,8000,2446000,0,251877000,0,69000,1076000,14104000,0,959000,29000,1000,12916000,0,14374000,201665000,48954000,6018000,168436000,173127000,3802000,886926000,586000,899585000,675000,1000,494067000,0,10271000,109826000,9753000,1130000,11165000,46662000,0,0,538833000,0,13683000,130937000,10625988000,360920000,0,926929000,0,-653000,419002000,1758020000,0,4510000,62633000,3225000,457239000,0,151101000,89000,31178000,0,1393000,7000,708000,1324000,580000,-294000,-3000,70253000,0,0,289000,32984000,1182000,2265000,0,191000,17993000,12490000,15000,571000,1939709000,1650000,-6767000,1920907000,10155000,118000,1115000,4260000,0,959000,14468000,3731000,0,4000,32000,12762000,95000,103239000,0,342000,30000,494000,153000,760518000,48000,62000,187606000,13967000,132766000,930424000,0,195000,141000,17000,0,4332000,4617000,373000,0,25505000,17000,306000,3205000,285000,5000,1939709000,6514000,267000,27111000,5000,24000,0,1738000,241000,2180000,618214000,89.85810081025114,0.0012237241193011836,53.91534997579841,True,False,True,True,1.598967810514438e+16,53.91534997579841
12/31/2021,887000,53939000,180322000,60332000,613000,17697000,72953000,33475000,76000,14000,284000,26000,84072000,0,35758000,314000,5939000,5649000,2329000,0,11000,-6676000,5488000,64044000,5154000,2381000,1357000,303000,1205000,290568000,197858000,145178000,3000,381000,45504000,8000,2000,18540000,8000,0,195000,13524000,0,156717000,5820000,36537000,269000,40488000,23624000,24390000,1239026120,852000,1568000,716311000,4000,17294000,1000,458545000,131000,14074000,0,154435000,71000,160000,16825000,15700000,1971000,20510000,0,2426000,113060000,8446000,20150000,51000,36572000,1298000,240413,129000,9256000,5533000,3031000,710000,386401000,11900000,5685728000,188625000,24885000,5837000,0,2541000,241000,746290000,12301000,419000,5907000,19921000,0,51043000,2567000,14000,5756000,81842000,914292000,895127000,736615000,939000,167000,198000,36108000,228000,-80000,21548000,54000,234000,12490000,508805000,170000,3885801497,19783000,224000,248492000,0,39661000,34000,675000,39668000,0,389000,2000,12376000,184680000,14260000,0,10000,53113000,139190000,65093000,236000,527750000,40769000,51000,2426000,37307000,79113000,11397000,0,22818000,2414000,309155000,24616000,6553000,1425000,16544000,16131000,49000,9136000,553000,2855000,3657000,21801000,3348000,0,534000,272386000,235000,1189000,0,5905000,1739000,-207000,1676000,38453000,-80403000,187606000,20682000,2000,906000,605109000,29159000,20375000,93000,853000,6676000,272118000,2000000,0,0,0,0,56000,2000,37866000,22000,3000,867000,0,21349000,19000,0,138787000,24065000,-1896000,757000,243000,17000,2504000,0,252563000,0,69000,0,13650000,0,1059000,125000,14000,9383000,8000,8471000,193167000,50988000,14464000,177244000,175471000,23238000,876363000,582000,882637000,408000,7000,440968000,0,40023000,109866000,8189000,1217000,11696000,46736000,0,0,542443000,0,11898000,77597000,7957058000,357788000,1000,915502000,2000,-4308000,419374000,1757958000,0,28817000,61933000,3396000,465887000,0,139162000,234000,33357000,0,4614000,12000,5579000,4833000,2095000,194000,-19000,68982000,0,37000,1157000,32704000,1175000,2463000,4000,42000,15942000,18516000,50000,552000,1948068000,1748000,-1702000,1941168000,10390000,71000,2954000,4744000,0,3915000,14127000,3712000,0,0,-138000,8094000,21000,74903000,30000,1457000,33000,2876000,692000,767831000,50000,252000,184887000,22322000,130391000,934948000,0,882000,157000,19000,0,4608000,29244000,5203000,0,28921000,3000,306000,12437000,1536000,1000,1948068000,6841000,1189000,27213000,19000,12000,0,1737000,854000,1732000,554240000,89.15781707941004,0.0012178141917985066,53.49517737332274,True,False,True,True,1.5865094890528972e+16,53.49517737332274
