quarter,BHCK1606,BHCK4093,BHCK3521,BHCK5377,BHCK3247,BHCK3240,BHCK4397,BHCK8719,BHCK8715,BHCK8497,BHCK4643,BHCKB493,BHCK4662,BHCKA220,BHCK8744,BHCK2160,BHCKB570,BHCK4135,BHCK4115,BHCK8736,BHCK1741,BHCK8741,BHCKB845,BHCK4665,BHCK3578,BHCK4217,BHCK3365,BHCK5391,BHCK3433,BHCK3822,BHDM1420,BHCKB983,BHCK4598,BHCK8723,BHCK0395,BHCK3401,BHCK3588,BHCK5459,BHCK3814,BHCK4180,BHCK2081,BHCK8727,BHCK3530,BHCK6559,BHCKB844,BHCKB492,BHCK1764,BHCKB847,BHDM1766,BHCK6550,BHCK4519,BHCKB576,BHCK0384,BHCK2746,BHCK3404,BHCKB704,BHCKB848,BHCKB805,BHCK3506,BHCK8737,BHCK3584,BHCB2389,BHCK2150,BHCKA288,BHCK3493,BHCK1763,BHCK1743,BHCK1746,BHCK5412,BHCK0213,BHCK8739,BHCK2130,BHCK5382,BHCK4460,BHDM1975,BHCK6438,BHCK8733,BHCKB850,BHCK6558,BHCK8701,BHCKB557,BHCK4150,BHCK5398,BHCKB837,BHCK1739,BHCK4635,BHCK1608,BHCK8698,BHDM1288,BHCK3450,BHCK3519,BHCK3353,BHCK8765,BHCK8695,BHCK4617,BHCK8709,BHCKB497,BHCK4645,BHCK8738,BHCK3283,BHCK5381,BHCK3579,BHCK0383,BHCK4069,BHCK3501,BHCK3577,BHCK8711,BHCK3517,BHCKB528,BHCK8713,BHDM5368,BHCK2148,BHCK4313,BHCK4074,BHCK1292,BHCK8757,BHCK4340,BHCK3495,BHCK1913,BHCK3123,BHCB2210,BHCK4518,BHCK3459,BHFN6636,BHCKB574,BHCKB985,BHCKB991,BHCK1287,BHCK4652,BHCK8742,BHCK1286,BHCK8706,BHCKB515,BHCK5410,BHCK2145,BHCK5390,BHCKB508,BHDM2165,BHCK3494,BHCK3508,BHCK8726,BHCK2635,BHCK8703,BHCKB804,BHDM6631,BHCK4079,BHCK4398,BHCKB852,BHCK2168,BHCK0416,BHCK8498,BHCK4356,BHDM1797,BHCK8740,BHCK8725,BHCK0081,BHCK8712,BHCK8743,BHCK0211,BHCK8735,BHCK5460,BHCK3230,BHCK3196,BHCK4185,BHCKB556,BHDM1460,BHDM1590,BHCKB856,BHCKB990,BHCK1771,BHFN6631,BHCK8700,BHCK8702,BHCK8734,BHCK8728,BHCKB507,BHCK4060,BHCKB538,BHCKA130,BHCK3210,BHCK8696,BHCK3505,BHCK4059,BHCKA591,BHCK3548,BHCK5369,BHCK3507,BHCKB849,BHCK8708,BHCK1754,BHCK8560,BHCK3430,BHCK5378,BHOD2389,BHCKB838,BHCK8699,BHCK8783,BHCK3499,BHCK3589,BHCK3816,BHCK6557,BHCK3580,BHCKA251,BHCK8758,BHCKB841,BHCK3296,BHCKB861,BHCK5379,BHCK3190,BHCK8720,BHCKB511,BHCK8746,BHCK5461,BHCK5399,BHCK3000,BHOD3189,BHDM5367,BHCK2309,BHCK3656,BHCK3409,BHCK8710,BHCK5380,BHCK5411,BHCK4172,BHCK8716,BHCK8694,BHCK3547,BHCK3826,BHCK2750,BHCK1773,BHCK1772,BHCK4300,BHDM2122,BHFNA245,BHCKB529,BHCK8745,BHCK4655,BHCK8693,BHCK4107,BHCK2333,BHCK3164,BHCK8747,BHCK8499,BHCKB984,BHCK8782,BHCKB857,BHCKB839,BHCK8697,BHCKB846,BHCKB851,BHCK0397,BHCK8705,BHCKA126,BHCK0387,BHCK5409,BHCK2122,BHCK3585,BHCK4230,BHCK1410,BHCK2948,BHCKB513,BHCK4301,BHCK3820,BHCK1590,BHCB3187,BHCKA222,BHCK3545,BHCK4644,BHCK4062,BHCK3408,BHOD3187,BHCKB489,BHCK4618,BHCK4302,BHCK4483,BHCK3581,BHCK4020,BHCK8707,BHDM2081,BHCK4646,BHCK8496,BHCK5400,BHCKB853,BHCKB572,BHCK8759,BHCK3529,BHCK1296,BHCKB522,BHCK4628,BHCKB994,BHCK2170,BHCK1738,BHCKB530,BHCK3368,BHCK5389,BHCKB992,BHCK6556,BHCK1744,BHCK3049,BHCKB539,BHCK3500,BHCK4073,BHCK8714,BHCK6555,BHCK1597,BHCKB573,BHCKB496,BHCK8704,BHCK8760,BHCK1742,BHCK8724,BHCKB512,BHCK4605,BHCK1583,BHCK8431,BHCK4065,BHCK3197,BHCK6560,BHCK6761,BHCK3217,BHCK1752,BHCK6566,BHDM6636,BHCKB859,BHCKB488,BHCK3128,BHCK1607,BHCKB860,BHCKB996,BHCKB840,BHCK3298,BHCK4592,BHCKB491,BHCKB858,BHCK2332,BHCK8748,BHCKB575,BHCK4092,BHCK4070,BHCK1912,BHCK3300,BHCK6570,BHCKB514,BHCK3163,BHCK8561,BHCK1594,BHCK4627,BHCK1737,BHCK4507,BHCK3411,BHCKA127,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
03/31/2009,2315107,16795516,-1,4730,76877268,100799768,350406,57338104,136046252,251653,0,748987,20,5604025,0,234626182,227478880,8769825,187480,69120706,4526066,1806802,119643,0,0,1777092,244280257,0,19914767,3619307,1622938,433673,1033682,1970010834,136507450,369728770,0,204186,107684909,1474318,372989,586044,309989,4103,215441,2049973,30975702,0,147968610,7115094,13061444,2815666,14104159,7497655,92971186,1705127686,4779361,1693031258,0,1893514513,0,476602232,2010814,118817847,20723,162488058,75000,3217790,23142,0,80330566,20766364,30056,64247,147404871,14479911,1945300163,0,298624,247416261,1840450,284802,2427817,6931483,5633253,7356426,3384282,1899798077,367404,49728394117,228766240,375034826,70988702,1002372046,31934,2456275445,4388654,908849,117280307,73276543,26,3703049,44355189,2469898,310984,26800000,139798773,642568196,983788214,2361424520,33150124,28496691,82696,12462608,399739,2017993,4247474,17691,2345580,29047963,87529549,139697,6400949995,75700005,1477091,209076572,896040,752810,2,111390,740156,2000000,68308,0,15928183,0,177122606,17454142,602,987797,10267541,594185979,292317668,25710866,233502410,20585227,284932,196069,141017049,127233555,13702058,29109241,120759683,65781144,216024233,35043007,19011647,0,0,71423421,35111,64010,2488253,5199248,7054833,11572159,1401316,557888,2187652,6486043,4471053,51280672,1000000,113216691,0,70829,1045131,67959745,-304506,239548604,1450245376,0,1335124,246766254,128341365,40213946,435374,4751458,57679500,8426556,1420237,112002431,65236,29432648,8089785,58274971,6890750,20371,0,15787208,5679,0,1289725,624257,4438817,325588593,14708073,2923,546200862,121981838,-339430,177386,171819,436029,531506,5181293,297389533,21920140,6959787,2068616,552858768,27,1283189,216294,82766082,996877,75102507,636382507,132046219,269217893,273343651,4260345,914960048,55614422,954740251,290650,0,1829067644,22389254,276882499,14425406,148429,13018474,130205769,7075023,553981,6149272,7135838119,0,0,19603217,265839819,63808231692,201640864,0,1024002160,0,13351607,573878977,2083335344,20,5388964,30171650,1401316,9561598,9463521,318062660,137416,49368093,5865000,1972394,2825980,1484,1128619,1938882,3593,1138574,284449064,189530,105715,251653,2415213,192315,480206,1696524,232286,3377759,23071345,12267,26560,2323415454,0,-11164479,2519134111,0,0,230728537,4460593,0,28393940,1673,9926646,531716944,223620480,2,364693,-349036,49545000,638238,75000,1832510115,2,414888,33395,329110,298725,1011547135,192075,556327,177051777,37671930,102768275,641002954,0,56122,0,1721376,14987729,0,4733311,117775265,5722388,-5872,0,247398223,0,2444776,5728605,375427,439575,2323415454,8306442,1680242,86910145,14783,15074,0,0,118584,2485633,3614485632,100.0,2.8933128620191373e-08,60.00000001157325,True,False,True,True,169861551776870.25,60.00000001157325
06/30/2004,305766,12621714,1,496,54044824,45633804,425836,28243369,9463033,454351,0,17274,2498,415715,0,62065735,206350075,6409165,97695,7874730,5024852,3685756,9210,16,-700,1684290,124495438,105216,0,3820631,1136102,56757,6565,93284818,2108954,139939666,277,12276,51820881,1331238,386313,126613,28140,0,8998,1540475,16466866,0,78666310,2831661,13435702,808554,76542131,4908165,54565660,754522170,163372,174887165,0,162614474,0,337533505,506676,31606628,1721,77190662,0,3933676,10442,4262,4597801,5700312,40488,2795858,82969640,3042304,165598128,0,11138,378533492,629527,132035,167232,3593452,5091938,2099448,1439040,889894306,96482,10152120164,93265760,170162040,119986963,3352751,125577,717566432,1622440,259815,16425342,322464,0,2096600,4660075,2019636,5035,0,17955624,367320395,497210590,741049056,6715290,487068,144432,13096876,66436,-52297,6530269,14709,690491,8766817,70480896,107923,2031328433,46366972,84017,39407997,4924,567848,1292,308590,572187,359065,106912,980,7797172,2649,47980130,18708613,104,72671,14033667,132939016,14083384,10759225,153523796,9368714,247400,26510,49699320,61382608,3535527,46750680,42206805,7169136,573144844,31883674,8398473,438,4258,9030117,8644,20313,1416690,1457603,3393233,3348643,1327427,84054,160343,477121,5965221,198220,548823,18885820,0,0,195060,43972413,-338370,95821382,6042115,0,423147,39915034,49865028,9699173,496507,163174,2574997,478178,7966,0,10,0,0,0,0,3271,135,8666500,11539,-2987478,78968,356152,138758,127110634,350953,111,132906585,13250289,-1714086,244677,94006,0,303269,0,174288179,17569894,2763037,1836546,139387511,0,18788,592695,4218311,5232461,20175548,264102849,38329876,170164721,172901326,6530269,483710265,35718748,488443773,5034197,9228,1154367669,19294257,64875946,3004570,31772,3545984,37700349,0,82094,0,1176696215,0,0,5365685,521286796,14268474980,86125957,0,506909763,1,1451339,285952456,943639789,2498,9809228,12940854,1458039,14258470,0,120228895,28951,25487218,0,0,2947542,33366,3268210,3049133,-31610,846944,20313270,145044,207730,455435,43010,26654,21534,114088,20454,805123,6162501,11396,8333,1039764440,291,-3861653,1108306829,601,0,83061780,3956185,0,2358659,0,6197381,132767877,67182083,376,328,21177,2416724,-2228,0,37099129,1292,435989,1669,626679,423072,426866465,34756,848689,47980130,8185553,48553587,369595650,17316,11938,135053,81291,348503,0,138378,19987617,10148055,228909,17293,50460745,0,995942,4263622,426410,9660,1039764440,11159420,1243233,44671709,3504,354,0,291,28159,6711632,1418259225,97.70467884452889,0.018009911827544904,58.630011271448346,True,False,True,True,166000923233835.44,58.630011271448346
09/30/2004,321109,19610929,1,127,55978855,44715929,644873,30268241,10125282,402015,0,36270,4440,599464,0,62908707,202542515,9952359,221192,10706368,6594106,4115681,9135,228,-704,2599294,128339484,104447,0,4104516,1146973,78439,11026,100088865,2018285,130835000,277,44549,56064054,2224025,365685,105032,488,0,8998,1929880,17468119,0,76687544,8972797,21112768,933924,68185257,4284201,52398138,779953038,1824898,180929740,0,186475969,0,341828032,482075,37447262,2371,75662224,0,4222115,15697,3814,4063721,5380129,37129,4628297,85753881,2495846,192128355,0,7626,246434837,559957,175077,211966,3703856,6598987,3085853,1090871,867619841,85567,10892801259,96392320,167258762,122404707,4394785,206331,789264208,2866520,372974,16007259,271386,0,2865086,4979747,2988048,5780,0,19486469,377329149,510633926,775959458,6541148,0,253030,20623439,69536,-137035,10294059,9274,599043,8722676,69131575,193186,4049062685,48954839,72197,43213780,53604,618537,9084,827302,614101,744099,170245,1213,7883938,2279,47980130,18204706,223,81786,15710560,129750731,15219554,9865288,155286818,14431385,413164,24822,48586248,45407684,3552617,46750680,46417446,9526109,563710376,29660630,9902637,260,3814,8301443,2760,40490,2160093,2377340,3578999,3212513,1285904,81005,167100,419713,5746597,253856,430237,18594167,0,0,349439,47726895,-327338,98010754,6818938,0,738511,41938871,55612710,8531682,384880,1828603,2536129,419724,-40870,0,23,0,0,0,0,1235,384,14773603,12096,-4748682,80756,517663,139001,139600902,756189,110,137673324,13872531,-521002,192397,91625,0,328145,0,179826923,25556481,3053246,1436697,161445249,0,31194,1018285,4967442,5414259,18787960,286356228,36099411,168209383,168279832,10294059,494464966,37649287,501911250,4624352,9238,820265154,30743298,67363287,2452575,21961,3638811,34851211,0,79440,0,1050072691,0,0,5933553,437519481,14448606712,91862396,0,519165608,17,2141110,295798959,990973473,4440,15462879,12826931,1510798,13782654,0,138536645,51799,25271102,0,0,4890618,67331,5152366,4803766,30510,1331033,20699566,145071,231525,402046,50753,24830,19437,200096,35326,731733,6162500,15812,8216,1089312372,292,-2668568,1110124223,0,0,85277170,4154843,688243,2370773,200,10119859,160462741,61206883,155,56,32761,2131080,18740,0,40482613,9084,699613,990,1033142,688949,468824565,9905,1405402,47980130,10453482,49415748,381332128,13592,18494,94645,75350,774696,0,138572,20565145,15972540,472910,13572,44753556,0,1107799,6595476,714980,5651,1089312372,11000824,1888123,44709073,2281,699,0,292,89273,6216199,1466762094,97.70467591701008,0.018009911830672964,58.630009514938315,True,False,True,True,166000918309878.47,58.630009514938315
12/31/2004,392266,26898132,1,165,58773259,44195448,1183622,34129987,10907627,315452,0,130396,8150,1217131,0,69979150,210259106,13473129,327038,6867108,6668096,5379014,9140,354,-704,3592329,149225849,104753,0,4122001,1132161,108008,15540,108105886,2500390,134510032,298,70427,60128100,3053971,350536,75645,209,259,8998,2319341,16700334,0,78771116,6708141,28935650,1075767,5259778,4356758,54254668,793452908,1619405,189780504,0,196883488,0,348516503,431143,45938538,885,77996860,0,4409174,20060,2488,5533848,5945183,3074,6452151,90126847,2520089,200444510,0,3888,137444987,507488,176362,205371,3645504,6725198,4210722,777090,868503817,98421,11597812668,98689354,183939987,82917669,4077630,320303,850807749,4757035,516859,30448758,271386,0,3940060,4602165,4016107,5740,0,21702350,388329263,522387534,898169956,7656605,0,362453,27515895,68414,27418,13946827,19595,295642,8626288,72555166,324453,4046546212,52870786,56244,36525754,37539,619892,22547,1346812,620011,711593,234216,1315,7517499,1158,48656811,19189868,0,87726,16129138,132411079,15377916,8781499,163641262,21411669,553157,20971,55422404,45500307,3748436,46750680,50094253,6053775,628098925,29875428,7479428,25,2488,9874000,2747,40465,1886721,4281646,3790174,3083736,1502945,71045,166100,329185,6603097,292854,716178,34068321,0,0,517557,51247247,-281575,100234653,6013940,0,1093784,46878258,54448163,7652797,357231,1613948,2270092,329736,-19288,1229000,6,0,0,0,0,598,391,16596427,8376,-6286391,83736,742939,145472,152765007,321951,9645,141626725,10480384,-330316,277266,108889,0,354900,0,178065190,25378518,3283636,1686838,166509465,260,43143,1056487,3264851,5573196,17793719,306000070,48361355,201569618,200367543,13946827,504539067,41420101,513761246,4882691,9576,749335514,42508476,65840287,2481130,35969,3827505,47252550,0,71045,0,1083880693,0,0,5870670,345638884,15034991526,184950097,344,530040331,17,2976250,299402041,1011421515,8150,20939904,15486683,1723920,15243659,0,121692245,61744,25026607,0,0,6771695,84975,6960619,6524287,25377,1939634,21986021,145386,244523,315972,65889,20966,15589,388923,282225,1091814,6162500,20263,7681,1112011068,294,-2764330,1152526510,2184,0,87606583,4290330,601317,2248195,37,14992581,162530789,60053331,26,58,61355,1791051,57851,0,31592600,22547,979478,31927,1352692,966814,478534626,9254,2031307,48656811,10467879,51552550,397160645,10951,24675,72800,112352,320264,0,145296,20593118,21656743,716692,10982,50407920,0,1156566,9159481,1004519,5942,1112011068,11817408,2641865,45261619,7303,368,0,294,121600,5871574,1494415970,97.70467467101932,0.01800991181287878,58.63000876733674,True,False,True,True,166000916214177.2,58.63000876733674
09/30/2008,1630820,30610090,-14734,1529,77695007,65315374,1296568,30865134,77935437,5433,15,2562763,78,-1392268,0,112192847,273421033,14548484,236015,7448117,2830754,973004,319599,0,0,3835012,136322446,0,9525091,4489734,1517521,584151,848579,590786943,1471111,239881958,6080,59727,118465784,6028082,199414,907410,0,4202,361451,4133855,30192632,0,155708145,8363488,34457636,2330257,9497402,7744694,96149506,1331932267,6557638,1621903585,0,414962620,889,404190110,2069244,76052358,4989,155347024,25000,5721348,30445,0,27386859,9702151,0,8645582,150659682,21187929,426021725,0,57914,257405998,427116,247024,1969883,961062,3403540,11751194,1752036,1791293289,2545429,26230767685,166454382,289101971,237073226,20900434,87347,1398451476,5040138,1742131,54698735,24151097,28,4966964,25284866,6937436,70821,19742080,62978535,565718582,940322751,1472037061,38583562,1349996,243234,33562973,539940,389907,5796561,13473,110770,20327578,80516289,567840,4562054554,94165538,0,48820991,1033656,800956,23,816980,797149,0,321200,0,12999588,0,146803412,17877064,514,576218,22931673,385242646,194876713,28851549,200843723,24931205,802153,334130,65143374,120112770,9900009,0,111872774,7333221,121228968,39589165,5661923,29435,0,31562548,30339,45621,-1365974,11747480,7692697,9766041,1298425,899721,1903531,1246874,4106026,153129,0,58113428,0,0,2067198,81331320,-520979,161039070,11602460,0,3794017,229348420,94801046,27414161,820360,6487797,15342401,1246874,-373785,36834118,151,21144626,364117,0,10587371,38685,0,20251214,2941,0,44327,1201291,4618476,335064434,9947383,305,346194072,5018654,-6775756,838877,81883,514877,1602081,2226389,286637019,48096551,5110721,1073143,241301459,71,1636713,2402935,3992137,767636,26572382,446513055,75734003,280662770,280278759,5796561,902615221,82263755,919995173,502540,0,1721933004,65391274,153695543,21131260,203321,8860655,75166675,10602371,899721,364117,2871339574,0,0,6796360,214117046,34044822876,220927504,0,967736912,0,18260300,550862030,1673811274,78,8243080,27100695,1298425,11954307,3923241,223220318,274707,37342560,2025000,43395,7658456,22294,2433324,8162084,-30,2919755,204138100,189531,65430,5433,1690780,317520,0,50661,34325,5722328,11587506,26962,31282,1836452425,0,-5647050,1907234232,0,0,216346071,5520883,140212,31118425,12124,31828301,215580942,187175450,314,0,-87546,16793416,41978,25000,58564120,23,1070899,11709,1420799,627415,778697806,108934,3151562,146803412,17663614,89263454,576141096,852007,47819,0,915576,10373403,0,4696588,66508886,9131961,33938,852007,144401978,0,2345230,10869252,1282028,443338,1836452425,10011343,3613162,81756284,12824,14302,0,0,386510,4347324,2672524708,23.721376127614896,100.0,54.232825676568936,False,True,True,True,41564284162176.64,54.232825676568936
