quarter,BHCK1606,BHCKC222,BHCK4093,BHCKF158,BHCK3247,BHCKC233,BHCK3240,BHCT3210,BHCK4397,BHCK8719,BHCK8715,BHCKB493,BHCKC971,BHCKA220,BHCK8744,BHCKB737,BHCK2160,BHCKC886,BHCKB570,BHCK4135,BHCK4115,BHCK5041,BHCK8736,BHDM3465,BHCK1741,BHCK8741,BHCKB845,BHCK3578,BHCKC232,BHCK4217,BHCKF177,BHCK3365,BHCK3433,BHDM1420,BHCKB983,BHDM1545,BHCKC241,BHCK4598,BHCK8723,BHCKF601,BHCKF645,BHCK4832,BHCKC250,BHCK0395,BHCK3401,BHCK3588,BHCK5459,BHCK3814,BHCK4180,BHCKC226,BHCKC243,BHCK2081,BHCK8727,BHCK3530,BHCKF636,BHCKC975,BHCT3190,BHCKF699,BHCKB844,BHCKB492,BHCK1764,BHDM1766,BHCK6550,BHCK4519,BHCKB576,BHCK0384,BHCK2746,BHCKF658,BHCK3404,BHCT2170,BHCKB704,BHCKB848,BHCK8565,BHCKB805,BHCK8737,BHCB2389,BHCK2150,BHCKA288,BHCK1763,BHCKF555,BHCK1743,BHCT3548,BHCK1746,BHCK0213,BHCKC974,BHCK8739,BHCK1545,BHCK8564,BHCK2130,BHCKF647,BHCK5382,BHCKF254,BHCKB736,BHCK4460,BHDM1975,BHCKB744,BHCK6438,BHCK8733,BHCT1773,BHCK8566,BHCKB781,BHCKB740,BHCK6558,BHCK8701,BHCK5047,BHCKF065,BHCKB557,BHCKF242,BHCK4150,BHCK5398,BHCKB837,BHCKB995,BHCKF644,BHCT2160,BHCK1739,BHCK4635,BHCKC229,BHCK1608,BHCK8698,BHDM1288,BHCK3450,BHCKC244,BHCK3519,BHCK3353,BHCK8765,BHCK8695,BHCK4617,BHCKF821,BHCK8709,BHDMF577,BHCKB497,BHCK4645,BHCT3123,BHCK8738,BHCK3283,BHCK3579,BHCKF632,BHCK5523,BHCK0383,BHCKF179,BHCKG213,BHCK4069,BHCK3501,BHCK3577,BHCK8711,BHCKB989,BHCK5045,BHCK3517,BHCKF653,BHCKF164,BHCK4435,BHCKB705,BHCKB528,BHCK8713,BHDM5368,BHCKB738,BHCK5043,BHCK2148,BHCK4074,BHCK1292,BHCKB709,BHCK8757,BHCK5355,BHCKC230,BHCKF554,BHCK4340,BHCK1913,BHCKC699,BHCKF183,BHCK3123,BHCB2210,BHCK4518,BHCK3459,BHCKF652,BHFN6636,BHCKB574,BHCKB985,BHCKB042,BHCKB991,BHCK1287,BHCK4652,BHCK8742,BHCM3531,BHCK1286,BHCK8706,BHCKB515,BHCK2145,BHCKB508,BHDM2165,BHCK3432,BHCK3508,BHCK8726,BHCK2635,BHCK8703,BHCT2150,BHCKB804,BHCKC242,BHCKB708,BHCKG212,BHDM6631,BHCKC027,BHCKG105,BHCK4079,BHCKB044,BHCK4398,BHCKB852,BHCKB710,BHCKF639,BHCK2168,BHCKC220,BHCKB754,BHCKB733,BHCK0416,BHCK8498,BHCKC253,BHCKF240,BHDM1797,BHCKF559,BHCK8740,BHCK8725,BHCKC989,BHCK0081,BHCK8712,BHCKC219,BHCKB711,BHCKC409,BHCK8743,BHCK0211,BHCK8735,BHCKC238,BHCKG211,BHCK3196,BHCK4185,BHCKB747,BHCKB556,BHDM1460,BHCKF159,BHDM1590,BHCKF654,BHCKB990,BHCKF557,BHCK4834,BHCK1771,BHFN6631,BHCK8700,BHCK8702,BHCK8734,BHCK8728,BHCKC239,BHCKB507,BHDM3466,BHCK4060,BHCKB538,BHCKA130,BHCK3210,BHCK8696,BHCKB782,BHCKC240,BHCK4059,BHCK3548,BHCK5369,BHCKC079,BHCKB849,BHCKG104,BHCK8708,BHCK1754,BHCKF614,BHCK8560,BHCKG103,BHCKF262,BHCK3430,BHCK8699,BHCK3817,BHCK3499,BHCKF186,BHCK3816,BHCM3533,BHCT2750,BHCK6557,BHCK4833,BHCK3580,BHCKF252,BHCKA251,BHCK8758,BHCKB841,BHCKC248,BHCK3296,BHCKB043,BHCKB861,BHCK3190,BHCKF648,BHCK8720,BHCKB511,BHCKB743,BHCK8746,BHCK5461,BHCK3000,BHDM5367,BHCK2309,BHCK3656,BHCK3409,BHCK8710,BHCKC972,BHCT4605,BHCK8562,BHCX3123,BHCK4172,BHCK8716,BHCK8694,BHCK3547,BHCK3826,BHCK2750,BHCKF172,BHCK4783,BHCKB776,BHCK1773,BHCK1772,BHCK4300,BHCKF182,BHDM2122,BHFNA245,BHCKF552,BHCKB529,BHCKC246,BHCK8745,BHCKC237,BHCK8693,BHCK4107,BHCK2333,BHCKF173,BHCK3164,BHCK8747,BHCK8499,BHCKB984,BHCKC890,BHCK8697,BHCK0397,BHCK8705,BHCKC970,BHCKA126,BHCK0387,BHCKC968,BHCK2122,BHCKF165,BHCKB780,BHCK4141,BHCK4230,BHCK1410,BHCKC216,BHCKF659,BHCK2948,BHCK4301,BHCK3820,BHCK1590,BHCKF261,BHCB3187,BHCKF253,BHCK3545,BHCK5352,BHCK4644,BHCK4062,BHCK3408,BHCKB779,BHCKB489,BHCKB739,BHCK4618,BHCK4302,BHCK4782,BHCK3581,BHCK4020,BHCKF160,BHCK8707,BHDM2081,BHCK4646,BHCK8563,BHCKF163,BHCK4436,BHCK5400,BHCKB853,BHCKC897,BHCKB572,BHCKB746,BHCK8759,BHCK3529,BHCK1296,BHCKF646,BHCKB522,BHCK4628,BHCKB994,BHCK2170,BHCKF640,BHCKB530,BHCKC969,BHCT3545,BHCK3368,BHCKB992,BHCK8567,BHCK6556,BHCK1744,BHCKB732,BHCK3049,BHCKF241,BHCK4073,BHCKF176,BHCK8714,BHCK6555,BHCKC249,BHCKB573,BHCKB496,BHCK8704,BHCKF618,BHCK8760,BHCKC221,BHCK1742,BHCK8724,BHCKB512,BHCK4605,BHCKC386,BHCK1583,BHCK8431,BHCK4065,BHCKC387,BHCK3197,BHCK6560,BHCK6761,BHCM3532,BHCK3217,BHCK1752,BHCT4340,BHCK6566,BHCKF553,BHCKC887,BHCKF692,BHDM6636,BHCKB488,BHCK3128,BHCKG210,BHCK1607,BHCKB860,BHCM3543,BHCKF161,BHCKF589,BHCKB996,BHCKC252,BHCKB840,BHCKF643,BHCK3298,BHCK4592,BHCKB491,BHCKC973,BHCK2332,BHCKB575,BHCK4092,BHCK4070,BHCK1912,BHCKC888,BHCM3541,BHCK6561,BHCK3300,BHCK6570,BHCKC236,BHCKF585,BHCKC017,BHCKC245,BHCKB514,BHCKF263,BHCKG209,BHCK3163,BHCK8561,BHCKF597,BHCKF624,BHCKF551,BHCKA127,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
09/30/2025,75000,11639000,27822000,367000,162143000,11000,67462000,124402000,632000,937635000,325787000,207000,12899000,15350000,0,4000,129128000,4323000,1033213000,14241000,4576000,49382000,13531000,20104000,0,180000,0,0,63000,906000,36000,366823000,161457000,25000,1000,51032000,0,643000,4020717000,2616000,101000,84401000,7000,94624000,627415000,12000,0,114000,12674000,1299000,-1000,22000,84000,62000,11179000,296000,359119000,0,0,3000,15338000,29356000,234000,9965000,426000,121682000,3373000,1444000,112183000,1807982000,723430000,0,5773000,2000,120108000,78196000,50000,268045000,22363000,-355000,928000,260422000,6630000,46708000,687000,169166000,75740000,55000,630000,0,33000,3199000,0,3185000,31199000,0,0,158068000,103350000,1248000,0,528000,14000,323141000,26040000,24719000,800000,0,48300,16000,6111000,274209000,0,129128000,0,1225000,822000,2255000,3828134000,1243000,19053466000,105000,123507000,287048000,353332000,264769000,6000,16522000,4069405000,462000,449000,178000,4508000,76364000,15153000,0,4491000,115000,22455000,0,6007000,12694000,100000,1895000,336922000,346306000,587706000,366102000,16490000,420000,758000,4192000,297784000,3903851000,613000,0,96833000,8938000,9851000,0,623000,8498000,0,3000,-14000,12559000,1485000,1032000,625000,4508000,112000,2143000,300124881,187931000,117389000,716000,270672000,0,0,96720000,0,6000,140717000,96564000,1790000,121000,8774000,121996000,0,234201000,60000,22602000,356614000,1071305000,50000,0,0,0,13184000,112000,0,124763000,35061000,0,12107000,0,0,45000,110352000,2801000,0,112000,16961000,0,300000,0,616000,0,15401000,293057000,0,6744000,29916000,10317000,4154000,2536000,0,46521000,110740000,12000,18000,-59000,10986000,0,8140000,1827000,2950000,39000,7000,5000,962000,442669000,73697000,634000,31504000,2276000,76483000,0,0,0,13046000,117000,20037000,-117889000,124402000,248002000,852000,757000,3504000,260422000,14884000,1110000,0,12583000,60674000,73281000,3858000,10000,24000,13000,90864000,11897000,0,0,894000,5871000,1015000,287709000,80000,38616000,941000,82260000,0,-4013000,0,195000,152529000,0,0,359119000,102000,102813000,226000,0,289000,280000,361000,18214000,0,1375000,2306000,643542000,147528000,152000,830000,4508000,3038000,34633000,6903000,79531000,2845047000,287709000,4000,9360000,265000,103350000,103493000,12583000,7000,268888000,48043000,-23000,293276000,8000,8000,0,1264080000,59994000,275287000,9000,0,0,0,286041000,-141000,2941240000,69692000,488796000,15680000,31750922000,32494000,773769000,312668000,5451000,45000,0,904000,36132000,3000,0,1683219000,16021000,7915000,111000,71000,171324000,79061000,659028000,0,22000,11643000,4678000,66000,959000,0,21000,3438000,39000,-66000,14025000,62000,1072486000,22000,6000,-88000,0,677000,8000,0,0,45000,0,8311000,6000,1427000,315000,4666000,4000,82000,1807982000,125000,-2476000,857834000,659028000,1806172000,0,0,13715000,6929000,0,868000,0,50143000,22000,687946000,12697000,184000,4000,19000,64499000,10888000,1660000,3723000,925000,572041000,0,152000,0,0,1601000,0,0,895736000,98000,7288000,3000,121996000,1676000,12559000,15390000,-11009000,6000,0,370950000,4019000,24000,113390000,61000,0,52264000,8150000,2179000,0,1038727000,0,4000,117051000,16135000,0,149987000,83832000,430000,12609000,110000,65000,14587000,210589000,90864000,1807982000,756000,708000,479000,0,144000,1006000,58000,66007000,5950000,-3000,1226000,1476000,-140000,7993036000,100.00000000000001,99.99999999996416,99.99999999998568,True,True,True,True,28044745344266.668,99.99999999998568
12/31/2023,10000,7192000,34487000,31000,143688000,2000,65368000,116905000,900000,703154000,243816000,190000,12507000,19166000,0,52000,93979000,4350000,879420000,15499000,10967000,43926000,17174000,17033000,0,298000,0,-1000000,679000,1312000,271000,387238000,35278000,19000,-1000,44499000,0,599000,2771553000,1839000,38000,82443000,8000,113615000,465697000,37000,1000,40000,12706000,1034000,-1000,33000,0,56000,10150000,741000,315111000,0,0,123000,15383000,32796000,660000,6457000,486000,82252000,4075000,1065000,90581000,1641594000,692737445,0,5698000,2000,215218000,80877000,143000,91640000,25728000,-210000,378000,200607000,2406000,68870000,942000,80189000,61789000,-566000,546000,0,33000,2737000,0,3591000,31511000,15000,0,242420000,49024000,1953000,0,396000,1000,763162000,22865000,12161000,620000,0,45300,7000,2553000,309411000,0,93979000,0,1829000,930000,2258000,3059740000,9000,17111030000,93000,116997000,264718000,229153000,265208000,47000,18758000,4932065000,406000,1463000,247000,5050000,97037000,11203000,0,6356000,121000,33376000,25000,5641000,9099000,102000,1496000,253578000,421569000,507490000,318950000,16443000,11000,747000,4375000,240240000,4430187000,46000,0,75109000,7399000,6351000,1000,5035000,4427000,504000,2000,5000,8516000,1276000,1053000,658000,5050000,25000,3829000,323376354,136081000,94561000,316000,295475000,0,0,46618000,35000,5000,84785000,48092000,1284000,45000,9490000,117189000,0,178790000,15000,10568000,304052000,636773000,143000,0,0,0,16842000,25000,0,117287000,39918000,0,17647000,0,0,9000,79021000,3005000,0,111000,21073000,0,335000,0,422000,0,17943000,245371000,0,7719000,30379000,12187000,3506000,1580000,0,69402000,60061000,0,66000,8000,13901000,0,6119000,1157000,2721000,10000,435000,3000,0,362853000,69443000,308000,29384000,1382000,89510000,0,0,0,11665000,20000,19237000,-100445000,116905000,166613000,1086000,58000,5097000,200607000,15523000,1708000,0,8539000,70690000,69963000,4848000,-712000,23000,0,84276000,6663000,218000,0,2177000,2340000,388000,259427000,19000,32590000,617000,29243000,125000,2827000,0,242000,105922000,0,0,315111000,57000,113632000,92000,0,216000,1024000,382000,16935000,1213000,4463000,0,412875000,69845000,153000,953000,5050000,3352000,31305000,8920000,56746000,2513199000,259427000,0,5796000,289000,49024000,50884000,8539000,7000,221529000,28350000,-130000,235190000,10000,9000,0,1920887000,68515000,234766000,0,0,3000,0,258298000,-771000,2187155000,120726000,1156071000,11029000,32255186000,3359000,442251000,255763000,2329000,28000,0,1181000,30078000,504000,994000,1524307000,10762000,5125000,59000,0,163565000,26506000,492503000,1462000,21000,11898000,4728000,12000,11000,0,3000,2223000,29000,-48000,16408000,225000,662361000,33000,143000,936000,0,967000,10000,0,96000,9000,0,7841000,79000,195000,400000,5543000,4000,79000,1641594000,32000,-2918000,498014000,492503000,1581536000,0,1461000,1130000,2792000,35000,509000,0,62164000,15000,427437000,737000,134000,0,208000,69485000,9536000,1894000,641000,363000,511488000,35000,153000,1000,0,1785000,0,0,960423000,166000,11025000,4000,117189000,1404000,8516000,12125000,-10085000,11000,0,331906000,2612000,0,93440000,1000,0,51116000,6925000,1479000,0,969929000,0,0,95565000,10869000,0,84714000,79132000,464000,16493000,135000,4000,14984000,158669000,84276000,1641594000,251000,38000,843000,0,126000,1099000,0,48271000,5916000,-1000,1705000,2084000,-589000,6414269000,93.18733541512549,82.7561876157094,89.01487629535904,False,True,True,True,26134267124012.902,89.01487629535904
09/30/2024,15000,8958000,25506000,83000,150454000,0,66462000,121200000,721000,789274000,270090000,200000,15886000,16310000,0,8000,110607000,3699000,940400000,12947000,7592000,43373000,17900000,18970000,0,276000,0,-2179000,154000,938000,138000,384274000,46481000,19000,0,41202000,43000,529000,3468914000,1921000,93000,85948000,6000,85179000,575053000,9000,0,58000,12962000,1313000,-1000,22000,0,0,12894000,466000,332107000,0,0,39000,15475000,29322000,416000,5779000,491000,102074000,3811000,1871000,96218000,1728080000,698239435,0,4852000,2000,130024000,79836000,56000,104838000,22546000,-338000,909000,215954000,4232000,58304000,1410000,132690000,59881000,227000,559000,0,33000,2960000,0,2836000,28836000,4000,0,164866000,77677000,1321000,0,702000,0,437496000,22865000,21087000,697000,0,46400,33000,3591000,322678000,0,110607000,0,1366000,820000,2513000,3014363000,462000,17044223000,103000,119900000,309471000,438102000,297324000,60000,16394000,4682960000,352000,1120000,170000,4752000,88789000,13253000,0,5214000,108000,28635000,0,5306000,10616000,149000,4239000,285926000,415174000,574296000,338947000,15637000,53000,677000,4880000,250622000,4317224000,395000,0,88297000,8034000,5711000,2000,197000,4794000,0,6000,-16000,10165000,1601000,1062000,619000,4752000,77000,2626000,314190854,144689000,99513000,665000,269438000,0,0,73445000,0,37000,160169000,73936000,3931000,75000,8938000,116905000,0,200959000,15000,16519000,329172000,893692000,56000,0,0,0,17473000,77000,0,121653000,34006000,0,15182000,0,0,3000,92985000,2841000,0,161000,12611000,0,348000,0,608000,0,18843000,259517000,0,6197000,30741000,8655000,3439000,2019000,0,58147000,93767000,8000,19000,-29000,11314000,0,7886000,1279000,2964000,10000,0,4000,846000,426029000,79355000,241000,28000000,3510000,82812000,0,0,0,11668000,46000,19776000,-106475000,121200000,260650000,1038000,742000,4297000,215954000,13983000,1258000,0,10210000,69152000,78939000,3965000,-275000,45000,0,50923000,9018000,0,2000,2525000,2458000,1066000,278790000,89000,32973000,1068000,41122000,0,2042000,0,245000,122328000,0,0,332107000,95000,100546000,415000,0,311000,1045000,453000,17981000,0,2455000,0,541756000,126336000,189000,815000,4752000,3474000,33936000,3614000,66649000,2600887000,278790000,17000,6000000,305000,77677000,78512000,10210000,7000,227804000,30141000,3000,245870000,8000,7000,0,1511376000,61443000,245063000,0,0,0,0,277511000,-195000,2292452000,64150000,1101936000,14378000,31128150000,25907000,582771000,264605000,2405000,61000,0,879000,32313000,14000,937000,1606427000,13185000,6274000,59000,0,161495000,38162000,611441000,72000,25000,12008000,3728000,30000,416000,0,47000,2975000,33000,-81000,15062000,62000,923590000,22000,31000,429000,1000,709000,15000,0,31000,15000,0,5807000,18000,667000,414000,5050000,7000,79000,1728080000,26000,-2503000,630715000,611441000,1692584000,0,0,7877000,4576000,34000,582000,0,55732000,15000,558752000,6270000,140000,0,128000,69545000,12323000,1142000,4299000,897000,592570000,0,189000,1000,0,1449000,0,0,885686000,154000,8846000,6000,116905000,1675000,10165000,13001000,-7844000,7000,0,343997000,3008000,41000,97660000,0,0,49320000,6732000,1537000,0,1045017000,0,4000,102976000,13253000,0,142537000,87044000,467000,11453000,100000,7000,12683000,166066000,50923000,1728080000,591000,663000,479000,0,134000,1100000,0,48817000,5909000,-6000,1292000,2809000,-58000,6710294000,96.30873585863866,49.26656427172238,77.49186722387213,True,True,True,True,27009602683209.844,77.49186722387213
